feature,channel,statistic
cumulated_tool_contact_time__mean,cumulated_tool_contact_time,mean
cumulated_tool_contact_time__std,cumulated_tool_contact_time,std
cumulated_tool_contact_time__rms,cumulated_tool_contact_time,rms
cumulated_tool_contact_time__abs_mean,cumulated_tool_contact_time,abs_mean
cumulated_tool_contact_time__peak,cumulated_tool_contact_time,peak
cumulated_tool_contact_time__p2p,cumulated_tool_contact_time,p2p
cumulated_tool_contact_time__skewness,cumulated_tool_contact_time,skewness
cumulated_tool_contact_time__kurtosis,cumulated_tool_contact_time,kurtosis
cumulated_tool_contact_time__crest_factor,cumulated_tool_contact_time,crest_factor
cumulated_tool_contact_time__shape_factor,cumulated_tool_contact_time,shape_factor
cumulated_tool_contact_time__impulse_factor,cumulated_tool_contact_time,impulse_factor
cumulated_tool_contact_time__clearance_factor,cumulated_tool_contact_time,clearance_factor
cumulated_tool_contact_time__energy,cumulated_tool_contact_time,energy
cumulated_tool_contact_time__variance,cumulated_tool_contact_time,variance
cumulated_tool_contact_time__zero_crossing_rate,cumulated_tool_contact_time,zero_crossing_rate
cumulated_tool_contact_time__dominant_freq,cumulated_tool_contact_time,dominant_freq
cumulated_tool_contact_time__dominant_amp,cumulated_tool_contact_time,dominant_amp
cumulated_tool_contact_time__spectral_centroid,cumulated_tool_contact_time,spectral_centroid
cumulated_tool_contact_time__spectral_spread,cumulated_tool_contact_time,spectral_spread
cumulated_tool_contact_time__spectral_variance,cumulated_tool_contact_time,spectral_variance
cumulated_tool_contact_time__spectral_entropy,cumulated_tool_contact_time,spectral_entropy
cumulated_tool_contact_time__spectral_rms,cumulated_tool_contact_time,spectral_rms
cumulated_tool_contact_time__spectral_skewness,cumulated_tool_contact_time,spectral_skewness
cumulated_tool_contact_time__spectral_kurtosis,cumulated_tool_contact_time,spectral_kurtosis
cumulated_tool_contact_time__spectral_rolloff95,cumulated_tool_contact_time,spectral_rolloff95
cumulated_tool_contact_time__total_power,cumulated_tool_contact_time,total_power
cumulated_tool_contact_time__band0_energy_ratio,cumulated_tool_contact_time,band0_energy_ratio
cumulated_tool_contact_time__band1_energy_ratio,cumulated_tool_contact_time,band1_energy_ratio
cumulated_tool_contact_time__band2_energy_ratio,cumulated_tool_contact_time,band2_energy_ratio
cumulated_tool_contact_time__band3_energy_ratio,cumulated_tool_contact_time,band3_energy_ratio
cumulated_tool_contact_time__band4_energy_ratio,cumulated_tool_contact_time,band4_energy_ratio
machine__mean,machine,mean
machine__std,machine,std
machine__rms,machine,rms
machine__abs_mean,machine,abs_mean
machine__peak,machine,peak
machine__p2p,machine,p2p
machine__skewness,machine,skewness
machine__kurtosis,machine,kurtosis
machine__crest_factor,machine,crest_factor
machine__shape_factor,machine,shape_factor
machine__impulse_factor,machine,impulse_factor
machine__clearance_factor,machine,clearance_factor
machine__energy,machine,energy
machine__variance,machine,variance
machine__zero_crossing_rate,machine,zero_crossing_rate
machine__dominant_freq,machine,dominant_freq
machine__dominant_amp,machine,dominant_amp
machine__spectral_centroid,machine,spectral_centroid
machine__spectral_spread,machine,spectral_spread
machine__spectral_variance,machine,spectral_variance
machine__spectral_entropy,machine,spectral_entropy
machine__spectral_rms,machine,spectral_rms
machine__spectral_skewness,machine,spectral_skewness
machine__spectral_kurtosis,machine,spectral_kurtosis
machine__spectral_rolloff95,machine,spectral_rolloff95
machine__total_power,machine,total_power
machine__band0_energy_ratio,machine,band0_energy_ratio
machine__band1_energy_ratio,machine,band1_energy_ratio
machine__band2_energy_ratio,machine,band2_energy_ratio
machine__band3_energy_ratio,machine,band3_energy_ratio
machine__band4_energy_ratio,machine,band4_energy_ratio
run__mean,run,mean
run__std,run,std
run__rms,run,rms
run__abs_mean,run,abs_mean
run__peak,run,peak
run__p2p,run,p2p
run__skewness,run,skewness
run__kurtosis,run,kurtosis
run__crest_factor,run,crest_factor
run__shape_factor,run,shape_factor
run__impulse_factor,run,impulse_factor
run__clearance_factor,run,clearance_factor
run__energy,run,energy
run__variance,run,variance
run__zero_crossing_rate,run,zero_crossing_rate
run__dominant_freq,run,dominant_freq
run__dominant_amp,run,dominant_amp
run__spectral_centroid,run,spectral_centroid
run__spectral_spread,run,spectral_spread
run__spectral_variance,run,spectral_variance
run__spectral_entropy,run,spectral_entropy
run__spectral_rms,run,spectral_rms
run__spectral_skewness,run,spectral_skewness
run__spectral_kurtosis,run,spectral_kurtosis
run__spectral_rolloff95,run,spectral_rolloff95
run__total_power,run,total_power
run__band0_energy_ratio,run,band0_energy_ratio
run__band1_energy_ratio,run,band1_energy_ratio
run__band2_energy_ratio,run,band2_energy_ratio
run__band3_energy_ratio,run,band3_energy_ratio
run__band4_energy_ratio,run,band4_energy_ratio
tool__mean,tool,mean
tool__std,tool,std
tool__rms,tool,rms
tool__abs_mean,tool,abs_mean
tool__peak,tool,peak
tool__p2p,tool,p2p
tool__skewness,tool,skewness
tool__kurtosis,tool,kurtosis
tool__crest_factor,tool,crest_factor
tool__shape_factor,tool,shape_factor
tool__impulse_factor,tool,impulse_factor
tool__clearance_factor,tool,clearance_factor
tool__energy,tool,energy
tool__variance,tool,variance
tool__zero_crossing_rate,tool,zero_crossing_rate
tool__dominant_freq,tool,dominant_freq
tool__dominant_amp,tool,dominant_amp
tool__spectral_centroid,tool,spectral_centroid
tool__spectral_spread,tool,spectral_spread
tool__spectral_variance,tool,spectral_variance
tool__spectral_entropy,tool,spectral_entropy
tool__spectral_rms,tool,spectral_rms
tool__spectral_skewness,tool,spectral_skewness
tool__spectral_kurtosis,tool,spectral_kurtosis
tool__spectral_rolloff95,tool,spectral_rolloff95
tool__total_power,tool,total_power
tool__band0_energy_ratio,tool,band0_energy_ratio
tool__band1_energy_ratio,tool,band1_energy_ratio
tool__band2_energy_ratio,tool,band2_energy_ratio
tool__band3_energy_ratio,tool,band3_energy_ratio
tool__band4_energy_ratio,tool,band4_energy_ratio
wear__mean,wear,mean
wear__std,wear,std
wear__rms,wear,rms
wear__abs_mean,wear,abs_mean
wear__peak,wear,peak
wear__p2p,wear,p2p
wear__skewness,wear,skewness
wear__kurtosis,wear,kurtosis
wear__crest_factor,wear,crest_factor
wear__shape_factor,wear,shape_factor
wear__impulse_factor,wear,impulse_factor
wear__clearance_factor,wear,clearance_factor
wear__energy,wear,energy
wear__variance,wear,variance
wear__zero_crossing_rate,wear,zero_crossing_rate
wear__dominant_freq,wear,dominant_freq
wear__dominant_amp,wear,dominant_amp
wear__spectral_centroid,wear,spectral_centroid
wear__spectral_spread,wear,spectral_spread
wear__spectral_variance,wear,spectral_variance
wear__spectral_entropy,wear,spectral_entropy
wear__spectral_rms,wear,spectral_rms
wear__spectral_skewness,wear,spectral_skewness
wear__spectral_kurtosis,wear,spectral_kurtosis
wear__spectral_rolloff95,wear,spectral_rolloff95
wear__total_power,wear,total_power
wear__band0_energy_ratio,wear,band0_energy_ratio
wear__band1_energy_ratio,wear,band1_energy_ratio
wear__band2_energy_ratio,wear,band2_energy_ratio
wear__band3_energy_ratio,wear,band3_energy_ratio
wear__band4_energy_ratio,wear,band4_energy_ratio
position_control_deviation_axis_x__mean,position_control_deviation_axis_x,mean
position_control_deviation_axis_x__std,position_control_deviation_axis_x,std
position_control_deviation_axis_x__rms,position_control_deviation_axis_x,rms
position_control_deviation_axis_x__abs_mean,position_control_deviation_axis_x,abs_mean
position_control_deviation_axis_x__peak,position_control_deviation_axis_x,peak
position_control_deviation_axis_x__p2p,position_control_deviation_axis_x,p2p
position_control_deviation_axis_x__skewness,position_control_deviation_axis_x,skewness
position_control_deviation_axis_x__kurtosis,position_control_deviation_axis_x,kurtosis
position_control_deviation_axis_x__crest_factor,position_control_deviation_axis_x,crest_factor
position_control_deviation_axis_x__shape_factor,position_control_deviation_axis_x,shape_factor
position_control_deviation_axis_x__impulse_factor,position_control_deviation_axis_x,impulse_factor
position_control_deviation_axis_x__clearance_factor,position_control_deviation_axis_x,clearance_factor
position_control_deviation_axis_x__energy,position_control_deviation_axis_x,energy
position_control_deviation_axis_x__variance,position_control_deviation_axis_x,variance
position_control_deviation_axis_x__zero_crossing_rate,position_control_deviation_axis_x,zero_crossing_rate
position_control_deviation_axis_x__dominant_freq,position_control_deviation_axis_x,dominant_freq
position_control_deviation_axis_x__dominant_amp,position_control_deviation_axis_x,dominant_amp
position_control_deviation_axis_x__spectral_centroid,position_control_deviation_axis_x,spectral_centroid
position_control_deviation_axis_x__spectral_spread,position_control_deviation_axis_x,spectral_spread
position_control_deviation_axis_x__spectral_variance,position_control_deviation_axis_x,spectral_variance
position_control_deviation_axis_x__spectral_entropy,position_control_deviation_axis_x,spectral_entropy
position_control_deviation_axis_x__spectral_rms,position_control_deviation_axis_x,spectral_rms
position_control_deviation_axis_x__spectral_skewness,position_control_deviation_axis_x,spectral_skewness
position_control_deviation_axis_x__spectral_kurtosis,position_control_deviation_axis_x,spectral_kurtosis
position_control_deviation_axis_x__spectral_rolloff95,position_control_deviation_axis_x,spectral_rolloff95
position_control_deviation_axis_x__total_power,position_control_deviation_axis_x,total_power
position_control_deviation_axis_x__band0_energy_ratio,position_control_deviation_axis_x,band0_energy_ratio
position_control_deviation_axis_x__band1_energy_ratio,position_control_deviation_axis_x,band1_energy_ratio
position_control_deviation_axis_x__band2_energy_ratio,position_control_deviation_axis_x,band2_energy_ratio
position_control_deviation_axis_x__band3_energy_ratio,position_control_deviation_axis_x,band3_energy_ratio
position_control_deviation_axis_x__band4_energy_ratio,position_control_deviation_axis_x,band4_energy_ratio
position_control_deviation_axis_y__mean,position_control_deviation_axis_y,mean
position_control_deviation_axis_y__std,position_control_deviation_axis_y,std
position_control_deviation_axis_y__rms,position_control_deviation_axis_y,rms
position_control_deviation_axis_y__abs_mean,position_control_deviation_axis_y,abs_mean
position_control_deviation_axis_y__peak,position_control_deviation_axis_y,peak
position_control_deviation_axis_y__p2p,position_control_deviation_axis_y,p2p
