feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
position_control_deviation_axis_y__dominant_freq__rel,0.4799689527679971,1.8285292742420283,0.5585011783039673,0.15438889476734793,2.305682215524521,domain_id,True,1,0.0
torque_axis_z__dominant_freq__rel,0.48357919148790685,1.636994643167062,0.4573347879431903,1.1389051782935957,2.0769141541187235,domain_id,True,2,0.1914252161160762
force_sensor_x__spectral_rolloff95__rank,0.4311051546330864,1.5111636540490299,0.47186433306125075,0.20275832133474558,1.9749783645702426,domain_id,True,3,0.03757718755618935
force_sensor_z__dominant_freq__rel,0.47718113751168567,2.0602524013440595,0.11469666173460345,0.2541470739241473,1.9647665672653158,domain_id,True,4,0.09104402705415826
torque_spindle__spectral_rolloff95__rel,0.5512719280340843,1.845978653529098,0.09998367356330387,0.8821542932527021,1.9540386873046447,domain_id,True,5,0.3683093008848664
force_sensor_x__spectral_rolloff95__rel,0.5524371147593716,1.8622855838172994,0.03735729513016342,0.32806210975189387,1.9247407871365154,domain_id,True,6,0.41784215920735135
position_control_deviation_axis_x__dominant_freq__rel,0.501329787321537,1.6788239064129757,0.1396318312317536,0.6254835486959127,1.833200386389025,domain_id,True,7,0.390955481414161
force_sensor_y__spectral_rolloff95__rel,0.44095324014843995,2.066461544319162,0.04101304480662906,0.29708920022384855,1.8267014289026908,domain_id,True,8,0.14683780310270284
force_sensor_z__dominant_freq__rank,0.41784087085228516,1.7684351685145159,0.20862386429431576,0.4157848832428584,1.8032572615316733,domain_id,True,9,0.5629445395402912
torque_axis_y__spectral_rolloff95__rel,0.46102098642549194,1.3389676024067318,0.28742002430754915,0.07809854253969244,1.7666059346505165,domain_id,True,10,0.14965792492516458
position_control_deviation_axis_y__spectral_rolloff95__rel,0.39779327636201245,1.6367975928986191,0.2207688182556619,0.3304375371461419,1.7190041672140752,domain_id,True,11,0.24422893735109943
force_sensor_z__spectral_rolloff95__rel,0.2671316373046879,1.662600059005456,0.38762258762758633,0.1847992712302332,1.667957243604634,domain_id,True,12,0.27573457453957423
position_control_deviation_axis_y__dominant_freq__rank,0.3712038235083297,1.4974604070292554,0.2907796805326488,0.6176017777540239,1.6613659100689508,domain_id,True,13,0.3656429168503735
torque_axis_z__spectral_rolloff95__rel,0.43268112701997485,1.4519230292708403,0.19237362365283536,0.7856551482995584,1.6451319687126524,domain_id,True,14,0.3701599084634601
torque_spindle__dominant_freq__rank,0.258649130545628,1.9107901305604824,0.24448040381530087,0.10007422799163643,1.6331312943798457,domain_id,True,15,0.6913396635170743
position_control_deviation_axis_x__spectral_rolloff95__rank,0.3708624138728349,1.8044588429479984,0.14070643821141768,1.6443883360452254,1.6160078613563174,domain_id,True,16,0.34554364207800126
torque_axis_y__dominant_freq__rel,0.33332530474304,1.5756624685168248,0.22452603510223626,1.2193753984988274,1.5390539927461422,domain_id,True,17,0.24341847162380817
force_sensor_y__mean__rel,0.32652764203966345,0.7652918166970215,0.5516841162971138,0.006268644097387087,1.5128269786565112,domain_id,True,18,0.26125651019601154
force_sensor_z__mean__rel,0.26852109214288933,0.8518577734031014,0.5331463950250048,0.019345034478826895,1.4306284520122614,domain_id,True,19,0.5546889810671627
position_control_deviation_axis_x__spectral_rolloff95__rel,0.4455257915689903,1.1099589908050609,0.05297924006744135,0.07181956435884952,1.3935590924136205,domain_id,True,20,0.2946477606162955
force_sensor_y__spectral_rolloff95__rank,0.23566482622101992,1.5310521634627334,0.1995721300658971,0.03432279767153619,1.3656235465763518,domain_id,True,21,0.7186143714153513
position_control_deviation_axis_x__dominant_freq__rank,0.3879048385391133,1.5895007158290082,0.003795767788541026,2.670074584461596,1.3627415472567392,domain_id,True,22,0.6172391230717442
torque_spindle__mean__rank,0.3338538531522859,0.6494556725675529,0.4484126132317023,0.11982800638560111,1.3619807740438516,domain_id,True,23,0.6307776407697578
torque_axis_z__dominant_freq__rank,0.40670775896355993,1.206421060446857,0.08103832378459987,1.6380021693134217,1.3320926070675843,domain_id,True,24,0.6083967416865269
torque_spindle__dominant_freq__rel,0.2586882871308207,1.4729151878999667,0.11381854131857694,0.13936748126323895,1.2889900061920119,domain_id,True,25,0.5480226454065615
force_sensor_x__mean__rel,0.24500118587048836,0.8319827696330964,0.42972808996743833,0.030794969250503852,1.2745353845483656,domain_id,True,26,0.8033666289605033
force_sensor_y__dominant_freq__rel,0.28087786467346354,1.467960989477541,0.07750543250128532,0.7453102481966146,1.264935116740859,domain_id,True,27,0.33350820047686836
force_sensor_y__shape_factor__rank,0.22936726360320714,0.9959761955106394,0.380974332514879,0.42805566513998605,1.2601160077315259,domain_id,True,28,0.3925292323083232
force_sensor_x__abs_mean__rel,0.18058118787625665,0.9196852227061059,0.5098382597919834,0.5926453071592371,1.256821184676267,domain_id,True,29,0.36159151568131226
force_sensor_y__energy__rel,0.26037253577259856,0.9823022493760694,0.32422026059448533,0.4560194394603443,1.2516920665331484,domain_id,True,30,0.5337515309467855
force_sensor_y__dominant_amp__rel,0.2907543873833023,1.0503430374800433,0.227034792480504,0.6184472064366855,1.2355904245337936,domain_id,True,31,0.911789686517786
force_sensor_z__mean__rank,0.29646719271287747,0.8528621372449186,0.2750092294365122,0.00836516155272349,1.224026520724789,domain_id,True,32,0.798345593873685
force_sensor_y__rms__rel,0.25569425908531684,1.028046347984517,0.2819849204082454,0.45036798310551157,1.2233626660783252,domain_id,False,33,
