eta,fine_weight,temperature,mid_floor,late_tau,early_tau,order_blend,val_Acc,val_Macro_F1,val_E_F1,val_M_F1,val_L_F1,val_M_Pre,val_M_Rec,val_M_to_E,val_M_to_L,val_n_middle_true,val_Rev,val_Jump,val_Smooth,val_q_MAE,val_q_RMSE,val_q_R2,val_Spearman,val_Pearson,val_q_Smooth,val_score
0.55,0.3,1.2,0.08,0.72,0.34,0.25,0.7628596338273758,0.7476357008981505,0.9383070301291249,0.7511649580615097,0.5534351145038168,0.6277258566978193,0.9350348027842227,0.06496519721577726,0.0,431,3,0,0.01845475688125938,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6413674081797278
0.55,0.3,1.2,0.04,0.72,0.34,0.25,0.7628596338273758,0.7476357008981505,0.9383070301291249,0.7511649580615097,0.5534351145038168,0.6277258566978193,0.9350348027842227,0.06496519721577726,0.0,431,3,0,0.01845475688125938,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6413674081797278
0.55,0.3,1.2,0.12,0.72,0.34,0.25,0.7628596338273758,0.7476357008981505,0.9383070301291249,0.7511649580615097,0.5534351145038168,0.6277258566978193,0.9350348027842227,0.06496519721577726,0.0,431,3,0,0.01845475688125938,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6413674081797278
0.55,0.3,1.2,0.04,0.72,0.38,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018680285934462318,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.3,1.2,0.12,0.72,0.38,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018680285934462318,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.3,1.2,0.12,0.72,0.42,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018869019965339833,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.3,1.2,0.08,0.72,0.42,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018869019965339833,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.3,1.2,0.08,0.72,0.38,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018680285934462318,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.3,1.2,0.04,0.72,0.42,0.25,0.7619877942458587,0.7467992884067165,0.9369627507163324,0.75,0.5534351145038168,0.6271450858034321,0.9327146171693735,0.06728538283062645,0.0,431,3,0,0.018869019965339833,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6479480500438621
0.55,0.2,1.2,0.12,0.72,0.38,0.5,0.7680906713164778,0.7565774859597187,0.9340974212034384,0.7530747398297067,0.5825602968460112,0.6357827476038339,0.9234338747099768,0.06960556844547564,0.0069605568445475635,431,4,0,0.01846122066282828,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6522525902694287
