dataset,channel_set,group,Method,n_tasks,Acc_mean_tasks,Acc_std_task,Macro_F1_mean_tasks,Macro_F1_std_task,E_F1_mean_tasks,E_F1_std_task,M_F1_mean_tasks,M_F1_std_task,L_F1_mean_tasks,L_F1_std_task,M_Pre_mean_tasks,M_Pre_std_task,M_Rec_mean_tasks,M_Rec_std_task,M_to_E_mean_tasks,M_to_E_std_task,M_to_L_mean_tasks,M_to_L_std_task,Rev_mean_tasks,Rev_std_task,Jump_mean_tasks,Jump_std_task,Smooth_mean_tasks,Smooth_std_task,q_MAE_mean_tasks,q_MAE_std_task,q_RMSE_mean_tasks,q_RMSE_std_task,q_R2_mean_tasks,q_R2_std_task,Spearman_mean_tasks,Spearman_std_task,Pearson_mean_tasks,Pearson_std_task,q_Smooth_mean_tasks,q_Smooth_std_task
mendeley,primary,cross_machine_dual,B1,3,0.9023519900461078,0.021256168462718935,0.9032420459980818,0.02107446155225838,0.9506501169853493,0.041966311700441475,0.8786965454919954,0.03846437578077162,0.8803794755169004,0.033553915539245714,0.8711656693955998,0.04364733561863622,0.8913427343859682,0.08737831229618812,0.04155264919612811,0.038439565696356266,0.06710461641790354,0.05899398308188589,0.0,0.0,0.0,0.0,0.005949617524928667,0.0013786748084012477,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B10,3,0.5079562439855821,0.11497197338213778,0.45756200382544227,0.12997383997893042,0.7108808436828399,0.10564426790962807,0.24679155839379727,0.173111574425951,0.41501360939968973,0.1593293328435924,0.43311058685285714,0.17553979686336232,0.22023124355058266,0.15935061582038715,0.4014922151033479,0.30676254035580763,0.3782765413460694,0.2748992574581966,23.400000000000002,4.866210024238576,13.666666666666666,16.64011217910905,0.03585168052398397,0.017059553764196895,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B11,3,0.5185596868848225,0.1427675089875495,0.46544054478768454,0.1724466452038866,0.7145134975202797,0.11161076468781231,0.3014297384129367,0.19763586999203173,0.38037839842983723,0.23878220603960176,0.4175550497280052,0.15871148646561392,0.3022452260810326,0.21108297394672854,0.3726441511899708,0.2628230090061849,0.32511062272899655,0.22599172008651872,24.53333333333333,3.407834111768548,15.6,17.42182539230605,0.040353310379646574,0.02228777729412263,0.15964528336432474,0.03497969371976599,0.21067045010772012,0.03990909342929899,-0.11191464258260973,0.40553656738046645,0.565054230345213,0.16212566812008106,0.43955630170247023,0.035320171541240834,0.0072852919209650925,0.005737321916636872
mendeley,primary,cross_machine_dual,B12,3,0.48877958812907973,0.06696403361934392,0.3977180982969131,0.02178675235974804,0.6119365091784544,0.044564314152218565,0.4018682691647324,0.23390449711549946,0.17934951654755263,0.15387715425054804,0.43042739029042126,0.0683189999155651,0.5313982525554216,0.4089563972390122,0.2532488310673821,0.2868060527604351,0.21535291637719625,0.3002933795531643,12.666666666666666,10.431362966234726,2.733333333333333,3.442867022313428,0.030699774081645394,0.02102714613323239,0.15964528336432474,0.03497969371976599,0.21067045010772012,0.03990909342929899,-0.11191464258260973,0.40553656738046645,0.565054230345213,0.16212566812008106,0.43955630170247023,0.035320171541240834,0.0072852919209650925,0.005737321916636872
mendeley,primary,cross_machine_dual,B2,3,0.44394911648722934,0.07771690857663296,0.44369525344987754,0.08176526691314674,0.5642083262964553,0.17311169859659223,0.3754906824527215,0.09703356230235811,0.3913867516004559,0.13447340329158866,0.4417159513339686,0.021341109268311467,0.36484822999145833,0.1675958963501657,0.12978553129612147,0.12524581500913906,0.5053662387124203,0.21850626155916605,180.5333333333333,46.65118790913403,73.46666666666665,46.52927393946023,0.3573153523137229,0.14771276069757885,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B3,3,0.4997205763829098,0.19536426819536404,0.4605177281247875,0.23600988599160913,0.680109278114084,0.14608335504261039,0.41336840976240136,0.22637577059874608,0.2880754964978775,0.35429527341330297,0.44567085465761536,0.1779450282945117,0.429172843334966,0.2702303989474311,0.3600955912498705,0.3231396587748945,0.21073156541516344,0.11668232625951316,105.66666666666667,25.453748905285707,42.266666666666666,57.2916515151495,0.09873430082340982,0.030525527287500073,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B4,3,0.41847186009826504,0.15210311863857348,0.3569808288665712,0.19253237431939227,0.5680402031257493,0.08409950238045139,0.244854878130477,0.21430911385813348,0.25804740534348725,0.29746622056049743,0.4694009570060044,0.26094987187470614,0.20206783413743468,0.18158003415660173,0.6402556826123516,0.1833947493935973,0.15767648325021374,0.09870528661197622,95.33333333333333,40.84719492613089,80.60000000000001,68.20351897079799,0.15166159128745346,0.0363432948025857,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B5,3,0.4938594245363857,0.18942712766877995,0.4464055071658759,0.23623534421428322,0.6517793166282216,0.13686970468437565,0.39693347660042116,0.2548963610573508,0.2905037282689849,0.3714700864351433,0.4549428857413809,0.17890165393240604,0.41747942861577275,0.30295233800764665,0.38910628033666317,0.383484409673035,0.19341429104756402,0.1273935829999449,99.86666666666667,14.629194555180861,45.73333333333334,66.72250994479549,0.09314060883499385,0.0289259379650964,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B6,3,0.4983285093285003,0.16892944072270027,0.4707946617969056,0.19427866496079296,0.6392086296406633,0.12743384460063997,0.37913956300370905,0.2778421806659266,0.39403579274634454,0.30541627871468335,0.42950128454926717,0.16441603250287437,0.4191449975953321,0.3307465037752967,0.23509786573719452,0.23856397347227626,0.34575713666747326,0.1589265237815729,106.2,25.926048676958082,83.2,101.80942981865678,0.1979923350131835,0.06347922789415003,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B7,3,0.536880831267646,0.16200683092109092,0.4945798706942765,0.2008053074086263,0.7320670428616137,0.12035538522689848,0.27133591277729047,0.28486294079703983,0.48033665644392504,0.2319994715129084,0.42900287702816775,0.3289281074310317,0.23418394310120827,0.23927282294176527,0.38615073812974,0.2613214633192737,0.3796653187690517,0.2402644403017287,32.86666666666667,15.10275912981907,31.46666666666667,29.85587602689516,0.053338998095150504,0.01679121111162861,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B8,3,0.5005814879823361,0.11882482550750263,0.42441089975700996,0.11495427538027725,0.6439801010597767,0.029069351661685065,0.33338910163736707,0.23887785965902716,0.29586349657388605,0.10790981852390424,0.4510369937026348,0.15338065985442637,0.3927203089170741,0.35057397003657065,0.36553541063260186,0.30362150864399623,0.241744280450324,0.18068081802730201,42.93333333333334,12.461674579820055,30.599999999999998,29.545219579485277,0.06586617529497897,0.0336185020341412,,,,,,,,,,,,
mendeley,primary,cross_machine_dual,B9,3,0.5007888021458191,0.1777471861236188,0.4522219295712102,0.20212424529346593,0.6799053340297573,0.12085130377313388,0.2786007409812706,0.3434509355470824,0.3981597137026029,0.1540894716426616,0.37352491268808713,0.2934840069409711,0.27460418109764034,0.37192762801865015,0.40013641398732175,0.3719433511666964,0.32525940491503785,0.2577991646650978,39.46666666666667,15.601709308064077,36.199999999999996,48.65922317505695,0.045984280783349235,0.021218183565520913,,,,,,,,,,,,
