sequence_id,domain_id,order_key,VB,ctime,source_file,VB_smooth,q_true,rate_norm,stage,stage_id
T1,M1,1,3,11,M1T1R1C11VB3.h5,3.75,0.0,0.21388888886590657,early,0
T1,M1,2,3,15,M1T1R2C15VB3.h5,4.2,0.002931596091205194,0.24374999997380908,early,0
T1,M1,3,4,19,M1T1R3C19VB4.h5,4.666666666666667,0.0059717698154179875,0.3749999999597062,early,0
T1,M1,4,5,23,M1T1R4C23VB5.h5,5.142857142857143,0.009073987901349409,0.574999999938216,early,0
T1,M1,5,6,27,M1T1R5C27VB6.h5,6.428571428571429,0.017449976733364243,0.7119999999234956,early,0
T1,M1,6,7,31,M1T1R6C31VB7.h5,7.857142857142857,0.026756630991158502,0.8466666665756918,early,0
T1,M1,7,8,34,M1T1R7C34VB8.h5,9.285714285714286,0.036063285248952776,0.9799999998946988,early,0
T1,M1,8,12,56,M1T1R8C56VB12.h5,10.714285714285714,0.045369939506747024,0.99999999989255,early,0
T1,M1,9,13,60,M1T1R9C60VB13.h5,12.142857142857142,0.05467659376454129,0.9999999998925496,early,0
T1,M1,10,14,63,M1T1R10C63VB14.h5,13.571428571428571,0.06398324802233556,0.9199999999011457,early,0
T1,M1,11,15,67,M1T1R11C67VB15.h5,15.0,0.07328990228012981,0.8399999999097418,early,0
T1,M1,12,16,71,M1T1R12C71VB16.h5,15.857142857142858,0.07887389483480638,0.7599999999183383,early,0
T1,M1,13,17,75,M1T1R13C75VB17.h5,16.714285714285715,0.08445788738948294,0.6799999999269337,early,0
T1,M1,14,18,79,M1T1R14C79VB18.h5,17.571428571428573,0.0900418799441595,0.5999999999355297,early,0
T1,M1,15,18,83,M1T1R15C83VB18.h5,18.428571428571427,0.09562587249883604,0.5999999999355297,early,0
T1,M1,16,19,87,M1T1R16C87VB19.h5,19.285714285714285,0.1012098650535126,0.5999999999355297,early,0
T1,M1,17,20,90,M1T1R17C90VB20.h5,20.142857142857142,0.10679385760818916,0.6799999999269334,early,0
T1,M1,18,21,94,M1T1R18C94VB21.h5,21.0,0.11237785016286572,0.7599999999183383,early,0
T1,M1,19,22,98,M1T1R19C98VB22.h5,22.428571428571427,0.12168450442065998,0.8399999999097417,early,0
T1,M1,20,23,102,M1T1R20C102VB23.h5,23.857142857142858,0.13099115867845426,0.919999999901146,early,0
T1,M1,21,24,106,M1T1R21C106VB24.h5,25.285714285714285,0.1402978129362485,0.9999999998925496,early,0
T1,M1,22,28,126,M1T1R22C126VB28.h5,26.714285714285715,0.14960446719404277,0.9799999998946983,early,0
T1,M1,23,29,130,M1T1R23C130VB29.h5,28.142857142857142,0.15891112145183703,0.9599999998968477,early,0
T1,M1,24,30,134,M1T1R24C134VB30.h5,29.428571428571427,0.16728711028385185,0.8799999999054446,early,0
T1,M1,25,31,138,M1T1R25C138VB31.h5,30.714285714285715,0.17566309911586672,0.8399999999097417,early,0
T1,M1,26,32,142,M1T1R26C142VB32.h5,31.571428571428573,0.1812470916705433,0.7799999999161892,early,0
T1,M1,27,32,145,M1T1R27C145VB32.h5,32.714285714285715,0.18869241507677867,0.7399999999204874,early,0
T1,M1,28,33,149,M1T1R28C149VB33.h5,33.714285714285715,0.19520707305723467,0.679999999926933,early,0
T1,M1,29,34,153,M1T1R29C153VB34.h5,34.714285714285715,0.20172173103769064,0.6799999999269337,early,0
T1,M1,30,37,176,M1T1R30C176VB37.h5,35.57142857142857,0.20730572359236718,0.6399999999312318,early,0
