true_stage,pred_stage,count,normalized,Method,task,seed
early,early,456,0.9101796407185628,B1,D1-M,seed42
early,middle,45,0.08982035928143713,B1,D1-M,seed42
early,late,0,0.0,B1,D1-M,seed42
middle,early,54,0.0821917808219178,B1,D1-M,seed42
middle,middle,529,0.8051750380517504,B1,D1-M,seed42
middle,late,74,0.1126331811263318,B1,D1-M,seed42
late,early,2,0.0034071550255536627,B1,D1-M,seed42
late,middle,37,0.06303236797274275,B1,D1-M,seed42
late,late,548,0.9335604770017035,B1,D1-M,seed42
early,early,501,1.0,B10,D1-M,seed42
early,middle,0,0.0,B10,D1-M,seed42
early,late,0,0.0,B10,D1-M,seed42
middle,early,621,0.9452054794520548,B10,D1-M,seed42
middle,middle,15,0.0228310502283105,B10,D1-M,seed42
middle,late,21,0.0319634703196347,B10,D1-M,seed42
late,early,146,0.24872231686541738,B10,D1-M,seed42
late,middle,423,0.7206132879045997,B10,D1-M,seed42
late,late,18,0.030664395229982964,B10,D1-M,seed42
early,early,501,1.0,B12,D1-M,seed42
early,middle,0,0.0,B12,D1-M,seed42
early,late,0,0.0,B12,D1-M,seed42
middle,early,556,0.8462709284627092,B12,D1-M,seed42
middle,middle,97,0.1476407914764079,B12,D1-M,seed42
middle,late,4,0.0060882800608828,B12,D1-M,seed42
late,early,115,0.19591141396933562,B12,D1-M,seed42
late,middle,471,0.8023850085178875,B12,D1-M,seed42
late,late,1,0.0017035775127768314,B12,D1-M,seed42
early,early,501,1.0,B11,D1-M,seed42
early,middle,0,0.0,B11,D1-M,seed42
early,late,0,0.0,B11,D1-M,seed42
middle,early,606,0.9223744292237442,B11,D1-M,seed42
middle,middle,46,0.0700152207001522,B11,D1-M,seed42
middle,late,5,0.0076103500761035,B11,D1-M,seed42
late,early,172,0.293015332197615,B11,D1-M,seed42
late,middle,413,0.7035775127768313,B11,D1-M,seed42
late,late,2,0.0034071550255536627,B11,D1-M,seed42
early,early,134,0.26746506986027946,B2,D1-M,seed42
early,middle,146,0.29141716566866266,B2,D1-M,seed42
early,late,221,0.4411177644710579,B2,D1-M,seed42
middle,early,100,0.15220700152207,B2,D1-M,seed42
middle,middle,395,0.6012176560121766,B2,D1-M,seed42
middle,late,162,0.2465753424657534,B2,D1-M,seed42
late,early,57,0.09710391822827939,B2,D1-M,seed42
late,middle,438,0.7461669505962522,B2,D1-M,seed42
late,late,92,0.1567291311754685,B2,D1-M,seed42
early,early,372,0.7425149700598802,B3,D1-M,seed42
early,middle,50,0.0998003992015968,B3,D1-M,seed42
early,late,79,0.15768463073852296,B3,D1-M,seed42
middle,early,236,0.3592085235920852,B3,D1-M,seed42
middle,middle,376,0.5722983257229832,B3,D1-M,seed42
middle,late,45,0.0684931506849315,B3,D1-M,seed42
late,early,74,0.1260647359454855,B3,D1-M,seed42
late,middle,489,0.8330494037478705,B3,D1-M,seed42
late,late,24,0.04088586030664395,B3,D1-M,seed42
early,early,497,0.9920159680638723,B4,D1-M,seed42
early,middle,4,0.007984031936127744,B4,D1-M,seed42
early,late,0,0.0,B4,D1-M,seed42
middle,early,534,0.8127853881278538,B4,D1-M,seed42
middle,middle,113,0.1719939117199391,B4,D1-M,seed42
middle,late,10,0.015220700152207,B4,D1-M,seed42
late,early,118,0.2010221465076661,B4,D1-M,seed42
late,middle,465,0.7921635434412265,B4,D1-M,seed42
late,late,4,0.0068143100511073255,B4,D1-M,seed42
early,early,412,0.8223552894211577,B5,D1-M,seed42
early,middle,32,0.06387225548902195,B5,D1-M,seed42
early,late,57,0.11377245508982035,B5,D1-M,seed42
middle,early,261,0.3972602739726027,B5,D1-M,seed42
middle,middle,349,0.5312024353120244,B5,D1-M,seed42
middle,late,47,0.0715372907153729,B5,D1-M,seed42
late,early,88,0.14991482112436116,B5,D1-M,seed42
late,middle,488,0.8313458262350937,B5,D1-M,seed42
late,late,11,0.018739352640545145,B5,D1-M,seed42
early,early,155,0.3093812375249501,B6,D1-M,seed42
early,middle,121,0.24151696606786427,B6,D1-M,seed42
early,late,225,0.4491017964071856,B6,D1-M,seed42
middle,early,135,0.2054794520547945,B6,D1-M,seed42
middle,middle,428,0.6514459665144596,B6,D1-M,seed42
middle,late,94,0.1430745814307458,B6,D1-M,seed42
late,early,34,0.05792163543441227,B6,D1-M,seed42
late,middle,520,0.8858603066439523,B6,D1-M,seed42
late,late,33,0.056218057921635436,B6,D1-M,seed42
early,early,501,1.0,B7,D1-M,seed42
early,middle,0,0.0,B7,D1-M,seed42
early,late,0,0.0,B7,D1-M,seed42
middle,early,537,0.817351598173516,B7,D1-M,seed42
middle,middle,88,0.1339421613394216,B7,D1-M,seed42
middle,late,32,0.0487062404870624,B7,D1-M,seed42
late,early,157,0.2674616695059625,B7,D1-M,seed42
late,middle,386,0.6575809199318569,B7,D1-M,seed42
late,late,44,0.07495741056218058,B7,D1-M,seed42
early,early,501,1.0,B8,D1-M,seed42
early,middle,0,0.0,B8,D1-M,seed42
early,late,0,0.0,B8,D1-M,seed42
middle,early,642,0.9771689497716894,B8,D1-M,seed42
middle,middle,8,0.0121765601217656,B8,D1-M,seed42
middle,late,7,0.0106544901065449,B8,D1-M,seed42
late,early,393,0.6695059625212947,B8,D1-M,seed42
late,middle,178,0.303236797274276,B8,D1-M,seed42
late,late,16,0.027257240204429302,B8,D1-M,seed42
early,early,501,1.0,B9,D1-M,seed42
early,middle,0,0.0,B9,D1-M,seed42
early,late,0,0.0,B9,D1-M,seed42
middle,early,591,0.8995433789954338,B9,D1-M,seed42
middle,middle,27,0.0410958904109589,B9,D1-M,seed42
middle,late,39,0.0593607305936073,B9,D1-M,seed42
late,early,161,0.27427597955706984,B9,D1-M,seed42
late,middle,367,0.6252129471890971,B9,D1-M,seed42
late,late,59,0.10051107325383304,B9,D1-M,seed42
early,early,456,0.9101796407185628,B1,D1-M,seed52
early,middle,45,0.08982035928143713,B1,D1-M,seed52
early,late,0,0.0,B1,D1-M,seed52
middle,early,54,0.0821917808219178,B1,D1-M,seed52
middle,middle,521,0.7929984779299848,B1,D1-M,seed52
middle,late,82,0.1248097412480974,B1,D1-M,seed52
late,early,2,0.0034071550255536627,B1,D1-M,seed52
late,middle,36,0.06132879045996593,B1,D1-M,seed52
late,late,549,0.9352640545144804,B1,D1-M,seed52
early,early,501,1.0,B10,D1-M,seed52
early,middle,0,0.0,B10,D1-M,seed52
early,late,0,0.0,B10,D1-M,seed52
middle,early,506,0.7701674277016742,B10,D1-M,seed52
middle,middle,151,0.2298325722983257,B10,D1-M,seed52
middle,late,0,0.0,B10,D1-M,seed52
late,early,394,0.6712095400340715,B10,D1-M,seed52
late,middle,193,0.3287904599659284,B10,D1-M,seed52
late,late,0,0.0,B10,D1-M,seed52
early,early,501,1.0,B12,D1-M,seed52
early,middle,0,0.0,B12,D1-M,seed52
early,late,0,0.0,B12,D1-M,seed52
middle,early,485,0.7382039573820396,B12,D1-M,seed52
middle,middle,172,0.2617960426179604,B12,D1-M,seed52
middle,late,0,0.0,B12,D1-M,seed52
late,early,394,0.6712095400340715,B12,D1-M,seed52
late,middle,193,0.3287904599659284,B12,D1-M,seed52
late,late,0,0.0,B12,D1-M,seed52
early,early,501,1.0,B11,D1-M,seed52
early,middle,0,0.0,B11,D1-M,seed52
early,late,0,0.0,B11,D1-M,seed52
middle,early,502,0.7640791476407914,B11,D1-M,seed52
middle,middle,155,0.2359208523592085,B11,D1-M,seed52
middle,late,0,0.0,B11,D1-M,seed52
late,early,394,0.6712095400340715,B11,D1-M,seed52
late,middle,193,0.3287904599659284,B11,D1-M,seed52
late,late,0,0.0,B11,D1-M,seed52
early,early,170,0.3393213572854291,B2,D1-M,seed52
early,middle,103,0.2055888223552894,B2,D1-M,seed52
early,late,228,0.4550898203592814,B2,D1-M,seed52
middle,early,91,0.1385083713850837,B2,D1-M,seed52
middle,middle,362,0.5509893455098934,B2,D1-M,seed52
middle,late,204,0.3105022831050228,B2,D1-M,seed52
late,early,34,0.05792163543441227,B2,D1-M,seed52
late,middle,350,0.596252129471891,B2,D1-M,seed52
late,late,203,0.34582623509369675,B2,D1-M,seed52
early,early,403,0.8043912175648703,B3,D1-M,seed52
early,middle,97,0.1936127744510978,B3,D1-M,seed52
early,late,1,0.001996007984031936,B3,D1-M,seed52
middle,early,275,0.4185692541856925,B3,D1-M,seed52
middle,middle,316,0.4809741248097412,B3,D1-M,seed52
middle,late,66,0.1004566210045662,B3,D1-M,seed52
late,early,56,0.09540034071550256,B3,D1-M,seed52
late,middle,487,0.8296422487223168,B3,D1-M,seed52
late,late,44,0.07495741056218058,B3,D1-M,seed52
early,early,472,0.9421157684630739,B4,D1-M,seed52
early,middle,29,0.05788423153692615,B4,D1-M,seed52
early,late,0,0.0,B4,D1-M,seed52
middle,early,432,0.6575342465753424,B4,D1-M,seed52
middle,middle,172,0.2617960426179604,B4,D1-M,seed52
middle,late,53,0.0806697108066971,B4,D1-M,seed52
late,early,155,0.26405451448040884,B4,D1-M,seed52
late,middle,336,0.5724020442930153,B4,D1-M,seed52
late,late,96,0.1635434412265758,B4,D1-M,seed52
early,early,408,0.8143712574850299,B5,D1-M,seed52
early,middle,92,0.18363273453093812,B5,D1-M,seed52
early,late,1,0.001996007984031936,B5,D1-M,seed52
middle,early,217,0.3302891933028919,B5,D1-M,seed52
middle,middle,375,0.5707762557077626,B5,D1-M,seed52
middle,late,65,0.0989345509893455,B5,D1-M,seed52
late,early,42,0.07155025553662692,B5,D1-M,seed52
late,middle,494,0.8415672913117547,B5,D1-M,seed52
late,late,51,0.0868824531516184,B5,D1-M,seed52
early,early,296,0.590818363273453,B6,D1-M,seed52
early,middle,89,0.17764471057884232,B6,D1-M,seed52
early,late,116,0.2315369261477046,B6,D1-M,seed52
middle,early,96,0.1461187214611872,B6,D1-M,seed52
middle,middle,453,0.6894977168949772,B6,D1-M,seed52
middle,late,108,0.1643835616438356,B6,D1-M,seed52
late,early,49,0.08347529812606473,B6,D1-M,seed52
late,middle,422,0.7189097103918228,B6,D1-M,seed52
late,late,116,0.19761499148211242,B6,D1-M,seed52
early,early,501,1.0,B7,D1-M,seed52
early,middle,0,0.0,B7,D1-M,seed52
early,late,0,0.0,B7,D1-M,seed52
middle,early,556,0.8462709284627092,B7,D1-M,seed52
middle,middle,13,0.0197869101978691,B7,D1-M,seed52
middle,late,88,0.1339421613394216,B7,D1-M,seed52
late,early,388,0.6609880749574105,B7,D1-M,seed52
late,middle,51,0.0868824531516184,B7,D1-M,seed52
late,late,148,0.252129471890971,B7,D1-M,seed52
early,early,501,1.0,B8,D1-M,seed52
early,middle,0,0.0,B8,D1-M,seed52
early,late,0,0.0,B8,D1-M,seed52
middle,early,491,0.7473363774733638,B8,D1-M,seed52
middle,middle,161,0.2450532724505327,B8,D1-M,seed52
middle,late,5,0.0076103500761035,B8,D1-M,seed52
late,early,340,0.5792163543441227,B8,D1-M,seed52
late,middle,247,0.42078364565587734,B8,D1-M,seed52
late,late,0,0.0,B8,D1-M,seed52
early,early,501,1.0,B9,D1-M,seed52
early,middle,0,0.0,B9,D1-M,seed52
early,late,0,0.0,B9,D1-M,seed52
middle,early,528,0.8036529680365296,B9,D1-M,seed52
middle,middle,91,0.1385083713850837,B9,D1-M,seed52
middle,late,38,0.0578386605783866,B9,D1-M,seed52
late,early,299,0.5093696763202725,B9,D1-M,seed52
late,middle,217,0.3696763202725724,B9,D1-M,seed52
late,late,71,0.12095400340715502,B9,D1-M,seed52
early,early,464,0.9261477045908184,B1,D1-M,seed62
early,middle,37,0.07385229540918163,B1,D1-M,seed62
early,late,0,0.0,B1,D1-M,seed62
middle,early,60,0.091324200913242,B1,D1-M,seed62
middle,middle,533,0.8112633181126332,B1,D1-M,seed62
middle,late,64,0.0974124809741248,B1,D1-M,seed62
late,early,2,0.0034071550255536627,B1,D1-M,seed62
late,middle,47,0.08006814310051108,B1,D1-M,seed62
late,late,538,0.9165247018739353,B1,D1-M,seed62
early,early,501,1.0,B10,D1-M,seed62
early,middle,0,0.0,B10,D1-M,seed62
early,late,0,0.0,B10,D1-M,seed62
middle,early,526,0.8006088280060882,B10,D1-M,seed62
middle,middle,50,0.076103500761035,B10,D1-M,seed62
middle,late,81,0.1232876712328767,B10,D1-M,seed62
late,early,136,0.23168654173764908,B10,D1-M,seed62
late,middle,246,0.4190800681431005,B10,D1-M,seed62
late,late,205,0.3492333901192504,B10,D1-M,seed62
early,early,360,0.718562874251497,B12,D1-M,seed62
early,middle,38,0.07584830339321358,B12,D1-M,seed62
early,late,103,0.2055888223552894,B12,D1-M,seed62
middle,early,275,0.4185692541856925,B12,D1-M,seed62
middle,middle,211,0.3211567732115677,B12,D1-M,seed62
middle,late,171,0.2602739726027397,B12,D1-M,seed62
late,early,15,0.02555366269165247,B12,D1-M,seed62
late,middle,334,0.5689948892674617,B12,D1-M,seed62
late,late,238,0.40545144804088584,B12,D1-M,seed62
early,early,389,0.7764471057884231,B11,D1-M,seed62
early,middle,0,0.0,B11,D1-M,seed62
early,late,112,0.22355289421157684,B11,D1-M,seed62
middle,early,343,0.5220700152207002,B11,D1-M,seed62
middle,middle,102,0.1552511415525114,B11,D1-M,seed62
middle,late,212,0.3226788432267884,B11,D1-M,seed62
late,early,26,0.044293015332197615,B11,D1-M,seed62
late,middle,284,0.4838160136286201,B11,D1-M,seed62
late,late,277,0.47189097103918226,B11,D1-M,seed62
early,early,148,0.2954091816367265,B2,D1-M,seed62
early,middle,112,0.22355289421157684,B2,D1-M,seed62
early,late,241,0.4810379241516966,B2,D1-M,seed62
middle,early,105,0.1598173515981735,B2,D1-M,seed62
middle,middle,334,0.5083713850837138,B2,D1-M,seed62
middle,late,218,0.3318112633181126,B2,D1-M,seed62
late,early,81,0.13798977853492334,B2,D1-M,seed62
late,middle,339,0.5775127768313458,B2,D1-M,seed62
late,late,167,0.28449744463373083,B2,D1-M,seed62
early,early,460,0.9181636726546906,B3,D1-M,seed62
early,middle,28,0.05588822355289421,B3,D1-M,seed62
early,late,13,0.02594810379241517,B3,D1-M,seed62
middle,early,401,0.6103500761035008,B3,D1-M,seed62
middle,middle,212,0.3226788432267884,B3,D1-M,seed62
middle,late,44,0.0669710806697108,B3,D1-M,seed62
late,early,164,0.27938671209540034,B3,D1-M,seed62
late,middle,409,0.696763202725724,B3,D1-M,seed62
late,late,14,0.02385008517887564,B3,D1-M,seed62
early,early,423,0.844311377245509,B4,D1-M,seed62
early,middle,77,0.1536926147704591,B4,D1-M,seed62
early,late,1,0.001996007984031936,B4,D1-M,seed62
middle,early,458,0.6971080669710806,B4,D1-M,seed62
middle,middle,171,0.2602739726027397,B4,D1-M,seed62
middle,late,28,0.0426179604261796,B4,D1-M,seed62
late,early,79,0.13458262350936967,B4,D1-M,seed62
late,middle,507,0.8637137989778535,B4,D1-M,seed62
late,late,1,0.0017035775127768314,B4,D1-M,seed62
early,early,452,0.9021956087824351,B5,D1-M,seed62
early,middle,45,0.08982035928143713,B5,D1-M,seed62
early,late,4,0.007984031936127744,B5,D1-M,seed62
middle,early,270,0.410958904109589,B5,D1-M,seed62
middle,middle,337,0.512937595129376,B5,D1-M,seed62
middle,late,50,0.076103500761035,B5,D1-M,seed62
late,early,136,0.23168654173764908,B5,D1-M,seed62
late,middle,447,0.7614991482112436,B5,D1-M,seed62
late,late,4,0.0068143100511073255,B5,D1-M,seed62
early,early,328,0.654690618762475,B6,D1-M,seed62
early,middle,30,0.059880239520958084,B6,D1-M,seed62
early,late,143,0.28542914171656686,B6,D1-M,seed62
middle,early,219,0.3333333333333333,B6,D1-M,seed62
middle,middle,283,0.4307458143074581,B6,D1-M,seed62
middle,late,155,0.2359208523592085,B6,D1-M,seed62
late,early,62,0.10562180579216354,B6,D1-M,seed62
late,middle,500,0.8517887563884157,B6,D1-M,seed62
late,late,25,0.04258943781942078,B6,D1-M,seed62
early,early,472,0.9421157684630739,B7,D1-M,seed62
early,middle,0,0.0,B7,D1-M,seed62
early,late,29,0.05788423153692615,B7,D1-M,seed62
middle,early,351,0.5342465753424658,B7,D1-M,seed62
middle,middle,106,0.1613394216133942,B7,D1-M,seed62
middle,late,200,0.30441400304414,B7,D1-M,seed62
late,early,24,0.04088586030664395,B7,D1-M,seed62
late,middle,216,0.3679727427597956,B7,D1-M,seed62
late,late,347,0.5911413969335605,B7,D1-M,seed62
early,early,396,0.7904191616766467,B8,D1-M,seed62
early,middle,0,0.0,B8,D1-M,seed62
early,late,105,0.20958083832335328,B8,D1-M,seed62
middle,early,235,0.3576864535768645,B8,D1-M,seed62
middle,middle,162,0.2465753424657534,B8,D1-M,seed62
middle,late,260,0.395738203957382,B8,D1-M,seed62
late,early,55,0.09369676320272573,B8,D1-M,seed62
late,middle,161,0.27427597955706984,B8,D1-M,seed62
late,late,371,0.6320272572402045,B8,D1-M,seed62
early,early,497,0.9920159680638723,B9,D1-M,seed62
early,middle,0,0.0,B9,D1-M,seed62
early,late,4,0.007984031936127744,B9,D1-M,seed62
middle,early,501,0.7625570776255708,B9,D1-M,seed62
middle,middle,64,0.0974124809741248,B9,D1-M,seed62
middle,late,92,0.1400304414003044,B9,D1-M,seed62
late,early,90,0.15332197614991483,B9,D1-M,seed62
late,middle,204,0.3475298126064736,B9,D1-M,seed62
late,late,293,0.4991482112436116,B9,D1-M,seed62
early,early,462,0.9221556886227545,B1,D1-M,seed72
early,middle,39,0.07784431137724551,B1,D1-M,seed72
early,late,0,0.0,B1,D1-M,seed72
middle,early,57,0.0867579908675799,B1,D1-M,seed72
middle,middle,528,0.8036529680365296,B1,D1-M,seed72
middle,late,72,0.1095890410958904,B1,D1-M,seed72
late,early,2,0.0034071550255536627,B1,D1-M,seed72
late,middle,38,0.06473594548551959,B1,D1-M,seed72
late,late,547,0.9318568994889267,B1,D1-M,seed72
early,early,455,0.908183632734531,B10,D1-M,seed72
early,middle,0,0.0,B10,D1-M,seed72
early,late,46,0.09181636726546906,B10,D1-M,seed72
middle,early,371,0.5646879756468798,B10,D1-M,seed72
middle,middle,137,0.2085235920852359,B10,D1-M,seed72
middle,late,149,0.2267884322678843,B10,D1-M,seed72
late,early,56,0.09540034071550256,B10,D1-M,seed72
late,middle,321,0.5468483816013628,B10,D1-M,seed72
late,late,210,0.3577512776831346,B10,D1-M,seed72
early,early,501,1.0,B12,D1-M,seed72
early,middle,0,0.0,B12,D1-M,seed72
early,late,0,0.0,B12,D1-M,seed72
middle,early,394,0.5996955859969558,B12,D1-M,seed72
middle,middle,205,0.3120243531202435,B12,D1-M,seed72
middle,late,58,0.0882800608828006,B12,D1-M,seed72
late,early,113,0.19250425894378195,B12,D1-M,seed72
late,middle,436,0.7427597955706985,B12,D1-M,seed72
late,late,38,0.06473594548551959,B12,D1-M,seed72
early,early,500,0.998003992015968,B11,D1-M,seed72
early,middle,0,0.0,B11,D1-M,seed72
early,late,1,0.001996007984031936,B11,D1-M,seed72
middle,early,502,0.7640791476407914,B11,D1-M,seed72
middle,middle,94,0.1430745814307458,B11,D1-M,seed72
middle,late,61,0.0928462709284627,B11,D1-M,seed72
late,early,289,0.49233390119250425,B11,D1-M,seed72
