task,Method,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds
D1-M,B1,0.8344589219461062,0.0,5,0.8681108411035104,0.0,5,0.8033485540334855,0.0,5,0.08584474885844748,0.0,5,0.11080669710806697,0.0,5
D1-M,B10,0.17588400887952732,0.10995063537565894,5,0.234713770502259,0.1503202026511605,5,0.14246575342465753,0.08912626506016585,5,0.7555555555555555,0.13969336042032512,5,0.10197869101978689,0.0894467078360988,5
D1-M,B11,0.2515455928883603,0.1527695778081427,5,0.3018939779861785,0.14161797656181876,5,0.23165905631659056,0.18957686023420262,5,0.6621004566210045,0.23089857314649373,5,0.10624048706240488,0.1304255037387683,5
D1-M,B12,0.3425851077402168,0.1438166584287052,5,0.3589750871000128,0.12464269665006401,5,0.3476407914764079,0.20640077569339393,5,0.5646879756468797,0.25015025057591767,5,0.08767123287671233,0.10505922207182895,5
D1-M,B2,0.48752888380436604,0.015292606397826258,5,0.43376956803952105,0.019339542871157633,5,0.5582952815829528,0.03350974633608994,5,0.13942161339421613,0.016624739629726815,5,0.30228310502283107,0.03245972666682819,5
D1-M,B3,0.39921979974973565,0.05561607128024053,5,0.35490593718747326,0.034509998695397774,5,0.45996955859969557,0.08968854876220539,5,0.4541856925418569,0.09458657928796899,5,0.08584474885844748,0.01763894624757155,5
D1-M,B4,0.19051931865624241,0.07470774128972629,5,0.21457474388604938,0.06602786092403529,5,0.1765601217656012,0.0833811015208666,5,0.7716894977168949,0.08830629956992565,5,0.0517503805175038,0.024471743060598974,5
D1-M,B5,0.432172923435885,0.036007266924846126,5,0.3759005723956307,0.032972215401214686,5,0.5089802130898021,0.04552999662890536,5,0.4006088280060883,0.042704847285845185,5,0.09041095890410958,0.015544500982267015,5
D1-M,B6,0.47736312110531065,0.06235416637686326,5,0.3982536954553223,0.04454662699259178,5,0.5987823439878234,0.09949845150002087,5,0.22831050228310498,0.06772784006480057,5,0.17290715372907153,0.0361887950654142,5
D1-M,B7,0.22481877824382845,0.13922326992666137,5,0.28108868797259506,0.08093390112301312,5,0.21248097412480976,0.15863372670590087,5,0.6517503805175038,0.1663149684718543,5,0.13576864535768646,0.09905390295289727,5
D1-M,B8,0.23814660089970868,0.12517732392670738,5,0.2992127862144134,0.17069330913937547,5,0.20517503805175039,0.10826722715071435,5,0.6648401826484018,0.22560137990602963,5,0.12998477929984778,0.1596019422408655,5
D1-M,B9,0.13348696486532305,0.050134447564615145,5,0.18936401098777692,0.08519167317833941,5,0.10532724505327244,0.03890072706418237,5,0.7853881278538812,0.07405148283208605,5,0.10928462709284625,0.05201160678292754,5
D2-M,B1,0.8973827632802769,0.0,5,0.8291259982055188,0.0,5,0.9780918727915194,0.0,5,0.0219081272084805,0.0,5,0.0,0.0,5
D2-M,B10,0.4440993005618134,0.2634768817664416,5,0.568270748729704,0.3501693581324582,5,0.4035335689045937,0.2797393682930284,5,0.21537102473498235,0.264841225127601,5,0.381095406360424,0.411452008816873,5
D2-M,B11,0.5192282762638224,0.3275485187340991,5,0.5984961996773714,0.3532712864423598,5,0.5395759717314488,0.43496792566269155,5,0.1489399293286219,0.2567995523045241,5,0.31148409893992934,0.43936869140020857,5
D2-M,B12,0.6597102965231149,0.06634310520280744,5,0.49510888726523444,0.07309983133120257,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
D2-M,B2,0.3205171875830612,0.16764322150554561,5,0.46589023674379115,0.09587065599220225,5,0.26342756183745586,0.18675902003286338,5,0.0,0.0,5,0.7365724381625441,0.18675902003286338,5
D2-M,B3,0.646486631165987,0.1629467964552808,5,0.6506958215545582,0.060711865958568284,5,0.6826855123674912,0.2849233693458308,5,0.00035335689045936,0.0007901300273850759,5,0.3169611307420494,0.2848946092523533,5
D2-M,B4,0.48110190484137894,0.20940844542336723,5,0.7360711512191171,0.09024202647451204,5,0.39505300353356887,0.2401766225590003,5,0.43074204946996464,0.28095386694912927,5,0.17420494699646644,0.1592991590622446,5
D2-M,B5,0.6323765732893325,0.15121641029524455,5,0.6597517803304866,0.07386671427810934,5,0.6641342756183746,0.3016641528206982,5,0.0,0.0,5,0.33586572438162543,0.3016641528206982,5
D2-M,B6,0.5945280237119552,0.24130717667828222,5,0.6072988219643384,0.14554319618819822,5,0.6212014134275619,0.3234913097780281,5,0.0,0.0,5,0.37879858657243815,0.3234913097780281,5
D2-M,B7,0.5765945016497559,0.22843760719415288,5,0.8059199431119083,0.08334618560045443,5,0.48356890459363955,0.2702260577072117,5,0.12932862190812722,0.22922504834419366,5,0.38710247349823323,0.333993182402644,5
D2-M,B8,0.6051961708601232,0.21674380431791446,5,0.6059281094234052,0.13908191317543145,5,0.7971731448763251,0.3717536588643709,5,0.057773851590105986,0.10471011683676099,5,0.1450530035335689,0.26908205512996,5
D2-M,B9,0.6707902918166804,0.13682820566088583,5,0.7119718264422351,0.2018375059595037,5,0.7010600706713781,0.22906668740489639,5,0.04310954063604236,0.0785682907657462,5,0.25583038869257946,0.18885760573852892,5
D3-M,B1,0.9042479512496033,0.0,5,0.9162601688777702,0.0,5,0.8925877763328998,0.0,5,0.01690507152145636,0.0,5,0.09050715214564364,0.0,5
D3-M,B10,0.12039136574005102,0.25494587211223163,5,0.49634724132660857,0.47691416394459507,5,0.11469440832249674,0.2492315634763507,5,0.23355006501950584,0.12981645454415314,5,0.6517555266579974,0.33537890554275906,5
D3-M,B11,0.1335153460866274,0.26300496442747634,5,0.3522749715204657,0.30966301955275705,5,0.1355006501950585,0.28413806749314585,5,0.3068920676202861,0.2664562496356165,5,0.5576072821846554,0.4077924715506516,5
D3-M,B12,0.20330940323086547,0.23314276796106365,5,0.4371981965060166,0.19719314989030912,5,0.24655396618985695,0.4218845137083789,5,0.19505851755526654,0.2756689031557591,5,0.5583875162548765,0.4043027686348065,5
D3-M,B2,0.31842597597073724,0.14760970237463433,5,0.42548804921859384,0.08250758810817539,5,0.27282184655396613,0.16946133984740774,5,0.24993498049414825,0.309106587652704,5,0.4772431729518855,0.17989617746957212,5
D3-M,B3,0.19439879837148136,0.0738621302997039,5,0.3314108052308146,0.042970274849184587,5,0.1448634590377113,0.07581731624056122,5,0.6257477243172952,0.21024819048585033,5,0.22938881664499347,0.14134708203726912,5
D3-M,B4,0.06294341089380956,0.04191058994545743,5,0.45755697591284666,0.19356334758124152,5,0.03459037711313392,0.024129158239917015,5,0.718335500650195,0.1515208403909271,5,0.24707412223667097,0.15879941146709772,5
D3-M,B5,0.12625093307604618,0.0582391239638765,5,0.3291763044980253,0.0811217268975627,5,0.07932379713914169,0.03966722767924487,5,0.7667100130039012,0.10787988132107916,5,0.15396618985695704,0.07779333221337088,5
D3-M,B6,0.06552754419386111,0.04344192724182004,5,0.2829513362281408,0.15389822564092803,5,0.03745123537061114,0.025205438526248822,5,0.47698309492847857,0.1543454060171205,5,0.48556566970091025,0.13509545079655824,5
D3-M,B7,0.01259445843828714,0.028162065207805884,5,0.2,0.447213595499958,5,0.006501950585175539,0.014538803494797043,5,0.37737321196358903,0.22506030241946828,5,0.6161248374512354,0.2356495627666107,5
D3-M,B8,0.1568245331522694,0.2763019442283338,5,0.44797008547008554,0.44151660592361003,5,0.17581274382314693,0.35081069369326945,5,0.3739921976592978,0.19216228683932493,5,0.4501950585175553,0.3012858256202047,5
D3-M,B9,0.03152496626180834,0.0649105692199905,5,0.21923890063424945,0.32731649630018506,5,0.01742522756827046,0.03612651322108543,5,0.37191157347204157,0.0969161482856832,5,0.6106631989596879,0.10898324338834116,5
