task,Method,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds
D1-M,B1,0.0,0.0,5,0.0,0.0,5,0.006888633754305301,0.0,5
D1-M,B10,17.8,11.562871615649808,5,8.0,8.689073598491383,5,0.03968563899564304,0.020957978140827,5
D1-M,B11,20.6,13.594116374373144,5,11.2,9.549869109050658,5,0.04394484953908492,0.025358036613156033,5
D1-M,B12,13.6,10.4546640309481,5,1.6,1.140175425099138,5,0.03126983652357438,0.020577918861516477,5
D1-M,B2,176.2,17.28293956478469,5,53.8,5.403702434442518,5,0.3811710677382319,0.037887485648679664,5
D1-M,B3,89.4,7.436396977031281,5,18.6,19.50128200913981,5,0.09267049368541899,0.003387053646634854,5
D1-M,B4,53.4,18.474306482247176,5,12.0,5.338539126015656,5,0.11959605317278428,0.035091994415088035,5
D1-M,B5,85.8,9.41806774237688,5,14.0,20.530465167647808,5,0.08736165327210098,0.0046191041069754335,5
D1-M,B6,83.8,10.084641788382967,5,52.6,17.30028901492689,5,0.1872156519239196,0.016682099336230303,5
D1-M,B7,17.6,5.9833101206606365,5,17.0,7.035623639735144,5,0.04400269410069546,0.012635164836360652,5
D1-M,B8,28.6,19.086644545335883,5,20.8,24.752777621915484,5,0.060806670522928964,0.04185166410834815,5
D1-M,B9,21.6,6.54217089351845,5,14.0,4.0,5,0.048457424730114704,0.008576918507950223,5
D2-M,B1,0.0,0.0,5,0.0,0.0,5,0.0043668122270742,0.0,5
D2-M,B10,25.8,17.711578134090704,5,0.6,1.3416407864998738,5,0.01720138283478962,0.0077678986149113845,5
D2-M,B11,26.4,16.102794788483145,5,0.8,1.7888543819998317,5,0.01648786360332858,0.007632302966068828,5
D2-M,B12,1.8,3.492849839314596,5,0.0,0.0,5,0.00939339309151678,0.00617205772436084,5
D2-M,B2,136.2,41.679731285122266,5,40.0,3.6742346141747673,5,0.1991266375545851,0.062335724073756586,5
D2-M,B3,92.6,39.36114835723165,5,0.6,0.8944271909999159,5,0.07169577874818046,0.012168056129386118,5
D2-M,B4,135.0,34.698703145794944,5,81.4,40.80196073719988,5,0.14424897644581605,0.03329453383811192,5
D2-M,B5,98.8,37.7915334433521,5,0.8,1.3038404810405297,5,0.06754039301310037,0.010560845225658531,5
D2-M,B6,100.2,35.730938974507794,5,0.2,0.447213595499958,5,0.14059126900978539,0.02624941457106157,5
D2-M,B7,47.8,23.252956801232827,5,11.6,9.316651759081692,5,0.043290838007224955,0.005838445485483684,5
D2-M,B8,51.2,26.290682760247975,5,7.2,16.099689437998485,5,0.03506418998829198,0.018905739572326042,5
D2-M,B9,46.4,14.467204291085407,5,2.6,3.7148351242013424,5,0.02363790106370612,0.009514321002926141,5
D3-M,B1,0.0,0.0,5,0.0,0.0,5,0.006593406593406499,0.0,5
D3-M,B10,26.6,14.892951352905172,5,32.4,22.277791632026727,5,0.050668019741519264,0.016571211632931942,5
D3-M,B11,26.6,6.3482280992415525,5,34.8,29.886451780029024,5,0.06062721799652622,0.010159357583012134,5
D3-M,B12,22.6,14.501724035437993,5,6.6,9.289779329994873,5,0.05143609262984502,0.016543096323176455,5
D3-M,B2,229.2,19.929877069364974,5,126.6,82.75445607337409,5,0.4916483516483517,0.044675431902494685,5
D3-M,B3,135.0,43.433857760967996,5,107.6,42.96277458451677,5,0.13183663003663,0.003200221885798402,5
D3-M,B4,97.6,34.151134681002915,5,148.4,64.01015544427307,5,0.19113974424376007,0.045442277726288595,5
D3-M,B5,115.0,33.66749173906485,5,122.4,41.66893327168335,5,0.1245197802197802,0.0025422342748218254,5
D3-M,B6,134.6,14.432601983010548,5,196.8,51.12924798977588,5,0.26617008410584553,0.007991625912263184,5
D3-M,B7,33.2,13.103434664239755,5,65.8,25.033976911389846,5,0.07272346217753109,0.01353263353426418,5
D3-M,B8,49.0,18.207141456033124,5,63.8,44.93550934394758,5,0.101727665373716,0.018999006821380424,5
D3-M,B9,50.4,17.09678332318685,5,92.0,20.54263858417414,5,0.06585751655622687,0.02040870668650261,5
