task,Method,Smooth_mean,Smooth_std_seed,Acc_mean,Acc_std_seed
D1-M,A1,0.04394484953908492,0.025358036613156033,0.40607449856733524,0.08463603311432556
D1-M,A2,0.03215995162867884,0.02236146641605617,0.42773638968481376,0.09013599811856295
D1-M,A3,0.0352389964593871,0.022006774730750786,0.42739255014326644,0.08560423081999496
D1-M,A4,0.03397323049469754,0.021874748022662104,0.4270487106017192,0.08689500908993864
D1-M,A5,0.0313689964704823,0.021986674946423614,0.4414899713467049,0.08852393679203972
D1-M,A6,0.03126983652357438,0.020577918861516477,0.43954154727793693,0.08988278816462159
D2-M,A1,0.01648786360332858,0.007632302966068828,0.6791712104689205,0.12246385161661177
D2-M,A2,0.0104362566697024,0.004718025382894383,0.5951290439840058,0.10306462171712441
D2-M,A3,0.01285947066349762,0.00774808510825795,0.5669211195928753,0.14646525762014975
D2-M,A4,0.0121114992915928,0.0067809734618869116,0.5727371864776445,0.12735481919043873
D2-M,A5,0.00555468283276304,0.00411629138216754,0.5648854961832062,0.13029457346787304
D2-M,A6,0.00939339309151678,0.00617205772436084,0.5650308978553253,0.13016231484307625
D3-M,A1,0.06062721799652622,0.010159357583012134,0.47043335161821176,0.0974442841296177
D3-M,A2,0.05297741356476132,0.017011196657083928,0.47262753702687876,0.10137620413375568
D3-M,A3,0.06212294510630504,0.020156978230811147,0.47778387273724626,0.09507670846707643
D3-M,A4,0.05980719731448484,0.018798989728383748,0.4771256171146462,0.09728574331023473
D3-M,A5,0.046060570008032826,0.02153117441685333,0.46176631925397693,0.08515676397402835
D3-M,A6,0.05143609262984502,0.016543096323176455,0.46176631925397693,0.08632714995032272
