condition,run_id,true_stage,q_hat,p_raw_E,p_raw_M,p_raw_L,p_fine_E,p_fine_M,p_fine_L,p_prior_E,p_prior_M,p_prior_L,p_raw_fine_E,p_raw_fine_M,p_raw_fine_L,p_raw_prior_E,p_raw_prior_M,p_raw_prior_L,p_mix_E,p_mix_M,p_mix_L,alpha_E,alpha_M,alpha_L,p_final_E,p_final_M,p_final_L,pred_A1,pred_A2,pred_A3,pred_A4,pred_A5,pred_A6
C6,12,early,0.30841658,0.9538866,0.03144227,0.014671001,0.4779268480732606,0.48330671824645,0.0387664336792893,0.5265263711774288,0.4734616442662024,1.1984555475356896e-05,0.8081529372663369,0.160915782687155,0.030931280045508,0.8203028179518242,0.1584545142104286,0.021242667836747,0.816657853746178,0.1591928947534465,0.0241492514993753,0.978800010217908,0.021199957620838,3.2159922033871583e-08,0.8571933928641817,0.1246946604703047,0.0181119466645134,early,early,early,early,early,early
C6,13,early,0.3110891,0.9517925,0.033246603,0.014960931,0.4736418461321166,0.4874039440403769,0.0389542098265065,0.5164983742763993,0.4834883752368374,1.325048586654302e-05,0.804908773992527,0.1637924547263067,0.0312987712801661,0.8156229056094795,0.1628135625637083,0.021563531825812,0.812408666124394,0.1631072302124878,0.0244841036621182,0.9839117918658908,0.0159031707623537,0.0001850373704392,0.8552844475598358,0.1263062153499642,0.0184093370891999,early,early,early,early,early,early
C6,14,early,0.31120992,0.95159805,0.033654764,0.014747173,0.4721356472024784,0.4894284032099433,0.0384359495865782,0.5160422994764183,0.4839443898121634,1.3310710521390125e-05,0.8043652330421762,0.1647241323150158,0.0309106346418078,0.8153418959675126,0.1633531289834435,0.0213049750480438,0.8120488970899116,0.1637644299829152,0.024186672926173,0.9849351675154102,0.0148828205794065,0.0001820119038719,0.8552704646963528,0.1265440276320479,0.0181855076705991,early,early,early,early,early,early
C6,15,early,0.31091222,0.9504235,0.03482514,0.0147513915,0.467995510458612,0.4941300267235456,0.0378744628168423,0.5171656409328583,0.4828211962672032,1.3162799041896177e-05,0.8021460842072524,0.1670934297793896,0.0307604860123578,0.8144386174439927,0.1642662220231177,0.0212951605318896,0.8107508574729707,0.1651143843499992,0.02413475817603,0.9850033791459306,0.0148161095169772,0.00018051133578,0.8543139878912774,0.1275398156417537,0.0181461964659689,early,early,early,early,early,early
C6,16,early,0.31094438,0.94948864,0.03587925,0.014632138,0.4650061889541166,0.4974421693526664,0.0375516416922169,0.5170443671671857,0.482942454133558,1.3178698359891435e-05,0.8004805277934789,0.1689942413675523,0.0305252308379688,0.8134900727344301,0.1653693124547423,0.0211406148098276,0.8095872092521448,0.1664567911285853,0.0239559996182699,0.9848787257169844,0.0149419974485041,0.0001792768331978,0.8534100883684216,0.1285780927085751,0.0180118189220033,early,early,early,early,early,early
C6,17,early,0.31115308,0.947215,0.038055833,0.014729219,0.4593381038974636,0.5033059586203947,0.0373559374811417,0.516256865887253,0.4837298517643134,1.3282347536848674e-05,0.7967918541977077,0.1726432387104513,0.030564907090841,0.8110215451192012,0.1677492118505769,0.0212292430292217,0.8067526378427532,0.1692174199085392,0.0240299422477075,0.984554120362177,0.0152653533098227,0.0001805263266821,0.8512030084726768,0.1307294032588705,0.0180675882674526,early,early,early,early,early,early
C6,18,early,0.31056365,0.9462542,0.039159793,0.014586007,0.4567201469589684,0.5063503645828545,0.036929488457177,0.5184791434987471,0.4815078648431072,1.2991657249640408e-05,0.7952154258076672,0.1745090750691455,0.0302754991221872,0.8106551747412679,0.1682984502151863,0.0210463750425458,0.8060232500611877,0.170161637671374,0.0238151122664381,0.9843882988578218,0.0154322039813071,0.0001794971595516,0.8506145122604142,0.1314792792488678,0.0179062084897179,early,early,early,early,early,early
C6,19,early,0.3120317,0.94306684,0.042125024,0.01480814,0.4528344520977702,0.5105019564492893,0.0366635914519406,0.5129340784493333,0.4870521940362068,1.3727513562471952e-05,0.7911026806555511,0.1784601475331706,0.0304371718102783,0.8061275874672985,0.1725977068425428,0.0212747056891587,0.8016201154237744,0.1743564390497311,0.0240234455254945,0.9838890190241696,0.0159288270858231,0.0001821538886809,0.8471873413239422,0.1347495360587651,0.0180631226162926,early,early,early,early,early,early
C6,20,early,0.31146237,0.9423456,0.042841822,0.014812557,0.4518409522863004,0.5115943648077993,0.0365646829049003,0.5150885620805753,0.4848980004992003,1.343741932739613e-05,0.7901576443902134,0.179432927074496,0.0304094285342904,0.8059695458373828,0.1727588364200166,0.0212716177416005,0.801225975403232,0.1747610636163604,0.0240129609794074,0.983734280341524,0.0160828549946903,0.0001828646624581,0.8468530516378745,0.135091511460954,0.0180554369001716,early,early,early,early,early,early
C6,21,early,0.30944452,0.9471942,0.038006887,0.0147988945,0.4607712386141679,0.5022142491074865,0.0370145122773457,0.5226830828550795,0.4773044603577833,1.245678624240086e-05,0.797118604060037,0.1723188085422419,0.0305625873967211,0.8125965655238512,0.166091361192423,0.0213120732827256,0.8079531770847072,0.1679595953973687,0.0240872275169242,0.9844453607643218,0.01537238303576,0.0001822561986006,0.8520762230046783,0.1298127923069768,0.0181109846873448,early,early,early,early,early,early
