Task,Train_conditions,Test_condition,Method,Method_name,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth,Setting
D1_C1C4_to_C6,C1+C4,C6,B8,Relative-stage TCN,0.9605263157894736,0.9614938480935612,0.96,0.951219512195122,0.9732620320855616,1.0,0.9069767441860463,0.0542635658914724,0.0387596899224803,7,0,0.1082916259765625,Dual-source
D1_C1C4_to_C6,C1+C4,C6,B9,Relative-stage GRU,0.8026315789473685,0.8012609856687818,0.8275862068965517,0.696969696969697,0.8792270531400966,1.0,0.5348837209302325,0.2713178294573622,0.1937984496124016,1,0,0.0299920663237571,Dual-source
D1_C1C4_to_C6,C1+C4,C6,B10,Relative-stage TCN-GRU,0.7927631578947368,0.7903919834954318,0.8275862068965517,0.676923076923077,0.8666666666666667,1.0,0.5116279069767442,0.2713178294573622,0.2170542635658898,1,0,0.0391269847750663,Dual-source
D1_C1C4_to_C6,C1+C4,C6,B11,Multi-task TCN-GRU,0.986842105263158,0.9871020928241414,0.9824561403508772,0.984375,0.994475138121547,0.9921259842519684,0.9767441860465116,0.0232558139534881,0.0,0,0,0.0247480084861416,Dual-source
D1_C1C4_to_C6,C1+C4,C6,B12,FGDS-PSI,0.9835526315789472,0.983963258773826,0.9824561403508772,0.980544747081712,0.9888888888888888,0.984375,0.9767441860465116,0.0232558139534881,0.0,0,0,0.0192375269949337,Dual-source
D2_C1C6_to_C4,C1+C6,C4,B8,Relative-stage TCN,0.8289473684210527,0.8393071161737012,0.7813953488372093,0.7657657657657657,0.9707602339181286,0.9444444444444444,0.6439393939393939,0.3560606060606033,0.0,0,0,0.0201351679861545,Dual-source
D2_C1C6_to_C4,C1+C6,C4,B9,Relative-stage GRU,0.8552631578947368,0.8635282301738908,0.8155339805825242,0.8103448275862069,0.9647058823529412,0.94,0.7121212121212122,0.2878787878787857,0.0,0,0,0.0146849006414413,Dual-source
D2_C1C6_to_C4,C1+C6,C4,B10,Relative-stage TCN-GRU,0.8453947368421053,0.8549068570371859,0.7850467289719626,0.7853881278538812,0.9942857142857144,0.9885057471264368,0.6515151515151515,0.3484848484848458,0.0,0,0,0.0117797823622822,Dual-source
D2_C1C6_to_C4,C1+C6,C4,B11,Multi-task TCN-GRU,0.7993421052631579,0.8114371088822758,0.7466666666666667,0.7109004739336493,0.9767441860465116,0.9493670886075948,0.5681818181818182,0.4318181818181785,0.0,0,0,0.0131714505799692,Dual-source
D2_C1C6_to_C4,C1+C6,C4,B12,FGDS-PSI,0.7960526315789473,0.8082896408889412,0.7433628318584071,0.7047619047619048,0.9767441860465116,0.9487179487179488,0.5606060606060606,0.439393939393936,0.0,0,0,0.0123256837925662,Dual-source
D3_C4C6_to_C1,C4+C6,C1,B8,Relative-stage TCN,0.875,0.8771606369820656,0.90625,0.8272727272727273,0.8979591836734694,0.8348623853211009,0.8198198198198198,0.0,0.1801801801801785,0,0,0.0132426144555211,Dual-source
D3_C4C6_to_C1,C4+C6,C1,B9,Relative-stage GRU,0.881578947368421,0.8840371577912332,0.8947368421052632,0.8407079646017699,0.9166666666666666,0.8260869565217391,0.8558558558558559,0.0,0.1441441441441428,0,0,0.0144501831382513,Dual-source
D3_C4C6_to_C1,C4+C6,C1,B10,Relative-stage TCN-GRU,0.881578947368421,0.8840371577912332,0.8947368421052632,0.8407079646017699,0.9166666666666666,0.8260869565217391,0.8558558558558559,0.0,0.1441441441441428,0,0,0.0186109580099582,Dual-source
D3_C4C6_to_C1,C4+C6,C1,B11,Multi-task TCN-GRU,0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.013625671792433,Dual-source
D3_C4C6_to_C1,C4+C6,C1,B12,FGDS-PSI,0.8651315789473685,0.8673992790753889,0.900523560209424,0.8127853881278538,0.8888888888888888,0.8240740740740741,0.8018018018018018,0.0,0.1981981981981964,0,0,0.0151887710197367,Dual-source
S1_C1_to_C4,C1,C4,B8,Relative-stage TCN,0.8585526315789473,0.8657093975314677,0.826530612244898,0.8244897959183674,0.9461077844311376,0.8938053097345132,0.7651515151515151,0.234848484848483,0.0,1,0,0.032785952091217,Single-source
S1_C1_to_C4,C1,C4,B9,Relative-stage GRU,0.7993421052631579,0.7876868096166341,0.881578947368421,0.8148148148148148,0.6666666666666666,0.6875,1.0,0.0,0.0,2,1,0.0299509074538946,Single-source
S1_C1_to_C4,C1,C4,B10,Relative-stage TCN-GRU,0.8651315789473685,0.8730512129366842,0.8155339805825242,0.8209606986899564,0.9826589595375722,0.9690721649484536,0.7121212121212122,0.2878787878787857,0.0,0,0,0.0166850034147501,Single-source
S1_C1_to_C4,C1,C4,B11,Multi-task TCN-GRU,0.9111842105263158,0.9118443685902226,0.9565217391304348,0.9072164948453608,0.8717948717948718,0.8301886792452831,1.0,0.0,0.0,1,0,0.0157624853916294,Single-source
S1_C1_to_C4,C1,C4,B12,FGDS-PSI,0.8026315789473685,0.7929745875603897,0.8874172185430463,0.8148148148148148,0.6766917293233082,0.6875,1.0,0.0,0.0,1,0,0.0131401714824632,Single-source
S2_C1_to_C6,C1,C6,B8,Relative-stage TCN,0.8322368421052632,0.8308723986571916,0.8169014084507042,0.8349514563106796,0.8407643312101911,0.7166666666666667,1.0,0.0,0.0,2,0,0.0473941080272197,Single-source
S2_C1_to_C6,C1,C6,B9,Relative-stage GRU,0.8618421052631579,0.8606399054493267,0.9433962264150944,0.86,0.7785234899328859,0.7543859649122807,1.0,0.0,0.0,4,0,0.0302731730043888,Single-source
S2_C1_to_C6,C1,C6,B10,Relative-stage TCN-GRU,0.9144736842105264,0.9162580076053904,0.9367088607594936,0.908450704225352,0.9036144578313252,0.832258064516129,1.0,0.0,0.0,1,0,0.0145325772464275,Single-source
S2_C1_to_C6,C1,C6,B11,Multi-task TCN-GRU,0.8980263157894737,0.895240311211273,0.8413793103448276,0.8864468864468864,0.9578947368421052,0.8402777777777778,0.937984496124031,0.0,0.0620155038759685,0,0,0.014660656329232,Single-source
