Setting,Method,Method_name,Acc_mean,Acc_std,Macro-F1_mean,Macro-F1_std,M-F1_mean,M-F1_std,M-Rec_mean,M-Rec_std,Smooth_mean,Smooth_std
Dual-source,B8,Relative-stage TCN,0.8881578947368421,0.0545166793625265,0.8926538670831093,0.051071384672416,0.8480860017445383,0.0771283229942161,0.7902453193150868,0.10940185926596,0.0472231361394127,0.0432735266399347
Dual-source,B9,Relative-stage GRU,0.8464912280701755,0.0328215560243327,0.8496087912113018,0.0351974123441515,0.7826741630525579,0.0618569406090518,0.7009535963024335,0.1312740507030617,0.0197090500344832,0.0072718219212097
Dual-source,B10,Relative-stage TCN-GRU,0.8399122807017543,0.0364655463778857,0.8431119994412836,0.0391296449128063,0.767673056459576,0.0680281322878484,0.6729996381159172,0.1413492307979399,0.0231725750491023,0.0116210622710175
Dual-source,B11,Multi-task TCN-GRU,0.8804824561403509,0.078596319901129,0.8853399280191373,0.0743713833927036,0.8305239234099818,0.1142387177366731,0.7732335930010349,0.1667984483136179,0.0171817102861813,0.0053533933516045
Dual-source,B12,FGDS-PSI,0.8815789473684211,0.0774250151048672,0.886550726246052,0.0729857906341554,0.8326973466571569,0.1134648509417561,0.7797173494847914,0.170603882599195,0.0155839939357455,0.0028355534413975
Single-source,B8,Relative-stage TCN,0.8042763157894738,0.1244614147266975,0.784152860276993,0.1553373972905333,0.7904624582941322,0.1207727766125959,0.866754439428858,0.1368675619150334,0.0345349153503775,0.0128312782956759
Single-source,B9,Relative-stage GRU,0.8371710526315789,0.0318218681160777,0.839173213327486,0.0341552335975695,0.7988715813960913,0.0575646439585769,0.8122393006113936,0.1509276575140269,0.0336315268650651,0.006317545502254
Single-source,B10,Relative-stage TCN-GRU,0.8580043859649124,0.0563520755714155,0.8642483724346256,0.0525770230790735,0.8179045050878377,0.083595467316643,0.8168834796741774,0.1650512064512447,0.0206949918841322,0.0066485914901321
Single-source,B11,Multi-task TCN-GRU,0.8678728070175438,0.06809069269942,0.8695442651659945,0.0674558305887009,0.8388887140791054,0.0924529760834141,0.8741540165958771,0.1579904382909365,0.0198070830835861,0.0058210953443135
Single-source,B12,FGDS-PSI,0.849780701754386,0.0641705038964891,0.8482028258136255,0.0669563931740874,0.8278693594616257,0.0818543877706094,0.9014111892018868,0.158710411325651,0.015474904308984,0.0044591322652831
