Method,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth,Acc_score,Macro-F1_score,E-F1_score,M-F1_score,L-F1_score,M-Pre_score,M-Rec_score,M→E_score,M→L_score,Rev_score,Jump_score,Smooth_score
B1,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,0.0,0.3798,0,0,0.0132,0.16650579150538986,0.25322997415970355,0.0,0.6041287188822059,0.21181716833812053,0.5754999999994245,0.6349953926480649,1.0,0.2687716596086468,1.0,1.0,1.0
B2,0.5757,0.4871,0.7304,0.0,0.7309,0.0,0.0,0.4806,0.5194,5,11,0.0726,0.0,0.0,0.5187094310795749,0.0,0.0,0.0,0.0,2.080668970450006e-12,1.925237747002484e-12,0.6875000000000195,9.092726571680032e-14,0.5892116182601024
B3,0.9474,0.949,0.9231,0.935,0.9889,0.9829,0.8915,0.1085,0.0,5,0,0.1096,0.8969594594572952,0.9181077320593956,0.8865979381426373,0.9461647439779943,0.9587513935304395,0.982899999999017,0.9127674823375521,0.7742405326679687,1.0,0.6875000000000195,1.0,0.3333333333379438
B4,0.8651,0.8695,0.8737,0.8379,0.897,0.8548,0.8217,0.1783,0.0,9,0,0.1578,0.6983590733573881,0.7600874577603658,0.7922871324918055,0.8479052823306539,0.617242660718628,0.8547999999991451,0.8413023446290148,0.6290054099050583,1.0,0.4375000000000351,1.0,6.915690242692563e-12
B5,0.977,0.9773,0.9651,0.9723,0.9945,0.9919,0.9535,0.0388,0.0078,5,0,0.1105,0.9683880308856941,0.9743589743570377,0.9667812142020488,0.983910139646849,0.9795615012969918,0.991899999999008,0.9762465444855368,0.9192675821890985,0.9849826723142376,0.6875000000000195,1.0,0.3271092669479454
B6,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.0388,0.0,9,0,0.139,0.7302123552105931,0.7740011926043053,0.6618938526142385,0.8805909734862573,0.8290598290567481,0.7948999999992051,0.9841302344619801,0.9192675821890985,1.0,0.4375000000000351,1.0,0.13001383126466093
B7,0.8618,0.8651,0.8889,0.8174,0.8889,0.9307,0.7287,0.1628,0.1085,16,0,0.1554,0.690395752894087,0.7513416815727464,0.8213058419228306,0.8271604938263235,0.5871423262705793,0.9306999999990692,0.746083751407038,0.6612567623810628,0.7911051212942027,6.23945339839338e-14,1.0,0.016597510380244818
B8,0.9539,0.955,0.9385,0.9426,0.9838,1.0,0.8915,0.0853,0.0233,10,0,0.1245,0.9126447876425854,0.9300337904970581,0.9159984726977548,0.9538554948381361,0.9397993311001867,0.9999999999989999,0.9127674823375521,0.8225135247610851,0.955140546784838,0.37500000000003897,1.0,0.23029045643685842
B9,0.9539,0.956,0.9825,0.9426,0.943,1.0,0.8915,0.0233,0.0853,1,0,0.0398,0.9126447876425854,0.9320214669033353,0.999999999998091,0.9538554948381361,0.7881828316581635,0.9999999999989999,0.9127674823375521,0.951518934665103,0.8357720446672395,0.9375000000000039,1.0,0.8160442600289347
B10,0.8684,0.8746,0.8317,0.8261,0.9659,0.9406,0.7364,0.2636,0.0,0,0,0.0219,0.7063223938206893,0.770224607432379,0.7121038564323938,0.8359643796793808,0.8732813080606716,0.9405999999990593,0.7539674413834812,0.45151893466614335,1.0,1.0,1.0,0.9398340248966817
B11,0.9901,0.9902,0.9825,0.9882,1.0,1.0,0.9767,0.0233,0.0,0,0,0.0236,0.9999999999975869,0.9999999999980124,0.999999999998091,0.999999999998988,0.999999999996284,0.9999999999989999,0.9999999999989762,0.951518934665103,1.0,1.0,1.0,0.9280774550489068
B12,0.9868,0.9871,0.9825,0.9844,0.9945,0.9921,0.9767,0.0233,0.0,0,0,0.0188,0.9920366795342858,0.9938382031385533,0.999999999998091,0.9961546245689171,0.9795615012969918,0.9920999999990078,0.9999999999989762,0.951518934665103,1.0,1.0,1.0,0.9612724757955652
