Setting,Task,Train_conditions,Test_condition,condition,run_id,true_stage,pred_stage,p_E,p_M,p_L,q_hat
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,12,early,early,0.8050246379087224,0.1685086399121741,0.0264667221781034,0.3050293326377868
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,13,early,early,0.8044629761581211,0.1689666632849806,0.0265703605558981,0.3051696419715881
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,14,early,early,0.8052490542043789,0.1688252684886252,0.0259256773059959,0.303626000881195
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,15,early,early,0.8048311023693004,0.1695743832961753,0.0255945143335242,0.3027564287185669
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,16,early,early,0.8046993971182568,0.1701266822141882,0.0251739206665549,0.3013211190700531
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,17,early,early,0.8036713494843968,0.171284565285271,0.0250440852293321,0.3004158437252044
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,18,early,early,0.8030684018571207,0.1721003135479172,0.0248312845939622,0.2998101711273193
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,19,early,early,0.8011162642543405,0.1740567081281755,0.0248270276164839,0.2997461259365082
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,20,early,early,0.8005898347400373,0.1744669714987134,0.0249431937602492,0.2992067337036133
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,21,early,early,0.8007947718237816,0.1730853772728443,0.0261198509023741,0.3018762469291687
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,22,early,early,0.8026906204250586,0.1711088148187265,0.0262005647552149,0.3015595376491546
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,23,early,early,0.8030214568084952,0.17024218843191,0.0267363547585948,0.3023770153522491
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,24,early,early,0.8032792836167274,0.1696117102755611,0.0271090061067114,0.3030285835266113
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,25,early,early,0.8032581879935853,0.1693752086118664,0.0273666033935484,0.3042000234127044
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,26,early,early,0.8032417892455238,0.1690413162996855,0.0277168944537906,0.3058172762393951
