Method,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,1-M→E,1-M→L,Smooth*
B1,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,1.0,0.6202,1.0
B2,0.5757,0.4871,0.7304,0.0,0.7309,0.0,0.0,0.5194,0.4806,0.5892116182601024
B3,0.9474,0.949,0.9231,0.935,0.9889,0.9829,0.8915,0.8915,1.0,0.3333333333379438
B4,0.8651,0.8695,0.8737,0.8379,0.897,0.8548,0.8217,0.8217,1.0,6.915690242692563e-12
B5,0.977,0.9773,0.9651,0.9723,0.9945,0.9919,0.9535,0.9612,0.9922,0.3271092669479454
B6,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.9612,1.0,0.13001383126466093
B7,0.8618,0.8651,0.8889,0.8174,0.8889,0.9307,0.7287,0.8371999999999999,0.8915,0.016597510380244818
B8,0.9539,0.955,0.9385,0.9426,0.9838,1.0,0.8915,0.9147,0.9767,0.23029045643685842
B9,0.9539,0.956,0.9825,0.9426,0.943,1.0,0.8915,0.9767,0.9147,0.8160442600289347
B10,0.8684,0.8746,0.8317,0.8261,0.9659,0.9406,0.7364,0.7363999999999999,1.0,0.9398340248966817
B11,0.9901,0.9902,0.9825,0.9882,1.0,1.0,0.9767,0.9767,1.0,0.9280774550489068
B12,0.9868,0.9871,0.9825,0.9844,0.9945,0.9921,0.9767,0.9767,1.0,0.9612724757955652
