Method,True_stage,Pred_stage,count,row_norm
B1,early,early,25,0.2976
B1,early,middle,59,0.7024
B1,early,late,0,0.0
B1,middle,early,0,0.0
B1,middle,middle,80,0.6202
B1,middle,late,49,0.3798
B1,late,early,0,0.0
B1,late,middle,0,0.0
B1,late,late,91,1.0
B5,early,early,83,0.9881
B5,early,middle,1,0.0119
B5,early,late,0,0.0
B5,middle,early,5,0.0388
B5,middle,middle,123,0.9535
B5,middle,late,1,0.0078
B5,late,early,0,0.0
B5,late,middle,0,0.0
B5,late,late,91,1.0
B11,early,early,84,1.0
B11,early,middle,0,0.0
B11,early,late,0,0.0
B11,middle,early,3,0.0233
B11,middle,middle,126,0.9767
B11,middle,late,0,0.0
B11,late,early,0,0.0
B11,late,middle,0,0.0
B11,late,late,91,1.0
B12,early,early,84,1.0
B12,early,middle,0,0.0
B12,early,late,0,0.0
B12,middle,early,3,0.0233
B12,middle,middle,126,0.9767
B12,middle,late,0,0.0
B12,late,early,0,0.0
B12,late,middle,1,0.011
B12,late,late,90,0.989
