run_id,true_stage,pred_stage,p_E,p_M,p_L,method
12,early,early,0.9538,0.0316,0.0146,B11
13,early,early,0.9518,0.0333,0.0149,B11
14,early,early,0.9516,0.0337,0.0147,B11
15,early,early,0.9505,0.0349,0.0147,B11
16,early,early,0.9495,0.0359,0.0146,B11
17,early,early,0.9473,0.038,0.0147,B11
18,early,early,0.9463,0.0392,0.0145,B11
19,early,early,0.943,0.0422,0.0148,B11
20,early,early,0.9423,0.0429,0.0148,B11
21,early,early,0.9472,0.038,0.0147,B11
22,early,early,0.9497,0.0358,0.0145,B11
23,early,early,0.9509,0.0345,0.0147,B11
24,early,early,0.9514,0.0338,0.0148,B11
25,early,early,0.9521,0.033,0.0149,B11
26,early,early,0.9526,0.0323,0.0151,B11
27,early,early,0.9526,0.0321,0.0153,B11
28,early,early,0.9526,0.0318,0.0156,B11
29,early,early,0.9526,0.0316,0.0159,B11
30,early,early,0.9527,0.0313,0.0159,B11
31,early,early,0.9531,0.0312,0.0156,B11
32,early,early,0.9532,0.0312,0.0157,B11
33,early,early,0.9529,0.031,0.0161,B11
34,early,early,0.9532,0.0308,0.016,B11
35,early,early,0.9531,0.0307,0.0161,B11
36,early,early,0.9532,0.0307,0.0161,B11
37,early,early,0.9533,0.0306,0.0161,B11
38,early,early,0.9535,0.0305,0.0161,B11
39,early,early,0.9535,0.0305,0.016,B11
40,early,early,0.9535,0.0305,0.016,B11
41,early,early,0.9535,0.0305,0.016,B11
42,early,early,0.9536,0.0305,0.0159,B11
43,early,early,0.9537,0.0304,0.016,B11
44,early,early,0.9537,0.0303,0.0159,B11
45,early,early,0.9539,0.0302,0.0158,B11
46,early,early,0.9539,0.0303,0.0158,B11
47,early,early,0.9538,0.0303,0.0158,B11
48,early,early,0.9538,0.0303,0.0158,B11
49,early,early,0.9537,0.0304,0.0159,B11
50,early,early,0.9537,0.0305,0.0159,B11
51,early,early,0.9534,0.0306,0.016,B11
52,early,early,0.9534,0.0306,0.016,B11
53,early,early,0.9531,0.0307,0.0162,B11
54,early,early,0.9529,0.0308,0.0163,B11
55,early,early,0.9527,0.0309,0.0165,B11
56,early,early,0.9525,0.031,0.0165,B11
57,early,early,0.9522,0.0312,0.0166,B11
58,early,early,0.9521,0.0312,0.0167,B11
59,early,early,0.9516,0.0315,0.0169,B11
60,early,early,0.9517,0.0317,0.0167,B11
61,early,early,0.9512,0.0319,0.0169,B11
62,early,early,0.9513,0.0321,0.0166,B11
63,early,early,0.9506,0.0325,0.017,B11
64,early,early,0.9504,0.0327,0.0169,B11
65,early,early,0.9483,0.0337,0.0181,B11
66,early,early,0.9477,0.0342,0.0181,B11
67,early,early,0.946,0.0355,0.0185,B11
68,early,early,0.9444,0.0369,0.0187,B11
69,early,early,0.9414,0.0392,0.0194,B11
70,early,early,0.9371,0.0428,0.0201,B11
71,early,early,0.9319,0.0474,0.0207,B11
72,early,early,0.9274,0.0516,0.0209,B11
73,early,early,0.9163,0.0613,0.0224,B11
74,early,early,0.9082,0.0689,0.023,B11
75,early,early,0.895,0.0811,0.024,B11
76,early,early,0.9027,0.0738,0.0235,B11
77,early,early,0.8905,0.0855,0.024,B11
78,early,early,0.9048,0.0727,0.0225,B11
79,early,early,0.9018,0.0757,0.0224,B11
