sample_id,split,condition,run_id,true_stage,pred_stage,q_true,q_hat,p_E,p_M,p_L,uncertainty,entropy,misclassified
test_C6_00000,test_C6,C6,12,early,early,,0.30841658,0.8571933928641817,0.1246946604703047,0.0181119466645134,0.14280660713581828,0.42265772660687295,0
test_C6_00001,test_C6,C6,13,early,early,,0.3110891,0.8552844475598358,0.1263062153499642,0.0184093370891999,0.1447155524401642,0.42651612667554256,0
test_C6_00002,test_C6,C6,14,early,early,,0.31120992,0.8552704646963528,0.1265440276320479,0.0181855076705991,0.14472953530364718,0.42614665428444737,0
test_C6_00003,test_C6,C6,15,early,early,,0.31091222,0.8543139878912774,0.1275398156417537,0.0181461964659689,0.14568601210872256,0.4277367643693955,0
test_C6_00004,test_C6,C6,16,early,early,,0.31094438,0.8534100883684216,0.1285780927085751,0.0180118189220033,0.14658991163157842,0.42905831866212735,0
test_C6_00005,test_C6,C6,17,early,early,,0.31115308,0.8512030084726768,0.1307294032588705,0.0180675882674526,0.14879699152732317,0.43294151115239937,0
test_C6_00006,test_C6,C6,18,early,early,,0.31056365,0.8506145122604142,0.1314792792488678,0.0179062084897179,0.14938548773958582,0.4336516023757987,0
test_C6_00007,test_C6,C6,19,early,early,,0.3120317,0.8471873413239422,0.1347495360587651,0.0180631226162926,0.15281265867605776,0.43971726203565337,0
test_C6_00008,test_C6,C6,20,early,early,,0.31146237,0.8468530516378745,0.135091511460954,0.0180554369001716,0.1531469483621255,0.4402621740044845,0
test_C6_00009,test_C6,C6,21,early,early,,0.30944452,0.8520762230046783,0.1298127923069768,0.0181109846873448,0.14792377699532167,0.4315271589890228,0
test_C6_00010,test_C6,C6,22,early,early,,0.30778018,0.8551142214844716,0.1269441882057655,0.0179415903087629,0.14488577851552842,0.42598560851163636,0
test_C6_00011,test_C6,C6,23,early,early,,0.30768856,0.8563332989130121,0.1255760383181796,0.0180906627678082,0.14366670108698787,0.42412637080647025,0
test_C6_00012,test_C6,C6,24,early,early,,0.3082663,0.856599386888143,0.1251243361928062,0.0182762769180508,0.14340061311185703,0.4239871084781185,0
test_C6_00013,test_C6,C6,25,early,early,,0.30879354,0.8569651177039966,0.1246698935402352,0.018364988754768,0.14303488229600336,0.4235010347460925,0
test_C6_00014,test_C6,C6,26,early,early,,0.30929556,0.8572830246715882,0.1241511284281319,0.0185658468992799,0.14271697532841177,0.4232913301070965,0
test_C6_00015,test_C6,C6,27,early,early,,0.30984277,0.8570918998430154,0.1240832744322589,0.0188248257237257,0.14290810015698463,0.4240737462795791,0
test_C6_00016,test_C6,C6,28,early,early,,0.31028926,0.8569078014468149,0.1240050827387425,0.0190871158134426,0.1430921985531851,0.4248461246176992,0
test_C6_00017,test_C6,C6,29,early,early,,0.31039134,0.8569148693947723,0.123749137187361,0.0193359934168665,0.14308513060522765,0.4252559003020126,0
test_C6_00018,test_C6,C6,30,early,early,,0.31010622,0.8572474907555031,0.1233735896246931,0.0193789196188038,0.1427525092444969,0.424741934776417,0
test_C6_00019,test_C6,C6,31,early,early,,0.31003374,0.8576387628244226,0.123220016989505,0.0191412201850723,0.14236123717557736,0.4236495362674262,0
test_C6_00020,test_C6,C6,32,early,early,,0.3103569,0.8575130451653633,0.1233260380084997,0.019160916825137,0.1424869548346367,0.42390488709212215,0
test_C6_00021,test_C6,C6,33,early,early,,0.3106518,0.8572026325147336,0.1232419959508027,0.0195553715334637,0.1427973674852664,0.42511759400997984,0
test_C6_00022,test_C6,C6,34,early,early,,0.3106452,0.8574164359787517,0.1231248775451358,0.0194586864751125,0.14258356402124828,0.42457783462186177,0
test_C6_00023,test_C6,C6,35,early,early,,0.31085083,0.8572513966241427,0.1231522642384562,0.019596339136401,0.14274860337585726,0.4251000820332664,0
test_C6_00024,test_C6,C6,36,early,early,,0.3107693,0.8573663129881294,0.1230504248457137,0.0195832621651568,0.14263368701187062,0.42487519466615503,0
test_C6_00025,test_C6,C6,37,early,early,,0.31063253,0.8575543346243597,0.1228525446026276,0.0195931207720127,0.1424456653756403,0.4245592834675413,0
test_C6_00026,test_C6,C6,38,early,early,,0.31032658,0.8578806378346199,0.1225834704096293,0.0195358917547507,0.14211936216538013,0.4238861236175611,0
test_C6_00027,test_C6,C6,39,early,early,,0.31011748,0.8580147108405106,0.1224827642624082,0.0195025248960812,0.14198528915948938,0.423592824427073,0
test_C6_00028,test_C6,C6,40,early,early,,0.31012213,0.8579829899195082,0.1225337520415926,0.0194832580378992,0.14201701008049183,0.42361678866739727,0
test_C6_00029,test_C6,C6,41,early,early,,0.31012973,0.858001997897288,0.1225577119226623,0.0194402901790496,0.14199800210271196,0.42351115187183425,0
test_C6_00030,test_C6,C6,42,early,early,,0.30962062,0.8583912745618231,0.1222382829671026,0.0193704424700744,0.14160872543817693,0.4227039713492498,0
test_C6_00031,test_C6,C6,43,early,early,,0.30968666,0.858377668300433,0.1221925657313027,0.0194297659672642,0.14162233169956695,0.4228274976921835,0
test_C6_00032,test_C6,C6,44,early,early,,0.30943763,0.8585971619023091,0.1219907003014055,0.0194121377952854,0.14140283809769094,0.42240832492428104,0
test_C6_00033,test_C6,C6,45,early,early,,0.309207,0.8589178003765094,0.1217747429068615,0.019307456715629,0.14108219962349056,0.42166318301627354,0
test_C6_00034,test_C6,C6,46,early,early,,0.3092773,0.8588341583876061,0.1218582974150208,0.019307544196373,0.14116584161239387,0.4218120280899932,0
test_C6_00035,test_C6,C6,47,early,early,,0.3092726,0.8588206534019234,0.121872018164923,0.0193073284321537,0.14117934659807663,0.42183566975059567,0
test_C6_00036,test_C6,C6,48,early,early,,0.30921546,0.8588042522635273,0.1218750190517959,0.0193207286836768,0.1411957477364727,0.42188728907087086,0
test_C6_00037,test_C6,C6,49,early,early,,0.30946785,0.8585939581704493,0.1220507871824665,0.0193552546460842,0.14140604182955074,0.42231875695855603,0
test_C6_00038,test_C6,C6,50,early,early,,0.30960348,0.8584410533393168,0.1222038055176799,0.0193551411420033,0.14155894666068325,0.42258998752543137,0
test_C6_00039,test_C6,C6,51,early,early,,0.309708,0.8581936562872067,0.1223362450194598,0.0194700986923335,0.14180634371279333,0.4232213936795046,0
test_C6_00040,test_C6,C6,52,early,early,,0.30985945,0.8580534050898799,0.1224509879553285,0.0194956069537915,0.14194659491012007,0.4235126854837975,0
test_C6_00041,test_C6,C6,53,early,early,,0.31034297,0.8575290636705533,0.122781690145706,0.0196892461827407,0.14247093632944674,0.4247643743770345,0
test_C6_00042,test_C6,C6,54,early,early,,0.31057817,0.8572567325978704,0.1229559610480901,0.0197873063530395,0.14274326740212961,0.4254091767944106,0
test_C6_00043,test_C6,C6,55,early,early,,0.31067303,0.8569645705706133,0.123134358077182,0.0199010713512046,0.14303542942938674,0.4261143131002811,0
test_C6_00044,test_C6,C6,56,early,early,,0.31107557,0.8566355629483715,0.1234343238259305,0.019930113224698,0.1433644370516285,0.42674310079899314,0
test_C6_00045,test_C6,C6,57,early,early,,0.31170356,0.8559660445738961,0.1239933298097508,0.020040625615353,0.14403395542610387,0.4281054973632606,0
test_C6_00046,test_C6,C6,58,early,early,,0.31208268,0.8557676973710592,0.1241357520973871,0.0200965505305536,0.14423230262894082,0.42854691418502894,0
test_C6_00047,test_C6,C6,59,early,early,,0.3124793,0.8550202685518585,0.1246652473267047,0.0203144841204367,0.14497973144814147,0.4302191977997685,0
test_C6_00048,test_C6,C6,60,early,early,,0.31273922,0.8548861734304002,0.1250132881570742,0.0201005384115256,0.1451138265695998,0.4300994207670701,0
test_C6_00049,test_C6,C6,61,early,early,,0.3130735,0.854266707099215,0.1254532710513777,0.0202800218484073,0.14573329290078496,0.4314804304868027,0
test_C6_00050,test_C6,C6,62,early,early,,0.3128292,0.8544947860515113,0.1254695736930378,0.0200356402544507,0.1455052139484887,0.43067544047138073,0
test_C6_00051,test_C6,C6,63,early,early,,0.31355837,0.8534243744220167,0.1262224550969027,0.0203531704800806,0.14657562557798332,0.4330699388483059,0
test_C6_00052,test_C6,C6,64,early,early,,0.3137321,0.8532326769729731,0.1264947908596225,0.0202725321664042,0.14676732302702689,0.43326905339096683,0
test_C6_00053,test_C6,C6,65,early,early,,0.31490836,0.8508629103500511,0.1277872463193975,0.0213498433295512,0.14913708964994887,0.4391473464352587,0
test_C6_00054,test_C6,C6,66,early,early,,0.31548768,0.8502101418558287,0.1284508108446573,0.0213390472985141,0.14978985814417134,0.4402544548191375,0
test_C6_00055,test_C6,C6,67,early,early,,0.31680593,0.8479555006234492,0.1303108781564133,0.0217336212191375,0.15204449937655085,0.4447595684943099,0
test_C6_00056,test_C6,C6,68,early,early,,0.3171714,0.8463253090467077,0.1317999538808395,0.0218747370714528,0.15367469095329234,0.44775920791769414,0
test_C6_00057,test_C6,C6,69,early,early,,0.3198522,0.8422635356447687,0.1352645713825689,0.0224718929716624,0.15773646435523125,0.45555343128588976,0
test_C6_00058,test_C6,C6,70,early,early,,0.3223141,0.8373426817268965,0.1396822470637962,0.0229750712083073,0.16265731827310348,0.4644841354121986,0
test_C6_00059,test_C6,C6,71,early,early,,0.32480612,0.8316107710194771,0.1449259609807907,0.0234632679987322,0.1683892289805229,0.47451880725024925,0
test_C6_00060,test_C6,C6,72,early,early,,0.3268025,0.8267343007765039,0.1496969957555994,0.0235687034668966,0.1732656992234961,0.48236471661465175,0
test_C6_00061,test_C6,C6,73,early,early,,0.33228207,0.8150475922281818,0.1602382707200758,0.0247141370507424,0.1849524077718182,0.5020400002221592,0
test_C6_00062,test_C6,C6,74,early,early,,0.33443183,0.8076132323459074,0.1672806582555559,0.0251061093975367,0.19238676765409257,0.513541497699364,0
test_C6_00063,test_C6,C6,75,early,early,,0.33585265,0.7971964606216861,0.177032273592986,0.0257712657843279,0.20280353937831386,0.5292947452030627,0
test_C6_00064,test_C6,C6,76,early,early,,0.3345486,0.803492922117845,0.1710918901762244,0.0254151877049306,0.19650707788215505,0.5199293118624545,0
test_C6_00065,test_C6,C6,77,early,early,,0.3347901,0.7946280979024767,0.1796606429539841,0.025711259142539,0.20537190209752332,0.5326858673193248,0
test_C6_00066,test_C6,C6,78,early,early,,0.33362174,0.8051335758274555,0.1702502428317875,0.024616181339757,0.19486642417254452,0.5162175937289126,0
test_C6_00067,test_C6,C6,79,early,early,,0.33459008,0.8025892731314042,0.1728993199709386,0.0245114068966571,0.19741072686859584,0.519608972991935,0
test_C6_00068,test_C6,C6,80,early,early,,0.33159715,0.8125933902627149,0.1639533514458266,0.0234532582904584,0.18740660973728507,0.5034562067221758,0
test_C6_00069,test_C6,C6,81,early,early,,0.33138466,0.8111432113729177,0.1651825652744244,0.0236742233516578,0.18885678862708233,0.5059538858169194,0
test_C6_00070,test_C6,C6,82,early,early,,0.3300119,0.8163245098465473,0.1605823212100873,0.0230931689423654,0.18367549015345275,0.4973406193221192,0
test_C6_00071,test_C6,C6,83,early,early,,0.33040875,0.8142304886149724,0.1626427846148099,0.0231267267692176,0.18576951138502762,0.5004846691846263,0
test_C6_00072,test_C6,C6,84,early,early,,0.33058292,0.8157440050248992,0.1614565144221991,0.0227994805519016,0.1842559949751008,0.4976773220192897,0
test_C6_00073,test_C6,C6,85,early,early,,0.3312505,0.8130362992236219,0.1640226436566252,0.0229410571187529,0.18696370077637814,0.5018990390015244,0
test_C6_00074,test_C6,C6,86,early,early,,0.33099213,0.8098117491469328,0.1671845878994846,0.0230036629525825,0.19018825085306723,0.5066761075182904,0
test_C6_00075,test_C6,C6,87,early,early,,0.3272775,0.8218264409131473,0.155774231853985,0.0223993272318677,0.17817355908685273,0.48788008946688116,0
test_C6_00076,test_C6,C6,88,early,early,,0.33134857,0.8050895249094705,0.1712139523087349,0.0236965227807946,0.1949104750905295,0.5146427223408226,0
test_C6_00077,test_C6,C6,89,early,early,,0.33018684,0.8119370784295333,0.1652060604642826,0.0228568611051839,0.18806292157046667,0.503345248985655,0
test_C6_00078,test_C6,C6,90,early,early,,0.33249724,0.7915019731067431,0.1838079215131268,0.0246901053791301,0.20849802689325692,0.5350419820133411,0
test_C6_00079,test_C6,C6,91,early,early,,0.3338606,0.8046473833265849,0.1717377317251798,0.0236148849472352,0.19535261667341508,0.5151178164800249,0
test_C6_00080,test_C6,C6,92,early,early,,0.3340861,0.7842881814205958,0.1902459656175952,0.025465852960809,0.21571181857940425,0.5459040909132995,0
test_C6_00081,test_C6,C6,93,early,early,,0.33365762,0.7951554323168452,0.1805007737104815,0.0243437939716732,0.20484456768315484,0.529516640836377,0
test_C6_00082,test_C6,C6,94,early,early,,0.3331414,0.7651570753126603,0.2081490551550637,0.0266938695312759,0.2348429246873397,0.5718335330552486,0
test_C6_00083,test_C6,C6,95,early,early,,0.33512202,0.7706441324204141,0.2030472767591715,0.0263085908194143,0.22935586757958593,0.5645334580671578,0
test_C6_00084,test_C6,C6,96,middle,early,,0.33714688,0.7258959614685982,0.2445687704037622,0.0295352681266395,0.27410403853140175,0.6198584304076441,1
test_C6_00085,test_C6,C6,97,middle,early,,0.34078965,0.6747837869892561,0.2927435947860133,0.0324726182237305,0.3252162130107439,0.6702578321274614,1
test_C6_00086,test_C6,C6,98,middle,early,,0.34062564,0.637673500815174,0.328617085372746,0.03370941381108,0.36232649918482596,0.6980509881559153,1
test_C6_00087,test_C6,C6,99,middle,middle,,0.3494098,0.4773175550941868,0.4866233811167891,0.036059063788024,0.513376618883211,0.7494170113104669,0
test_C6_00088,test_C6,C6,100,middle,middle,,0.35281166,0.4024065145418347,0.561282674213534,0.0363108112436314,0.43871732578646605,0.7380757811941782,0
test_C6_00089,test_C6,C6,101,middle,middle,,0.3589523,0.3025051688246379,0.660636350280215,0.0368584808941471,0.33936364971978505,0.6892495371185212,0
