epoch,train_loss,val_loss,val_acc,val_macro_f1,val_middle_recall,val_q_RMSE,score
1,1.4555496527598455,1.3450035452842712,0.5666666666666667,0.5353535353535354,0.0,0.19752279851026108,3.0374843576818233
2,1.1996590724358192,0.9725033342838287,0.75,0.773955773955774,0.4230769230769231,0.15695699122606135,1.7189740858278844
3,0.8665390794093792,0.6093279123306274,1.0,1.0,1.0,0.1204324466009452,0.02408648932018904
4,0.5807528472863711,0.3933088928461075,1.0,1.0,1.0,0.09357188176803843,0.018714376353607686
5,0.4296594032874474,0.33618950843811035,1.0,1.0,1.0,0.08157474906364261,0.016314949812728522
6,0.3516046955035283,0.31840185821056366,1.0,1.0,1.0,0.0821632598073596,0.01643265196147192
7,0.32378491988548863,0.30087973922491074,1.0,1.0,1.0,0.08385634811344675,0.01677126962268935
8,0.3459928219134991,0.30812665075063705,1.0,1.0,1.0,0.08607354682905491,0.017214709365810984
9,0.29363171527018916,0.30178438127040863,1.0,1.0,1.0,0.09037898285591897,0.018075796571183796
10,0.29013001460295457,0.2906966581940651,1.0,1.0,1.0,0.09045549526892434,0.01809109905378487
11,0.2966557958951363,0.2904786169528961,1.0,1.0,1.0,0.0891736870796541,0.01783473741593082
12,0.2736710596543092,0.288198359310627,1.0,1.0,1.0,0.08993965751476829,0.01798793150295366
13,0.2613467642894158,0.27459579706192017,1.0,1.0,1.0,0.09076373623187536,0.018152747246375073
14,0.25338085798116833,0.27855517715215683,1.0,1.0,1.0,0.09238369413496324,0.018476738826992647
15,0.2586123782854814,0.27177993208169937,1.0,1.0,1.0,0.09078200391235809,0.01815640078247162
16,0.24999004717056567,0.26720456779003143,1.0,1.0,1.0,0.09104473979248726,0.01820894795849745
17,0.23974891236195198,0.26272445172071457,1.0,1.0,1.0,0.0928557412399231,0.01857114824798462
18,0.22524610047156995,0.2659611850976944,1.0,1.0,1.0,0.09334312831754549,0.0186686256635091
19,0.22142106523880592,0.26880011707544327,1.0,1.0,1.0,0.09638979870686824,0.01927795974137365
20,0.22538987833719987,0.2585599049925804,1.0,1.0,1.0,0.09408124291877293,0.018816248583754587
21,0.2288669657248717,0.2570248320698738,1.0,1.0,1.0,0.09584349187607491,0.019168698375214982
22,0.22076450976041648,0.25933223962783813,1.0,1.0,1.0,0.09603630686504132,0.019207261373008266
23,0.21863025999986208,0.25733888894319534,1.0,1.0,1.0,0.09795028485477962,0.019590056970955925
