Method,Method_name,Stage_definition,Model_type,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
B1,Fixed-stage Rule,Fixed-stage,wear-threshold reference,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,0.0,0.3798,0,0,0.0132
B2,Relative-stage Proxy Rule,Relative-stage,sensor-derived q_proxy rule,0.5757,0.4871,0.7304,0.0,0.7309,0.0,0.0,0.4806,0.5194,5,11,0.0726
B3,Fixed-stage RF,Fixed-stage,RF,0.9474,0.949,0.9231,0.935,0.9889,0.9829,0.8915,0.1085,0.0,5,0,0.1096
B4,Relative-stage SVM,Relative-stage,SVM,0.8651,0.8695,0.8737,0.8379,0.897,0.8548,0.8217,0.1783,0.0,9,0,0.1578
B5,Relative-stage RF,Relative-stage,RF,0.977,0.9773,0.9651,0.9723,0.9945,0.9919,0.9535,0.0388,0.0078,5,0,0.1105
B6,Relative-stage XGBoost,Relative-stage,xgboost,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.0388,0.0,9,0,0.139
B7,Relative-stage MLP,Relative-stage,MLP,0.8618,0.8651,0.8889,0.8174,0.8889,0.9307,0.7287,0.1628,0.1085,16,0,0.1554
B8,Relative-stage TCN,Relative-stage,TCN,0.9539,0.955,0.9385,0.9426,0.9838,1.0,0.8915,0.0853,0.0233,10,0,0.1245
B9,Relative-stage GRU,Relative-stage,GRU,0.9539,0.956,0.9825,0.9426,0.943,1.0,0.8915,0.0233,0.0853,1,0,0.0398
B10,Relative-stage TCN-GRU,Relative-stage,TCN-GRU,0.8684,0.8746,0.8317,0.8261,0.9659,0.9406,0.7364,0.2636,0.0,0,0,0.0219
B11,Multi-task TCN-GRU,Relative-stage,TCN-GRU + auxiliary heads,0.9901,0.9902,0.9825,0.9882,1.0,1.0,0.9767,0.0233,0.0,0,0,0.0236
B12,FGDS-PSI,Relative-stage,Proposed,0.9868,0.9871,0.9825,0.9844,0.9945,0.9921,0.9767,0.0233,0.0,0,0,0.0188
