run_id,true_stage,pred_stage,p_early,p_middle,p_late
12,early,early,0.9538,0.0316,0.0146
13,early,early,0.9518,0.0333,0.0149
14,early,early,0.9516,0.0337,0.0147
15,early,early,0.9505,0.0349,0.0147
16,early,early,0.9495,0.0359,0.0146
17,early,early,0.9473,0.038,0.0147
18,early,early,0.9463,0.0392,0.0145
19,early,early,0.943,0.0422,0.0148
20,early,early,0.9423,0.0429,0.0148
21,early,early,0.9472,0.038,0.0147
22,early,early,0.9497,0.0358,0.0145
23,early,early,0.9509,0.0345,0.0147
24,early,early,0.9514,0.0338,0.0148
25,early,early,0.9521,0.033,0.0149
26,early,early,0.9526,0.0323,0.0151
27,early,early,0.9526,0.0321,0.0153
28,early,early,0.9526,0.0318,0.0156
29,early,early,0.9526,0.0316,0.0159
30,early,early,0.9527,0.0313,0.0159
31,early,early,0.9531,0.0312,0.0156
32,early,early,0.9532,0.0312,0.0157
33,early,early,0.9529,0.031,0.0161
34,early,early,0.9532,0.0308,0.016
35,early,early,0.9531,0.0307,0.0161
36,early,early,0.9532,0.0307,0.0161
37,early,early,0.9533,0.0306,0.0161
38,early,early,0.9535,0.0305,0.0161
39,early,early,0.9535,0.0305,0.016
40,early,early,0.9535,0.0305,0.016
41,early,early,0.9535,0.0305,0.016
42,early,early,0.9536,0.0305,0.0159
43,early,early,0.9537,0.0304,0.016
44,early,early,0.9537,0.0303,0.0159
45,early,early,0.9539,0.0302,0.0158
46,early,early,0.9539,0.0303,0.0158
47,early,early,0.9538,0.0303,0.0158
48,early,early,0.9538,0.0303,0.0158
49,early,early,0.9537,0.0304,0.0159
50,early,early,0.9537,0.0305,0.0159
51,early,early,0.9534,0.0306,0.016
52,early,early,0.9534,0.0306,0.016
53,early,early,0.9531,0.0307,0.0162
54,early,early,0.9529,0.0308,0.0163
55,early,early,0.9527,0.0309,0.0165
56,early,early,0.9525,0.031,0.0165
57,early,early,0.9522,0.0312,0.0166
58,early,early,0.9521,0.0312,0.0167
59,early,early,0.9516,0.0315,0.0169
60,early,early,0.9517,0.0317,0.0167
61,early,early,0.9512,0.0319,0.0169
62,early,early,0.9513,0.0321,0.0166
63,early,early,0.9506,0.0325,0.017
64,early,early,0.9504,0.0327,0.0169
65,early,early,0.9483,0.0337,0.0181
66,early,early,0.9477,0.0342,0.0181
67,early,early,0.946,0.0355,0.0185
68,early,early,0.9444,0.0369,0.0187
69,early,early,0.9414,0.0392,0.0194
70,early,early,0.9371,0.0428,0.0201
71,early,early,0.9319,0.0474,0.0207
72,early,early,0.9274,0.0516,0.0209
73,early,early,0.9163,0.0613,0.0224
74,early,early,0.9082,0.0689,0.023
75,early,early,0.895,0.0811,0.024
76,early,early,0.9027,0.0738,0.0235
77,early,early,0.8905,0.0855,0.024
78,early,early,0.9048,0.0727,0.0225
79,early,early,0.9018,0.0757,0.0224
80,early,early,0.9133,0.0657,0.021
81,early,early,0.9112,0.0675,0.0213
82,early,early,0.9169,0.0625,0.0205
83,early,early,0.9146,0.0648,0.0207
84,early,early,0.9166,0.0631,0.0203
85,early,early,0.9136,0.066,0.0205
86,early,early,0.9089,0.0705,0.0206
87,early,early,0.9222,0.0581,0.0197
88,early,early,0.9023,0.0762,0.0215
89,early,early,0.9113,0.0683,0.0204
90,early,early,0.8839,0.0932,0.0229
91,early,early,0.9039,0.0747,0.0214
92,early,early,0.8747,0.1014,0.0239
93,early,early,0.8907,0.0869,0.0224
94,early,early,0.8442,0.13,0.0258
95,early,early,0.8553,0.1195,0.0252
96,middle,early,0.7833,0.1866,0.03
97,middle,early,0.6981,0.2674,0.0345
98,middle,early,0.6345,0.329,0.0365
99,middle,middle,0.3626,0.5978,0.0396
100,middle,middle,0.3007,0.66,0.0393
101,middle,middle,0.2308,0.7301,0.0391
102,middle,middle,0.1871,0.7741,0.0388
103,middle,middle,0.1339,0.8272,0.0389
104,middle,middle,0.1173,0.8426,0.0401
105,middle,middle,0.1137,0.8424,0.0439
106,middle,middle,0.1165,0.8357,0.0478
107,middle,middle,0.1142,0.8355,0.0503
108,middle,middle,0.2032,0.7369,0.0599
109,middle,middle,0.1476,0.7984,0.054
110,middle,middle,0.1816,0.7621,0.0563
111,middle,middle,0.1389,0.808,0.0531
112,middle,middle,0.1892,0.7538,0.057
113,middle,middle,0.1237,0.8241,0.0522
114,middle,middle,0.1397,0.8065,0.0538
115,middle,middle,0.0999,0.8491,0.051
116,middle,middle,0.1138,0.8347,0.0515
117,middle,middle,0.0888,0.8608,0.0504
118,middle,middle,0.0762,0.8725,0.0513
119,middle,middle,0.1392,0.7987,0.0621
120,middle,middle,0.0952,0.8406,0.0642
121,middle,middle,0.0984,0.8393,0.0623
122,middle,middle,0.0881,0.8474,0.0645
123,middle,middle,0.1238,0.8019,0.0743
124,middle,middle,0.0922,0.8364,0.0714
125,middle,middle,0.0873,0.8456,0.0671
126,middle,middle,0.076,0.8591,0.0649
127,middle,middle,0.0906,0.8413,0.0681
128,middle,middle,0.0788,0.8548,0.0664
129,middle,middle,0.0648,0.8719,0.0633
130,middle,middle,0.0596,0.8827,0.0578
131,middle,middle,0.0506,0.8975,0.0519
132,middle,middle,0.0469,0.9067,0.0463
133,middle,middle,0.0394,0.9216,0.039
134,middle,middle,0.0377,0.9262,0.0361
135,middle,middle,0.0339,0.934,0.0321
136,middle,middle,0.0331,0.9362,0.0307
137,middle,middle,0.0301,0.9421,0.0278
138,middle,middle,0.0298,0.9425,0.0277
139,middle,middle,0.0283,0.9458,0.0259
140,middle,middle,0.0288,0.9457,0.0255
141,middle,middle,0.0277,0.9474,0.0249
142,middle,middle,0.0277,0.9475,0.0248
143,middle,middle,0.0273,0.9479,0.0248
144,middle,middle,0.0278,0.9469,0.0252
145,middle,middle,0.0273,0.9478,0.025
146,middle,middle,0.0272,0.9481,0.0247
147,middle,middle,0.027,0.948,0.025
148,middle,middle,0.027,0.948,0.0251
149,middle,middle,0.0269,0.9481,0.025
150,middle,middle,0.0282,0.9464,0.0255
151,middle,middle,0.0274,0.9472,0.0254
152,middle,middle,0.0274,0.9476,0.025
153,middle,middle,0.0276,0.9465,0.0259
154,middle,middle,0.0283,0.9453,0.0264
155,middle,middle,0.0283,0.9445,0.0272
156,middle,middle,0.0283,0.9448,0.027
157,middle,middle,0.0289,0.9428,0.0282
158,middle,middle,0.0289,0.9427,0.0284
159,middle,middle,0.0291,0.9427,0.0281
160,middle,middle,0.0285,0.9442,0.0272
161,middle,middle,0.0287,0.9379,0.0334
162,middle,middle,0.0285,0.9395,0.032
163,middle,middle,0.0285,0.9395,0.0321
164,middle,middle,0.0293,0.9361,0.0347
165,middle,middle,0.0292,0.9344,0.0364
166,middle,middle,0.0303,0.93,0.0396
167,middle,middle,0.03,0.9278,0.0422
168,middle,middle,0.0323,0.9169,0.0508
169,middle,middle,0.0349,0.8996,0.0654
170,middle,middle,0.0392,0.8701,0.0907
171,middle,middle,0.0426,0.8378,0.1195
172,middle,middle,0.0468,0.8151,0.1381
173,middle,middle,0.0474,0.7957,0.1569
174,middle,middle,0.0505,0.7624,0.187
175,middle,middle,0.0521,0.7123,0.2356
176,middle,middle,0.0526,0.7474,0.2
177,middle,middle,0.0522,0.7213,0.2264
178,middle,middle,0.0517,0.7435,0.2047
179,middle,middle,0.0493,0.766,0.1847
180,middle,middle,0.0463,0.8162,0.1376
181,middle,middle,0.0432,0.8377,0.1191
182,middle,middle,0.0417,0.8531,0.1051
183,middle,middle,0.042,0.8618,0.0961
184,middle,middle,0.0415,0.8575,0.1011
185,middle,middle,0.0383,0.8857,0.076
186,middle,middle,0.0347,0.9066,0.0586
187,middle,middle,0.0349,0.9094,0.0557
188,middle,middle,0.032,0.9204,0.0476
189,middle,middle,0.0316,0.9244,0.0441
190,middle,middle,0.0297,0.9309,0.0394
191,middle,middle,0.0297,0.9339,0.0364
192,middle,middle,0.0281,0.939,0.0329
193,middle,middle,0.0271,0.9385,0.0345
194,middle,middle,0.0262,0.9429,0.031
195,middle,middle,0.0253,0.9455,0.0292
196,middle,middle,0.0246,0.9483,0.027
197,middle,middle,0.0238,0.9496,0.0266
198,middle,middle,0.0236,0.9513,0.0251
199,middle,middle,0.023,0.9527,0.0243
200,middle,middle,0.0228,0.9536,0.0236
201,middle,middle,0.0224,0.9538,0.0237
202,middle,middle,0.0224,0.9543,0.0233
203,middle,middle,0.0224,0.9534,0.0242
204,middle,middle,0.0229,0.9531,0.024
205,middle,middle,0.0229,0.9515,0.0256
206,middle,middle,0.0234,0.9511,0.0256
207,middle,middle,0.0237,0.9488,0.0275
208,middle,middle,0.0242,0.9483,0.0275
209,middle,middle,0.0243,0.9449,0.0307
210,middle,middle,0.0247,0.9445,0.0308
211,middle,middle,0.025,0.941,0.034
212,middle,middle,0.0257,0.9374,0.0369
213,middle,middle,0.0265,0.9314,0.0421
214,middle,middle,0.0281,0.9216,0.0503
215,middle,middle,0.0275,0.9291,0.0434
216,middle,middle,0.0315,0.8959,0.0726
217,middle,middle,0.0303,0.9106,0.0591
218,middle,middle,0.0328,0.8857,0.0815
219,middle,middle,0.0324,0.8955,0.072
220,middle,middle,0.04,0.798,0.162
221,middle,middle,0.0412,0.7824,0.1763
222,middle,middle,0.0438,0.6569,0.2993
223,middle,middle,0.0439,0.6602,0.2959
224,middle,middle,0.0435,0.4805,0.476
225,late,late,0.0339,0.2138,0.7523
226,late,late,0.0273,0.1258,0.8469
227,late,late,0.0176,0.043,0.9394
