Method,Output,Stage,Precision,Recall,F1-score,Support
A1,raw,early,0.9655172413793104,1.0,0.9824561403508771,84.0
A1,raw,middle,1.0,0.9767441860465116,0.9882352941176471,129.0
A1,raw,late,1.0,1.0,1.0,91.0
A1,raw,accuracy,,,0.9901315789473685,304.0
A1,raw,macro avg,0.9885057471264368,0.9922480620155039,0.9902304781561747,304.0
A1,raw,weighted avg,0.9904718693284937,0.9901315789473685,0.9901600945087176,304.0
A2,raw_fine,early,0.9655172413793104,1.0,0.9824561403508771,84.0
A2,raw_fine,middle,1.0,0.9767441860465116,0.9882352941176471,129.0
A2,raw_fine,late,1.0,1.0,1.0,91.0
A2,raw_fine,accuracy,,,0.9901315789473685,304.0
A2,raw_fine,macro avg,0.9885057471264368,0.9922480620155039,0.9902304781561747,304.0
A2,raw_fine,weighted avg,0.9904718693284937,0.9901315789473685,0.9901600945087176,304.0
A3,raw_prior,early,0.9655172413793104,1.0,0.9824561403508771,84.0
A3,raw_prior,middle,1.0,0.9767441860465116,0.9882352941176471,129.0
A3,raw_prior,late,1.0,1.0,1.0,91.0
A3,raw_prior,accuracy,,,0.9901315789473685,304.0
A3,raw_prior,macro avg,0.9885057471264368,0.9922480620155039,0.9902304781561747,304.0
A3,raw_prior,weighted avg,0.9904718693284937,0.9901315789473685,0.9901600945087176,304.0
A4,mix,early,0.9655172413793104,1.0,0.9824561403508771,84.0
A4,mix,middle,1.0,0.9767441860465116,0.9882352941176471,129.0
A4,mix,late,1.0,1.0,1.0,91.0
A4,mix,accuracy,,,0.9901315789473685,304.0
A4,mix,macro avg,0.9885057471264368,0.9922480620155039,0.9902304781561747,304.0
A4,mix,weighted avg,0.9904718693284937,0.9901315789473685,0.9901600945087176,304.0
A5,ordered,early,0.9438202247191011,1.0,0.9710982658959537,84.0
A5,ordered,middle,0.9841269841269841,0.9612403100775194,0.9725490196078431,129.0
A5,ordered,late,1.0,0.978021978021978,0.9888888888888889,91.0
A5,ordered,accuracy,,,0.9769736842105263,304.0
A5,ordered,macro avg,0.975982402948695,0.9797540960331658,0.9775120581308953,304.0
A5,ordered,weighted avg,0.9777410520683731,0.9769736842105263,0.9770393643209235,304.0
A6,final,early,0.9655172413793104,1.0,0.9824561403508771,84.0
A6,final,middle,0.9921259842519685,0.9767441860465116,0.984375,129.0
A6,final,late,1.0,0.989010989010989,0.994475138121547,91.0
A6,final,accuracy,,,0.9868421052631579,304.0
A6,final,macro avg,0.9858810752104263,0.9885850583525002,0.9871020928241414,304.0
A6,final,weighted avg,0.9871305929090988,0.9868421052631579,0.9868681853899159,304.0
