Method,True_stage,Pred_stage,Count,Row_norm
A1,early,early,84,0.9999999999999881
A1,early,middle,0,0.0
A1,early,late,0,0.0
A1,middle,early,3,0.02325581395348819
A1,middle,middle,126,0.9767441860465041
A1,middle,late,0,0.0
A1,late,early,0,0.0
A1,late,middle,0,0.0
A1,late,late,91,0.9999999999999891
A2,early,early,84,0.9999999999999881
A2,early,middle,0,0.0
A2,early,late,0,0.0
A2,middle,early,3,0.02325581395348819
A2,middle,middle,126,0.9767441860465041
A2,middle,late,0,0.0
A2,late,early,0,0.0
A2,late,middle,0,0.0
A2,late,late,91,0.9999999999999891
A3,early,early,84,0.9999999999999881
A3,early,middle,0,0.0
A3,early,late,0,0.0
A3,middle,early,3,0.02325581395348819
A3,middle,middle,126,0.9767441860465041
A3,middle,late,0,0.0
A3,late,early,0,0.0
A3,late,middle,0,0.0
A3,late,late,91,0.9999999999999891
A4,early,early,84,0.9999999999999881
A4,early,middle,0,0.0
A4,early,late,0,0.0
A4,middle,early,3,0.02325581395348819
A4,middle,middle,126,0.9767441860465041
A4,middle,late,0,0.0
A4,late,early,0,0.0
A4,late,middle,0,0.0
A4,late,late,91,0.9999999999999891
A5,early,early,84,0.9999999999999881
A5,early,middle,0,0.0
A5,early,late,0,0.0
A5,middle,early,5,0.03875968992248032
A5,middle,middle,124,0.961240310077512
A5,middle,late,0,0.0
A5,late,early,0,0.0
A5,late,middle,2,0.021978021978021737
A5,late,late,89,0.9780219780219673
A6,early,early,84,0.9999999999999881
A6,early,middle,0,0.0
A6,early,late,0,0.0
A6,middle,early,3,0.02325581395348819
A6,middle,middle,126,0.9767441860465041
A6,middle,late,0,0.0
A6,late,early,0,0.0
A6,late,middle,1,0.010989010989010868
A6,late,late,90,0.9890109890109782
