epoch,train_loss,val_loss,val_acc,val_macro_f1,val_middle_recall,val_q_RMSE,score
1,1.4555482314183161,1.344999074935913,0.5666666666666667,0.5353535353535354,0.0,0.19752351443865618,3.037484500867502
2,1.19964966407189,0.9725337624549866,0.75,0.773955773955774,0.4230769230769231,0.15695959093309703,1.7189746057692914
3,0.8665289557897128,0.6090750694274902,1.0,1.0,1.0,0.1204598192269521,0.024091963845390422
4,0.5807421505451202,0.3932444751262665,1.0,1.0,1.0,0.09357148288323307,0.018714296576646614
5,0.42936710440195525,0.33617594838142395,1.0,1.0,1.0,0.08153666643177802,0.016307333286355606
6,0.3512066602706909,0.3182236850261688,1.0,1.0,1.0,0.08212856540697222,0.016425713081394445
7,0.3231321848355807,0.3006790727376938,1.0,1.0,1.0,0.08381070917588646,0.016762141835177293
8,0.3462680990879352,0.30793505162000656,1.0,1.0,1.0,0.08606088396972218,0.017212176793944437
9,0.2938607954061948,0.30133548378944397,1.0,1.0,1.0,0.09029491999179819,0.01805898399835964
10,0.290422539298351,0.28980782628059387,1.0,1.0,1.0,0.09009356732278676,0.018018713464557353
11,0.2970978846916786,0.29114125669002533,1.0,1.0,1.0,0.08934393766802172,0.017868787533604345
12,0.27293527355560887,0.28897641599178314,1.0,1.0,1.0,0.09005575629889413,0.018011151259778826
13,0.26123804770983183,0.2742641940712929,1.0,1.0,1.0,0.09087219386502476,0.018174438773004953
14,0.2531677885697438,0.278450571000576,1.0,1.0,1.0,0.09254762384763533,0.018509524769527066
15,0.2586749436763617,0.27158787101507187,1.0,1.0,1.0,0.09078797344811206,0.01815759468962241
16,0.24976248809924492,0.26704241335392,1.0,1.0,1.0,0.09125601154035491,0.018251202308070983
17,0.2391264667877784,0.26282862573862076,1.0,1.0,1.0,0.09314433557888226,0.01862886711577645
18,0.22444833585849175,0.26588165014982224,1.0,1.0,1.0,0.09371296609997003,0.018742593219994007
19,0.22080793174413535,0.26830248534679413,1.0,1.0,1.0,0.0969169682895787,0.01938339365791574
20,0.22460920535601103,0.25821810960769653,1.0,1.0,1.0,0.0944541279244413,0.018890825584888263
21,0.2278346843444384,0.2567807734012604,1.0,1.0,1.0,0.09633865140557508,0.019267730281115017
22,0.22032452890506157,0.2593219578266144,1.0,1.0,1.0,0.09651966059341457,0.019303932118682917
23,0.21744870107907516,0.25747694075107574,1.0,1.0,1.0,0.09855637086284504,0.01971127417256901
