Task,Train_conditions,Test_condition,Method,Method_name,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
D1_C1C4_to_C6,C1+C4,C6,B8,Relative-stage TCN,0.9605263157894737,0.9614938480935611,0.96,0.9512195121951219,0.9732620320855615,1.0,0.9069767441860465,0.05426356589147245,0.03875968992248032,7,0,0.1082916259765625
D1_C1C4_to_C6,C1+C4,C6,B9,Relative-stage GRU,0.8026315789473685,0.8012609856687818,0.8275862068965517,0.696969696969697,0.8792270531400966,1.0,0.5348837209302325,0.27131782945736227,0.1937984496124016,1,0,0.02999206632375717
D1_C1C4_to_C6,C1+C4,C6,B10,Relative-stage TCN-GRU,0.7927631578947368,0.7903919834954318,0.8275862068965517,0.676923076923077,0.8666666666666667,1.0,0.5116279069767442,0.27131782945736227,0.2170542635658898,1,0,0.039126984775066376
D1_C1C4_to_C6,C1+C4,C6,B11,Multi-task TCN-GRU,0.9868421052631579,0.9871020928241414,0.9824561403508771,0.984375,0.994475138121547,0.9921259842519685,0.9767441860465116,0.02325581395348819,0.0,0,0,0.024748008486141664
D1_C1C4_to_C6,C1+C4,C6,B12,FGDS-PSI,0.9835526315789473,0.9839632587738261,0.9824561403508771,0.980544747081712,0.9888888888888889,0.984375,0.9767441860465116,0.02325581395348819,0.0,0,0,0.019237526994933758
D2_C1C6_to_C4,C1+C6,C4,B8,Relative-stage TCN,0.8289473684210527,0.8393071161737012,0.7813953488372093,0.7657657657657657,0.9707602339181286,0.9444444444444444,0.6439393939393939,0.35606060606060336,0.0,0,0,0.020135167986154556
D2_C1C6_to_C4,C1+C6,C4,B9,Relative-stage GRU,0.8552631578947368,0.8635282301738908,0.8155339805825242,0.8103448275862069,0.9647058823529412,0.94,0.7121212121212122,0.28787878787878574,0.0,0,0,0.014684900641441345
D2_C1C6_to_C4,C1+C6,C4,B10,Relative-stage TCN-GRU,0.8453947368421053,0.8549068570371859,0.7850467289719626,0.7853881278538812,0.9942857142857143,0.9885057471264368,0.6515151515151515,0.34848484848484584,0.0,0,0,0.011779782362282276
D2_C1C6_to_C4,C1+C6,C4,B11,Multi-task TCN-GRU,0.7993421052631579,0.8114371088822758,0.7466666666666667,0.7109004739336493,0.9767441860465116,0.9493670886075949,0.5681818181818182,0.43181818181817855,0.0,0,0,0.013171450579969256
D2_C1C6_to_C4,C1+C6,C4,B12,FGDS-PSI,0.7960526315789473,0.8082896408889412,0.7433628318584071,0.7047619047619048,0.9767441860465116,0.9487179487179487,0.5606060606060606,0.43939393939393606,0.0,0,0,0.012325683792566225
D3_C4C6_to_C1,C4+C6,C1,B8,Relative-stage TCN,0.875,0.8771606369820656,0.90625,0.8272727272727273,0.8979591836734694,0.8348623853211009,0.8198198198198198,0.0,0.18018018018017856,0,0,0.013242614455521107
D3_C4C6_to_C1,C4+C6,C1,B9,Relative-stage GRU,0.881578947368421,0.8840371577912332,0.8947368421052632,0.8407079646017699,0.9166666666666666,0.8260869565217391,0.8558558558558559,0.0,0.14414414414414287,0,0,0.014450183138251305
D3_C4C6_to_C1,C4+C6,C1,B10,Relative-stage TCN-GRU,0.881578947368421,0.8840371577912332,0.8947368421052632,0.8407079646017699,0.9166666666666666,0.8260869565217391,0.8558558558558559,0.0,0.14414414414414287,0,0,0.018610958009958267
D3_C4C6_to_C1,C4+C6,C1,B11,Multi-task TCN-GRU,0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.013625671792433063
D3_C4C6_to_C1,C4+C6,C1,B12,FGDS-PSI,0.8651315789473685,0.8673992790753889,0.900523560209424,0.8127853881278538,0.8888888888888888,0.8240740740740741,0.8018018018018018,0.0,0.19819819819819642,0,0,0.015188771019736742
