Task,Train_conditions,Test_condition,Method,Method_name,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
S1_C1_to_C4,C1,C4,B8,Relative-stage TCN,0.8585526315789473,0.8657093975314677,0.826530612244898,0.8244897959183674,0.9461077844311377,0.8938053097345132,0.7651515151515151,0.23484848484848309,0.0,1,0,0.03278595209121704
S1_C1_to_C4,C1,C4,B9,Relative-stage GRU,0.7993421052631579,0.7876868096166341,0.881578947368421,0.8148148148148148,0.6666666666666666,0.6875,1.0,0.0,0.0,2,1,0.029950907453894615
S1_C1_to_C4,C1,C4,B10,Relative-stage TCN-GRU,0.8651315789473685,0.8730512129366842,0.8155339805825242,0.8209606986899564,0.9826589595375722,0.9690721649484536,0.7121212121212122,0.28787878787878574,0.0,0,0,0.0166850034147501
S1_C1_to_C4,C1,C4,B11,Multi-task TCN-GRU,0.9111842105263158,0.9118443685902226,0.9565217391304348,0.9072164948453608,0.8717948717948718,0.8301886792452831,1.0,0.0,0.0,1,0,0.015762485391629413
S1_C1_to_C4,C1,C4,B12,FGDS-PSI,0.8026315789473685,0.7929745875603897,0.8874172185430463,0.8148148148148148,0.6766917293233082,0.6875,1.0,0.0,0.0,1,0,0.013140171482463247
S2_C1_to_C6,C1,C6,B8,Relative-stage TCN,0.8322368421052632,0.8308723986571916,0.8169014084507042,0.8349514563106796,0.8407643312101911,0.7166666666666667,1.0,0.0,0.0,2,0,0.04739410802721977
S2_C1_to_C6,C1,C6,B9,Relative-stage GRU,0.8618421052631579,0.8606399054493267,0.9433962264150944,0.86,0.7785234899328859,0.7543859649122807,1.0,0.0,0.0,4,0,0.03027317300438881
S2_C1_to_C6,C1,C6,B10,Relative-stage TCN-GRU,0.9144736842105263,0.9162580076053904,0.9367088607594937,0.9084507042253521,0.9036144578313253,0.832258064516129,1.0,0.0,0.0,1,0,0.014532577246427536
S2_C1_to_C6,C1,C6,B11,Multi-task TCN-GRU,0.8980263157894737,0.895240311211273,0.8413793103448276,0.8864468864468864,0.9578947368421052,0.8402777777777778,0.937984496124031,0.0,0.06201550387596851,0,0,0.01466065632923208
S2_C1_to_C6,C1,C6,B12,FGDS-PSI,0.8782894736842105,0.8757167314190092,0.8169014084507042,0.8745762711864407,0.935672514619883,0.7771084337349398,1.0,0.0,0.0,0,0,0.01039075657685779
S3_C4_to_C1,C4,C1,B8,Relative-stage TCN,0.9144736842105263,0.9172001058709355,0.8947368421052632,0.8898305084745762,0.967032967032967,0.84,0.9459459459459459,0.0,0.05405405405405357,0,0,0.01410919800400734
S3_C4_to_C1,C4,C1,B9,Relative-stage GRU,0.8848684210526315,0.8869208508556583,0.9072164948453608,0.8416289592760181,0.9119170984455959,0.8454545454545455,0.8378378378378378,0.00900900900900893,0.15315315315315178,1,0,0.02321413904428482
S3_C4_to_C1,C4,C1,B10,Relative-stage TCN-GRU,0.9144736842105263,0.9176749843063402,0.8854166666666666,0.8898305084745762,0.9777777777777777,0.84,0.9459459459459459,0.01801801801801786,0.03603603603603572,1,0,0.020789772272109985
S3_C4_to_C1,C4,C1,B11,Multi-task TCN-GRU,0.9144736842105263,0.9172001058709355,0.8947368421052632,0.8898305084745762,0.967032967032967,0.84,0.9459459459459459,0.0,0.05405405405405357,0,0,0.014353600604207602
S3_C4_to_C1,C4,C1,B12,FGDS-PSI,0.9243421052631579,0.927084974828364,0.900523560209424,0.9029535864978903,0.9777777777777777,0.8492063492063492,0.963963963963964,0.0,0.03603603603603572,0,0,0.013449135058155055
S4_C4_to_C6,C4,C6,B8,Relative-stage TCN,0.9342105263157895,0.9381412776750119,0.9818181818181818,0.9180327868852459,0.914572864321608,0.9739130434782609,0.8682170542635659,0.0,0.1317829457364331,4,0,0.053355250507593155
S4_C4_to_C6,C4,C6,B9,Relative-stage GRU,0.8355263157894737,0.8464285714285714,0.95,0.7767857142857143,0.8125,0.9157894736842105,0.6744186046511628,0.0,0.3255813953488347,2,0,0.03858794644474983
S4_C4_to_C6,C4,C6,B10,Relative-stage TCN-GRU,0.756578947368421,0.7698246511364234,0.8874172185430463,0.6605504587155964,0.7615062761506276,0.8089887640449438,0.5581395348837209,0.0,0.44186046511627564,1,0,0.0349251888692379
S4_C4_to_C6,C4,C6,B11,Multi-task TCN-GRU,0.7697368421052632,0.7837405257216578,0.9230769230769231,0.6698113207547169,0.7583333333333333,0.8554216867469879,0.5503875968992248,0.0,0.4496124031007717,1,0,0.030418778619830413
S4_C4_to_C6,C4,C6,B12,FGDS-PSI,0.7730263157894737,0.7868798457519066,0.9230769230769231,0.676056338028169,0.7615062761506276,0.8571428571428571,0.5581395348837209,0.0,0.44186046511627564,1,0,0.02444663540970417
S5_C6_to_C1,C6,C1,B8,Relative-stage TCN,0.7072368421052632,0.6408714252258972,0.9175257731958762,0.7138263665594855,0.2912621359223301,0.555,1.0,0.0,0.0,1,0,0.030975492671132088
S5_C6_to_C1,C6,C1,B9,Relative-stage GRU,0.7960526315789473,0.8017491435928178,0.759825327510917,0.6836734693877551,0.9617486338797814,0.788235294117647,0.6036036036036037,0.3333333333333304,0.0630630630630625,2,0,0.041191164404153824
S5_C6_to_C1,C6,C1,B10,Relative-stage TCN-GRU,0.881578947368421,0.8846474675468142,0.8135593220338984,0.8571428571428571,0.9832402234636871,0.7659574468085106,0.972972972972973,0.0,0.027027027027026786,0,0,0.0184811819344759
S5_C6_to_C1,C6,C1,B11,Multi-task TCN-GRU,0.9375,0.9405658466706184,0.90625,0.921161825726141,0.9942857142857143,0.8538461538461538,1.0,0.0,0.0,0,0,0.019588976520614657
S5_C6_to_C1,C6,C1,B12,FGDS-PSI,0.930921052631579,0.9340805104685627,0.9119170984455959,0.9135802469135802,0.9767441860465116,0.8409090909090909,1.0,0.0,0.0,0,0,0.014427599321934612
