Setting,Method,Method_name,Acc_mean,Acc_std,Macro-F1_mean,Macro-F1_std,M-F1_mean,M-F1_std,M-Rec_mean,M-Rec_std,Smooth_mean,Smooth_std
Dual-source,B8,Relative-stage TCN,0.8881578947368421,0.05451667936252654,0.8926538670831093,0.05107138467241605,0.8480860017445383,0.07712832299421613,0.7902453193150868,0.10940185926596001,0.04722313613941272,0.04327352663993473
Dual-source,B9,Relative-stage GRU,0.8464912280701755,0.03282155602433279,0.8496087912113018,0.03519741234415159,0.7826741630525579,0.061856940609051864,0.7009535963024335,0.1312740507030617,0.019709050034483273,0.007271821921209759
Dual-source,B10,Relative-stage TCN-GRU,0.8399122807017543,0.03646554637788572,0.8431119994412836,0.03912964491280631,0.767673056459576,0.06802813228784844,0.6729996381159172,0.14134923079793996,0.023172575049102306,0.011621062271017599
Dual-source,B11,Multi-task TCN-GRU,0.8804824561403509,0.07859631990112906,0.8853399280191373,0.07437138339270362,0.8305239234099818,0.11423871773667313,0.7732335930010349,0.16679844831361798,0.017181710286181328,0.005353393351604525
Dual-source,B12,FGDS-PSI,0.8815789473684211,0.07742501510486723,0.886550726246052,0.07298579063415546,0.8326973466571569,0.11346485094175618,0.7797173494847914,0.170603882599195,0.015583993935745576,0.002835553441397577
Single-source,B8,Relative-stage TCN,0.8042763157894738,0.12446141472669756,0.784152860276993,0.15533739729053334,0.7904624582941322,0.12077277661259596,0.866754439428858,0.13686756191503346,0.03453491535037756,0.012831278295675947
Single-source,B9,Relative-stage GRU,0.8371710526315789,0.03182186811607774,0.839173213327486,0.03415523359756956,0.7988715813960913,0.05756464395857692,0.8122393006113936,0.15092765751402692,0.0336315268650651,0.00631754550225403
Single-source,B10,Relative-stage TCN-GRU,0.8580043859649124,0.056352075571415534,0.8642483724346256,0.05257702307907353,0.8179045050878377,0.08359546731664302,0.8168834796741774,0.16505120645124474,0.020694991884132225,0.006648591490132105
Single-source,B11,Multi-task TCN-GRU,0.8678728070175438,0.06809069269942007,0.8695442651659945,0.0674558305887009,0.8388887140791054,0.0924529760834141,0.8741540165958771,0.15799043829093654,0.01980708308358614,0.005821095344313599
Single-source,B12,FGDS-PSI,0.849780701754386,0.06417050389648916,0.8482028258136255,0.06695639317408743,0.8278693594616257,0.08185438777060948,0.9014111892018869,0.158710411325651,0.015474904308984003,0.0044591322652831845
