Setting,Task,Method,Stage,Precision,Recall,F1-score,Support
Dual-source,D1_C1C4_to_C6,B8,early,0.9230769230769231,1.0,0.96,84.0
Dual-source,D1_C1C4_to_C6,B8,middle,1.0,0.9069767441860465,0.9512195121951219,129.0
Dual-source,D1_C1C4_to_C6,B8,late,0.9479166666666666,1.0,0.9732620320855615,91.0
Dual-source,D1_C1C4_to_C6,B8,macro avg,0.9569978632478633,0.9689922480620154,0.9614938480935611,304.0
Dual-source,D1_C1C4_to_C6,B8,weighted avg,0.9631542046221322,0.9605263157894737,0.9602439539241999,304.0
Dual-source,D1_C1C4_to_C6,B9,early,0.7058823529411765,1.0,0.8275862068965517,84.0
Dual-source,D1_C1C4_to_C6,B9,middle,1.0,0.5348837209302325,0.696969696969697,129.0
Dual-source,D1_C1C4_to_C6,B9,late,0.7844827586206896,1.0,0.8792270531400966,91.0
Dual-source,D1_C1C4_to_C6,B9,macro avg,0.8301217038539553,0.8449612403100776,0.8012609856687818,304.0
Dual-source,D1_C1C4_to_C6,B9,weighted avg,0.8542172653998078,0.8026315789473685,0.7876184017241779,304.0
Dual-source,D1_C1C4_to_C6,B10,early,0.7058823529411765,1.0,0.8275862068965517,84.0
Dual-source,D1_C1C4_to_C6,B10,middle,1.0,0.5116279069767442,0.676923076923077,129.0
Dual-source,D1_C1C4_to_C6,B10,late,0.7647058823529411,1.0,0.8666666666666667,91.0
Dual-source,D1_C1C4_to_C6,B10,macro avg,0.823529411764706,0.8372093023255814,0.7903919834954318,304.0
Dual-source,D1_C1C4_to_C6,B10,weighted avg,0.848297213622291,0.7927631578947368,0.7753519242403091,304.0
Dual-source,D1_C1C4_to_C6,B11,early,0.9655172413793104,1.0,0.9824561403508771,84.0
Dual-source,D1_C1C4_to_C6,B11,middle,0.9921259842519685,0.9767441860465116,0.984375,129.0
Dual-source,D1_C1C4_to_C6,B11,late,1.0,0.989010989010989,0.994475138121547,91.0
Dual-source,D1_C1C4_to_C6,B11,macro avg,0.9858810752104263,0.9885850583525002,0.9871020928241414,304.0
Dual-source,D1_C1C4_to_C6,B11,weighted avg,0.9871305929090988,0.9868421052631579,0.9868681853899159,304.0
Dual-source,D1_C1C4_to_C6,B12,early,0.9655172413793104,1.0,0.9824561403508771,84.0
Dual-source,D1_C1C4_to_C6,B12,middle,0.984375,0.9767441860465116,0.980544747081712,129.0
Dual-source,D1_C1C4_to_C6,B12,late,1.0,0.978021978021978,0.9888888888888889,91.0
Dual-source,D1_C1C4_to_C6,B12,macro avg,0.9832974137931035,0.9849220546894966,0.9839632587738261,304.0
Dual-source,D1_C1C4_to_C6,B12,weighted avg,0.9838415239337569,0.9835526315789473,0.9835706481970508,304.0
