Setting,Task,Method,True_stage,Pred_stage,Count,Row_norm
Dual-source,D1_C1C4_to_C6,B8,early,early,84,0.9999999999999881
Dual-source,D1_C1C4_to_C6,B8,early,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B8,early,late,0,0.0
Dual-source,D1_C1C4_to_C6,B8,middle,early,7,0.05426356589147245
Dual-source,D1_C1C4_to_C6,B8,middle,middle,117,0.9069767441860395
Dual-source,D1_C1C4_to_C6,B8,middle,late,5,0.03875968992248032
Dual-source,D1_C1C4_to_C6,B8,late,early,0,0.0
Dual-source,D1_C1C4_to_C6,B8,late,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B8,late,late,91,0.9999999999999891
Dual-source,D1_C1C4_to_C6,B9,early,early,84,0.9999999999999881
Dual-source,D1_C1C4_to_C6,B9,early,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B9,early,late,0,0.0
Dual-source,D1_C1C4_to_C6,B9,middle,early,35,0.27131782945736227
Dual-source,D1_C1C4_to_C6,B9,middle,middle,69,0.5348837209302284
Dual-source,D1_C1C4_to_C6,B9,middle,late,25,0.1937984496124016
Dual-source,D1_C1C4_to_C6,B9,late,early,0,0.0
Dual-source,D1_C1C4_to_C6,B9,late,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B9,late,late,91,0.9999999999999891
Dual-source,D1_C1C4_to_C6,B10,early,early,84,0.9999999999999881
Dual-source,D1_C1C4_to_C6,B10,early,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B10,early,late,0,0.0
Dual-source,D1_C1C4_to_C6,B10,middle,early,35,0.27131782945736227
Dual-source,D1_C1C4_to_C6,B10,middle,middle,66,0.5116279069767402
Dual-source,D1_C1C4_to_C6,B10,middle,late,28,0.2170542635658898
Dual-source,D1_C1C4_to_C6,B10,late,early,0,0.0
Dual-source,D1_C1C4_to_C6,B10,late,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B10,late,late,91,0.9999999999999891
Dual-source,D1_C1C4_to_C6,B11,early,early,84,0.9999999999999881
Dual-source,D1_C1C4_to_C6,B11,early,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B11,early,late,0,0.0
Dual-source,D1_C1C4_to_C6,B11,middle,early,3,0.02325581395348819
Dual-source,D1_C1C4_to_C6,B11,middle,middle,126,0.9767441860465041
Dual-source,D1_C1C4_to_C6,B11,middle,late,0,0.0
Dual-source,D1_C1C4_to_C6,B11,late,early,0,0.0
Dual-source,D1_C1C4_to_C6,B11,late,middle,1,0.010989010989010868
Dual-source,D1_C1C4_to_C6,B11,late,late,90,0.9890109890109782
Dual-source,D1_C1C4_to_C6,B12,early,early,84,0.9999999999999881
Dual-source,D1_C1C4_to_C6,B12,early,middle,0,0.0
Dual-source,D1_C1C4_to_C6,B12,early,late,0,0.0
Dual-source,D1_C1C4_to_C6,B12,middle,early,3,0.02325581395348819
Dual-source,D1_C1C4_to_C6,B12,middle,middle,126,0.9767441860465041
Dual-source,D1_C1C4_to_C6,B12,middle,late,0,0.0
Dual-source,D1_C1C4_to_C6,B12,late,early,0,0.0
Dual-source,D1_C1C4_to_C6,B12,late,middle,2,0.021978021978021737
Dual-source,D1_C1C4_to_C6,B12,late,late,89,0.9780219780219673
Dual-source,D2_C1C6_to_C4,B8,early,early,84,0.9999999999999881
Dual-source,D2_C1C6_to_C4,B8,early,middle,0,0.0
Dual-source,D2_C1C6_to_C4,B8,early,late,0,0.0
Dual-source,D2_C1C6_to_C4,B8,middle,early,47,0.35606060606060336
Dual-source,D2_C1C6_to_C4,B8,middle,middle,85,0.643939393939389
Dual-source,D2_C1C6_to_C4,B8,middle,late,0,0.0
Dual-source,D2_C1C6_to_C4,B8,late,early,0,0.0
Dual-source,D2_C1C6_to_C4,B8,late,middle,5,0.05681818181818118
Dual-source,D2_C1C6_to_C4,B8,late,late,83,0.9431818181818076
Dual-source,D2_C1C6_to_C4,B9,early,early,84,0.9999999999999881
Dual-source,D2_C1C6_to_C4,B9,early,middle,0,0.0
