Setting,Task,Train_conditions,Test_condition,condition,run_id,true_stage,pred_stage,p_E,p_M,p_L,q_hat
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,12,early,early,0.8050246379087224,0.16850863991217419,0.026466722178103485,0.30502933263778687
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,13,early,early,0.8044629761581211,0.16896666328498067,0.02657036055589814,0.30516964197158813
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,14,early,early,0.8052490542043789,0.1688252684886252,0.025925677305995952,0.30362600088119507
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,15,early,early,0.8048311023693004,0.1695743832961753,0.02559451433352427,0.3027564287185669
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,16,early,early,0.8046993971182568,0.17012668221418825,0.025173920666554977,0.3013211190700531
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,17,early,early,0.8036713494843968,0.171284565285271,0.025044085229332158,0.30041584372520447
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,18,early,early,0.8030684018571207,0.17210031354791722,0.024831284593962253,0.29981017112731934
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,19,early,early,0.8011162642543405,0.17405670812817559,0.024827027616483976,0.2997461259365082
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,20,early,early,0.8005898347400373,0.17446697149871343,0.024943193760249248,0.2992067337036133
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,21,early,early,0.8007947718237816,0.1730853772728443,0.026119850902374116,0.3018762469291687
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,22,early,early,0.8026906204250586,0.17110881481872653,0.026200564755214924,0.30155953764915466
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,23,early,early,0.8030214568084952,0.17024218843191002,0.02673635475859484,0.30237701535224915
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,24,early,early,0.8032792836167274,0.16961171027556116,0.027109006106711415,0.30302858352661133
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,25,early,early,0.8032581879935853,0.16937520861186645,0.027366603393548412,0.30420002341270447
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,26,early,early,0.8032417892455238,0.1690413162996855,0.027716894453790678,0.30581727623939514
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,27,early,early,0.8026954364628001,0.16904899028842754,0.02825557324777246,0.3078640401363373
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,28,early,early,0.8020173218500408,0.1691155764072476,0.02886710174171159,0.3099313974380493
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,29,early,early,0.8013597668820766,0.1691262066973263,0.029514026419597193,0.31163427233695984
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,30,early,early,0.8018428399421317,0.16861966169359804,0.029537498363270315,0.31174689531326294
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,31,early,early,0.8028580937794058,0.16821299190149527,0.02892891431809912,0.3110613524913788
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,32,early,early,0.8028051641836532,0.16829981342142253,0.02889502239392425,0.31136661767959595
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,33,early,early,0.8003540784359919,0.16934295085654272,0.03030297070646538,0.315070778131485
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,34,early,early,0.8009427566183811,0.16903657859222698,0.030020664788391997,0.3147376775741577
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,35,early,early,0.8009128824560735,0.16885250533077023,0.030234612212156294,0.3150098919868469
