method,output,true_stage,n,mean_p_early,mean_p_middle,mean_p_late,dominant_prob_stage
A1,raw,early,84,0.936731824285714,0.04540010930952381,0.017868072095238094,early
A1,raw,late,91,0.009090360213186812,0.010496790593406594,0.980412832967033,late
A1,raw,middle,129,0.07362569709302325,0.8627730959689922,0.06360120833333334,middle
A4,mix,early,84,0.7928299565545943,0.17940573881947197,0.027764304624933442,early
A4,mix,late,91,0.01788869527386421,0.13210737056075728,0.8500039341643786,late
A4,mix,middle,129,0.10143896655561724,0.8263931329231106,0.07216790052027212,middle
A5,ordered,early,84,0.982428881174089,0.017354452948253756,0.00021666587631318014,early
A5,ordered,late,91,2.8091344406910257e-05,0.026976089132973093,0.9729958195213833,late
A5,ordered,middle,129,0.038210057621658244,0.9574415603935591,0.004348381983485802,middle
A6,final,early,84,0.84022968770954,0.13889291735167966,0.020877394937780208,early
A6,final,late,91,0.013423544291500852,0.10582455020382132,0.8807519055036778,late
A6,final,middle,129,0.08563173932213852,0.8591552397907812,0.05521302088608021,middle
