method,output,stage,n,q_true_mean,q_true_std,q_pred_mean,q_pred_std,VB_true_mean,VB_true_std,stage_order_consistency
A1,raw,early,87,0.21102672326065805,0.06723054417882397,0.024834335926897134,0.024988336623990855,100.55294315068966,11.394267690057838,1
A1,raw,late,91,0.8255436169176713,0.15380063453645043,0.9719814973464,0.04811273803398255,204.88492063186817,26.145636050018364,1
A1,raw,middle,126,0.36158585968154405,0.06169314628331632,0.3315357862546243,0.0971068442974248,126.06910133492065,10.456373564145705,1
A4,mix,early,87,0.21102672326065805,0.06723054417882397,0.024834335926897134,0.024988336623990855,100.55294315068966,11.394267690057838,1
A4,mix,late,91,0.8255436169176713,0.15380063453645043,0.9719814973464,0.04811273803398255,204.88492063186817,26.145636050018364,1
A4,mix,middle,126,0.36158585968154405,0.06169314628331632,0.3315357862546243,0.0971068442974248,126.06910133492065,10.456373564145705,1
A5,ordered,early,89,0.21306359682368026,0.06781482135188445,0.026595906338262712,0.02730821681634286,100.89884370011235,11.494193861887975,1
A5,ordered,late,89,0.8322286325706161,0.14883744501072776,0.9777352801709487,0.02914078528253298,206.02447238314608,25.29547731840979,1
A5,ordered,middle,126,0.36517939656323434,0.06462366376496714,0.34126140438829616,0.10421605113725055,126.67591641587302,10.94924941396238,1
A6,final,early,87,0.21102672326065805,0.06723054417882397,0.024834335926897134,0.024988336623990855,100.55294315068966,11.394267690057838,1
A6,final,late,90,0.8288857275165162,0.15133083448999424,0.975076080274377,0.03832883507127243,205.45557982111112,25.720720298530473,1
A6,final,middle,127,0.3628706455346156,0.06311941425830667,0.3343856543457571,0.10187654077172796,126.28529418740158,10.69411028290551,1
