Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score,Macro-F1_B11,M-F1_B11,M-Rec_B11,Smooth_B11,Macro-F1_B10,B12_select_score,B12_minus_B11_MacroF1,B12_minus_B11_MF1,B12_minus_B10_MacroF1
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B12,0.703703704,0.645464305,0.696078431,0.695652174,0.5,0.740740741,1.0,0.5,0.588235294,0.5,0.5,0.0,0.0,0.058823529,1,2,0.14511976317209008,3.0,4,60,b11_wide_L4_k60,0.490931967,0.645464305,0.5,0.5,0.17808688006230763,0.376068376,0.49779571079623275,0.0,0.0,0.269395929
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B12,0.5625,0.541666667,0.658730159,0.5,0.625,0.5,1.0,0.476190476,0.5,0.909090909,0.380952381,0.142857143,0.0,0.166666667,2,0,0.034991011,3.0,3,20,b11_tiny_L3_k20,0.508364718,0.5,0.5,0.333333333,0.053747565,0.438095238,0.49531579861999997,0.04166666699999999,0.125,0.10357142899999999
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B12,0.594594595,0.622009804,0.663888889,0.823529412,0.48,0.5625,0.875,0.666666667,0.45,0.375,0.111111111,0.222222222,0.0,0.5,1,1,0.13018916,3.0,3,45,b11_sample_01,-0.782743708,0.595216875,0.416666667,0.555555556,0.156128716,0.43339117,0.4900380758,0.026792929000000076,0.06333333299999999,0.18861863400000006
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B12,0.571428571,0.53453997,0.564814815,0.615384615,0.588235294,0.4,0.888888889,0.555555556,0.25,0.625,0.444444444,0.0,0.111111111,0.625,2,0,0.175340217,3.0,3,45,b11_sample_01,0.459684133,0.506242985,0.5625,0.5,0.314207476,0.488095238,0.43347496649000006,0.028296984999999997,0.025735293999999964,0.04644473199999999
bestcase_candidate,CAND103,2026,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",B12,0.375,0.385095034,0.421855922,0.344827586,0.588235294,0.222222222,0.384615385,0.714285714,0.166666667,0.5,0.285714286,0.0,0.307692308,0.083333333,3,0,0.113462988,3.0,5,20,b11_sample_05,0.501067802,0.359064327,0.533333333,0.571428571,0.223681695,0.483088599,0.38135683415999994,0.026030706999999986,0.054901961,-0.097993565
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B12,0.705882353,0.687301587,0.735247209,0.8,0.761904762,0.5,1.0,0.842105263,0.363636364,0.695652174,0.105263158,0.052631579,0.0,0.636363636,1,0,0.183372605,3.0,3,20,b11_tiny_L3_k20,0.385693207,0.701851852,0.75,0.789473684,0.331519917,0.417924657,0.37775538335,-0.014550265000000007,0.011904762000000013,0.26937693
bestcase_candidate,CAND186,2026,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",B12,0.461538462,0.478395062,0.574074074,0.666666667,0.25,0.518518519,1.0,0.222222222,0.5,0.285714286,0.111111111,0.666666667,0.0,0.357142857,2,4,0.024119966,3.0,4,60,b11_wide_L4_k60,-0.729582923,0.438095238,0.142857143,0.111111111,0.024506255,0.341666667,0.36207833927,0.040299823999999984,0.10714285700000001,0.136728395
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",B12,0.666666667,0.595555556,0.601641414,0.4,0.666666667,0.72,0.333333333,0.909090909,0.5625,0.526315789,0.090909091,0.0,0.666666667,0.4375,0,0,0.066956688,3.0,4,30,b11_small_L4_k30_qweak,-2.15527367,0.580996169,0.689655172,0.909090909,0.080541909,0.465148378,0.32216436370999996,0.014559387000000035,-0.022988505000000048,0.130407178
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",B12,0.441176471,0.394975395,0.40493167,0.222222222,0.424242424,0.538461538,0.166666667,0.411764706,0.636363636,0.4375,0.117647059,0.470588235,0.833333333,0.363636364,1,0,0.225961738,3.0,3,60,b11_sample_03,0.614816614,0.347033055,0.322580645,0.294117647,0.393570827,0.484430082,0.31182507176,0.04794234000000003,0.10166177900000001,-0.08945468699999998
bestcase_candidate,CAND175,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",B12,0.266666667,0.223484848,0.496666667,0.125,0.363636364,0.181818182,1.0,0.24,0.25,0.75,0.52,0.24,0.0,0.5,2,1,0.095781135,3.0,4,30,b11_small_L4_k30_qweak,0.460742419,0.203988414,0.3125,0.2,0.186936283,0.242305407,0.2728009673000001,0.019496434000000007,0.05113636399999999,-0.018820558999999987
bestcase_candidate,CAND157,2026,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",B12,0.71875,0.468805704,0.452380952,0.588235294,0.0,0.818181818,0.5,0.0,0.857142857,0.0,1.0,0.0,0.0,0.095238095,1,2,0.250872804,3.0,3,45,b11_sample_01,0.589492322,0.468805704,0.0,0.0,0.411162427,0.237458194,0.23760779207999996,0.0,0.0,0.23134750999999998
