Split_type,Task,Seed,Best_validation_score,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,q_prior_weakening
bestcase_candidate,CAND017,2026,0.38569320745096364,0.85,0.03,2.0,0.01,0.33,0.73,0.01,0.45,False
bestcase_candidate,CAND175,2026,0.4607424190418604,0.98,0.03,2.0,0.01,0.25,0.58,0.03,0.55,True
bestcase_candidate,CAND109,2026,0.6148166144846756,0.85,0.05,2.0,0.005,0.43,0.6,0.05,0.45,False
bestcase_candidate,CAND078,2026,0.45968413262775515,0.85,0.05,2.0,0.01,0.38,0.57,0.1,0.35,False
bestcase_candidate,CAND011,2026,0.0475222797816201,0.98,0.03,1.2,0.0,0.25,0.57,0.05,0.55,True
bestcase_candidate,CAND010,2026,0.508364717996045,0.98,0.1,1.5,0.01,0.25,0.58,0.03,0.55,True
bestcase_candidate,CAND124,2026,-0.02741395018239673,0.95,0.1,2.0,0.0,0.25,0.55,0.1,0.45,False
bestcase_candidate,CAND158,2026,0.7137052140255353,0.85,0.03,2.0,0.01,0.42,0.75,0.1,0.55,False
bestcase_candidate,CAND052,2026,0.564700990819182,0.96,0.05,2.0,0.005,0.43,0.55,0.01,0.45,False
bestcase_candidate,CAND094,2026,0.42282039471169924,0.98,0.05,1.2,0.01,0.4,0.55,0.02,0.55,False
bestcase_candidate,CAND207,2026,0.5592240054316233,0.85,0.03,2.0,0.005,0.45,0.55,0.02,0.55,False
bestcase_candidate,CAND111,2026,-2.1552736703223374,0.98,0.05,1.2,0.01,0.38,0.55,0.0,0.55,False
bestcase_candidate,CAND110,2026,0.47688434891128234,0.95,0.03,2.0,0.0,0.38,0.55,0.05,0.55,True
bestcase_candidate,CAND087,2026,-0.7827437076906117,0.98,0.05,1.2,0.01,0.42,0.55,0.02,0.55,False
bestcase_candidate,CAND157,2026,0.5894923216163299,0.88,0.15,2.0,0.005,0.28,0.57,0.03,0.55,False
bestcase_candidate,CAND103,2026,0.5010678024809923,0.93,0.1,2.0,0.0,0.25,0.55,0.06,0.45,False
bestcase_candidate,CAND198,2026,0.552386464488882,0.95,0.03,1.2,0.0,0.45,0.55,0.08,0.55,False
bestcase_candidate,CAND045,2026,0.5196579963446777,0.98,0.03,2.0,0.01,0.25,0.55,0.05,0.55,True
bestcase_candidate,CAND235,2026,0.4909319667986623,0.95,0.03,2.0,0.01,0.45,0.57,0.05,0.55,True
bestcase_candidate,CAND186,2026,-0.729582922645063,0.98,0.15,1.0,0.0,0.45,0.57,0.02,0.55,False
