Split_ID,Train_cases,Validation_cases,Test_cases,Train_n,Val_n,Test_n,Train_stage_dist,Val_stage_dist,Test_stage_dist,Test_middle_n,Data_quality_score,Val_test_similarity,test_n_score,test_stage_score,middle_score,train_stage_score,val_stage_score,case_diversity_score,extreme_penalty,Split_quality_score,Reject_reason
CAND017,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",83,42,42,"E:27,M:21,L:35","E:13,M:14,L:15","E:13,M:14,L:15",14,0.9831536064452274,0.043470624270635666,0.9940298685319746,0.9875,1.0,0.9536144578313253,0.9875,1.0,0.0,0.9831536064452274,
CAND175,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",83,42,42,"E:27,M:21,L:35","E:13,M:14,L:15","E:13,M:14,L:15",14,0.9813544017793218,0.056983963062188066,0.9940298685319746,0.9875,1.0,0.9536144578313253,0.9875,1.0,0.0,0.9813544017793218,
CAND109,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",86,39,42,"E:28,M:24,L:34","E:12,M:13,L:14","E:13,M:12,L:17",12,0.9765704183160308,0.06326387982020538,0.9940298685319746,0.9625,1.0,0.9674418604651163,0.9865384615384616,1.0,0.0,0.9765704183160308,
CAND078,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",80,44,43,"E:26,M:22,L:32","E:14,M:14,L:16","E:13,M:13,L:17",13,0.9751388759520118,0.04589360339324136,0.9705036457993695,0.9674418604651163,1.0,0.9650000000000001,0.9840909090909091,1.0,0.0,0.9751388759520118,
CAND011,"2,4,5,8,9,12,13,14,15","1,3,7","6,10,11,16",88,39,40,"E:28,M:24,L:36","E:12,M:12,L:15","E:13,M:13,L:14",13,0.9742875281512311,0.06183745327989838,0.9589501682349624,0.99125,1.0,0.9602272727272727,0.9730769230769232,1.0,0.0,0.9742875281512311,
CAND010,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",89,39,39,"E:29,M:23,L:37","E:12,M:13,L:14","E:12,M:13,L:14",13,0.9737635205445344,0.036325424695320706,0.9362541950438518,0.9865384615384616,1.0,0.9567415730337079,0.9865384615384616,1.0,0.0,0.9737635205445344,
CAND124,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",80,44,43,"E:26,M:22,L:32","E:14,M:14,L:16","E:13,M:13,L:17",13,0.9730652818434148,0.06152206792441702,0.9705036457993695,0.9674418604651163,1.0,0.9650000000000001,0.9840909090909091,1.0,0.0,0.9730652818434148,
CAND158,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",88,39,40,"E:29,M:27,L:32","E:12,M:11,L:16","E:12,M:11,L:17",11,0.970947291444845,0.031350577259734363,0.9589501682349624,0.951875,1.0,0.9840909090909091,0.9596153846153846,1.0,0.0,0.970947291444845,
CAND052,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",88,39,40,"E:28,M:26,L:34","E:12,M:12,L:15","E:13,M:11,L:16",11,0.9695939911656912,0.06450317543784638,0.9589501682349624,0.9650000000000001,1.0,0.9721590909090909,0.9730769230769232,1.0,0.0,0.9695939911656912,
CAND094,"1,2,5,6,8,9,12,13,16","7,11,15","3,4,10,14",89,38,40,"E:29,M:26,L:34","E:12,M:11,L:15","E:12,M:12,L:16",12,0.9694208123259304,0.06304920156964182,0.9589501682349624,0.9650000000000001,1.0,0.974438202247191,0.9677631578947369,1.0,0.0,0.9694208123259304,
CAND207,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",90,39,38,"E:29,M:24,L:37","E:12,M:13,L:14","E:12,M:12,L:14",12,0.9692794219971173,0.034071985492765196,0.9140953792735901,0.9815789473684211,1.0,0.9591666666666667,0.9865384615384616,1.0,0.0,0.9692794219971173,
CAND111,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",94,31,42,"E:29,M:27,L:38","E:10,M:9,L:12","E:14,M:13,L:15",13,0.9683830335240146,0.15362715798177193,0.9940298685319746,0.9875,1.0,0.9627659574468086,0.9717741935483871,1.0,0.0,0.9683830335240146,
CAND110,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",83,42,42,"E:27,M:23,L:33","E:13,M:14,L:15","E:13,M:12,L:17",12,0.9682677986577702,0.12831550806725933,0.9940298685319746,0.9625,1.0,0.9662650602409639,0.9875,1.0,0.0,0.9682677986577702,
CAND087,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",76,46,45,"E:25,M:22,L:29","E:14,M:14,L:18","E:14,M:13,L:18",13,0.9680118137400422,0.029841273388171774,0.9251084441918686,0.9650000000000001,1.0,0.9746710526315789,0.9695652173913043,1.0,0.0,0.9680118137400422,
CAND157,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",89,38,40,"E:29,M:28,L:32","E:11,M:11,L:16","E:13,M:10,L:17",10,0.9679590758377082,0.050439923738594274,0.9589501682349624,0.951875,1.0,0.9862359550561798,0.9539473684210527,1.0,0.0,0.9679590758377082,
CAND103,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",83,39,45,"E:27,M:21,L:35","E:12,M:13,L:14","E:14,M:15,L:16",15,0.9667130124592874,0.07455569662087756,0.9251084441918686,0.9883333333333333,1.0,0.9536144578313253,0.9865384615384616,1.0,0.0,0.9667130124592874,
CAND198,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",88,40,39,"E:28,M:22,L:38","E:12,M:13,L:15","E:13,M:14,L:12",14,0.9662818176737697,0.07759754222771174,0.9362541950438518,0.9865384615384616,1.0,0.9482954545454545,0.978125,1.0,0.0,0.9662818176737697,
CAND045,"1,2,4,5,7,8,9,13,15","3,10,12","6,11,14,16",89,39,39,"E:28,M:22,L:39","E:12,M:13,L:14","E:13,M:14,L:12",14,0.9651858466394833,0.09083355912727606,0.9362541950438518,0.9865384615384616,1.0,0.9449438202247191,0.9865384615384616,1.0,0.0,0.9651858466394833,
CAND235,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",88,40,39,"E:28,M:28,L:32","E:13,M:11,L:16","E:12,M:10,L:17",10,0.9651562869021206,0.03944068297736273,0.9362541950438518,0.9461538461538461,1.0,0.9840909090909091,0.9650000000000001,1.0,0.0,0.9651562869021206,
CAND186,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",90,39,38,"E:29,M:27,L:34","E:12,M:11,L:16","E:12,M:11,L:15",11,0.9648909393443025,0.035686171356835404,0.9140953792735901,0.9677631578947369,1.0,0.9766666666666667,0.9596153846153846,1.0,0.0,0.9648909393443025,
