Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Config,q-MAE,q-RMSE,q-R2,Spearman,Pearson,q-Smooth
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",b11_tiny_L3_k20,0.17842889087070374,0.20874465891555652,0.5086747316330197,0.813598166539343,0.7958794818988093,0.06160485049088796
bestcase_candidate,CAND175,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",b11_small_L4_k30_qweak,0.2482590640295583,0.27786513720934297,0.10665583485094543,0.48476084538375974,0.4249134186263998,0.016772983165887687
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",b11_sample_03,0.2753915883324075,0.30883707166151525,0.057532911885584626,0.5110771581359816,0.49831639053395216,0.01432120402654012
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",b11_sample_01,0.20462444607688193,0.24905749846166725,0.30772597128514423,0.7011204481792718,0.6393913222730812,0.037725071753225016
bestcase_candidate,CAND011,2026,"2,4,5,8,9,12,13,14,15","1,3,7","6,10,11,16",b11_sample_05,0.2630182532029041,0.30343867120889634,-0.017202824527726923,0.15873015873015872,0.11344939757961678,0.008392079422871271
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",b11_tiny_L3_k20,0.24717035851892052,0.28596320633666167,0.08027578596070317,0.5201612903225806,0.5248381556234463,0.014630975394413388
bestcase_candidate,CAND124,2026,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",b11_tiny_L3_k20,0.22702582508970304,0.2659891844186255,0.20843799863111734,0.6366946778711485,0.5962250579225844,0.03668031384868006
bestcase_candidate,CAND158,2026,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",b11_sample_04,0.2300300368864028,0.2850754121244826,0.19472943964785916,0.7302052785923753,0.6363786163711925,0.03169616098914828
bestcase_candidate,CAND052,2026,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",b11_sample_03,0.2536126117435609,0.28848210252745793,0.13179041710243844,0.7272727272727273,0.6429824554371881,0.018292470773061117
bestcase_candidate,CAND094,2026,"1,2,5,6,8,9,12,13,16","7,11,15","3,4,10,14",b11_sample_01,0.21576921767661872,0.24815350301649197,0.26868199077417176,0.8310117302052785,0.818148118159663,0.02296405072723116
bestcase_candidate,CAND207,2026,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",b11_sample_01,0.282733058716534,0.31580195445381004,-0.04530390321479949,0.343841642228739,0.2955714073210533,0.04096913954307293
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",b11_small_L4_k30_qweak,0.27274499401387675,0.30756649218987586,0.03991920738060306,0.48609566184649605,0.3522088048911383,0.00705717160151555
bestcase_candidate,CAND110,2026,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",b11_sample_03,0.2848726697026984,0.3232915133691573,0.03757910333359238,0.4872421695951108,0.4467891707903242,0.007777072985967
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",b11_sample_01,0.23120236478862868,0.2686571337223644,0.1472774096477366,0.6292081555239449,0.643575884401163,0.015501507303931496
bestcase_candidate,CAND157,2026,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",b11_sample_01,0.22105113791605022,0.2572800578666765,0.29547378960062165,0.6352639296187682,0.6069121772286624,0.06175190316779273
bestcase_candidate,CAND103,2026,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",b11_sample_05,0.32250181358744645,0.3511830020253241,-0.29280663459790457,-0.21480938416422285,-0.281007362122218,0.03396918958631055
bestcase_candidate,CAND198,2026,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",b11_tiny_L3_k20,0.23339580030821405,0.2698739260869097,0.1208168014943578,0.5058651026392962,0.48073888741722554,0.013472137780025088
bestcase_candidate,CAND045,2026,"1,2,4,5,7,8,9,13,15","3,10,12","6,11,14,16",b11_sample_05,0.25847285069337117,0.290287494308988,0.09278669045203558,0.5999999999999999,0.6409984052722228,0.015412054632021032
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",b11_wide_L4_k60,,,,0.42923076923076925,,
bestcase_candidate,CAND186,2026,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",b11_wide_L4_k60,0.23553544389418832,0.28279431044587316,-0.18373395567084017,0.27658119658119656,0.2578089404120009,0.008439325473525307
