| Task_ID | Split_ID | Method | Acc | Macro-F1 | M-F1 | M-Rec | M?E | M?L | Rev | Smooth |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| N1 | CAND017 | B9 | 0.5385 | 0.5713 | 0.4545 | 0.3571 | 0.0714 | 0.5714 | 0 | 0.1462 |
| N1 | CAND017 | B10 | 0.5000 | 0.4179 | 0.6047 | 0.6842 | 0.0526 | 0.2632 | 1 | 0.0563 |
| N1 | CAND017 | B11 | 0.7059 | 0.7019 | 0.7500 | 0.7895 | 0.1053 | 0.1053 | 2 | 0.3315 |
| N1 | CAND017 | B12 | 0.7059 | 0.6873 | 0.7619 | 0.8421 | 0.1053 | 0.0526 | 1 | 0.1834 |
| N2 | CAND235 | B9 | 0.4074 | 0.3638 | 0.2222 | 0.5000 | 0.5000 | 0.0000 | 1 | 0.0737 |
| N2 | CAND235 | B10 | 0.5161 | 0.3761 | 0.0000 | 0.0000 | 0.5000 | 0.5000 | 1 | 0.0562 |
| N2 | CAND235 | B11 | 0.7037 | 0.6455 | 0.5000 | 0.5000 | 0.5000 | 0.0000 | 1 | 0.1781 |
| N2 | CAND235 | B12 | 0.7037 | 0.6455 | 0.5000 | 0.5000 | 0.5000 | 0.0000 | 1 | 0.1451 |
| N3 | CAND087 | B9 | 0.4848 | 0.4675 | 0.4286 | 0.3750 | 0.1250 | 0.5000 | 2 | 0.0797 |
| N3 | CAND087 | B10 | 0.4242 | 0.4334 | 0.5714 | 0.7500 | 0.1250 | 0.1250 | 4 | 0.0116 |
| N3 | CAND087 | B11 | 0.5676 | 0.5952 | 0.4167 | 0.5556 | 0.1111 | 0.3333 | 1 | 0.1561 |
| N3 | CAND087 | B12 | 0.5946 | 0.6220 | 0.4800 | 0.6667 | 0.1111 | 0.2222 | 1 | 0.1302 |
| N4 | CAND111 | B9 | 0.4706 | 0.4180 | 0.1429 | 0.0769 | 0.8462 | 0.0769 | 1 | 0.2211 |
| N4 | CAND111 | B10 | 0.4706 | 0.4651 | 0.3810 | 0.3077 | 0.6923 | 0.0000 | 0 | 0.0582 |
| N4 | CAND111 | B11 | 0.6667 | 0.5810 | 0.6897 | 0.9091 | 0.0909 | 0.0000 | 1 | 0.0805 |
| N4 | CAND111 | B12 | 0.6667 | 0.5956 | 0.6667 | 0.9091 | 0.0909 | 0.0000 | 0 | 0.0670 |
| N5 | CAND010 | B9 | 0.4138 | 0.4037 | 0.4444 | 0.2857 | 0.4286 | 0.2857 | 0 | 0.2370 |
| N5 | CAND010 | B10 | 0.6538 | 0.4381 | 0.7429 | 0.6842 | 0.1053 | 0.2105 | 0 | 0.1604 |
| N5 | CAND010 | B11 | 0.5000 | 0.5000 | 0.5000 | 0.3333 | 0.3810 | 0.2857 | 1 | 0.0537 |
| N5 | CAND010 | B12 | 0.5625 | 0.5417 | 0.6250 | 0.4762 | 0.3810 | 0.1429 | 2 | 0.0350 |
