Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B9,0.407407407,0.363756614,0.517156863,0.583333333,0.222222222,0.285714286,0.875,0.5,0.176470588,0.142857143,0.5,0.0,0.0,0.352941176,1,1,0.073714863,3,4,30,small_L4_k30,0.604482843
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B10,0.516129032,0.376068376,0.414141414,0.666666667,0.0,0.461538462,0.909090909,0.0,0.333333333,0.0,0.5,0.5,0.0,0.222222222,1,3,0.05624685,3,3,20,tiny_L3_k20,0.598094691
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B11,0.703703704,0.645464305,0.696078431,0.695652174,0.5,0.740740741,1.0,0.5,0.588235294,0.5,0.5,0.0,0.0,0.058823529,1,2,0.17808688006230763,3,4,60,b11_wide_L4_k60,0.492187942
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B12,0.703703704,0.645464305,0.696078431,0.695652174,0.5,0.740740741,1.0,0.5,0.588235294,0.5,0.5,0.0,0.0,0.058823529,1,2,0.14511976317209008,3,4,60,b11_wide_L4_k60,0.490931967
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B9,0.413793103,0.403703704,0.650793651,0.266666667,0.444444444,0.5,1.0,0.285714286,0.666666667,1.0,0.428571429,0.285714286,0.0,0.0,0,0,0.236995704,3,4,30,small_L4_k30,0.344201976
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B10,0.653846154,0.438095238,0.450292398,0.0,0.742857143,0.571428571,0.0,0.684210526,0.666666667,0.8125,0.105263158,0.210526316,1.0,0.333333333,0,0,0.160417332,3,5,30,small_L5_k30,0.436347433
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B11,0.5,0.5,0.666666667,0.5,0.5,0.5,1.0,0.333333333,0.666666667,1.0,0.380952381,0.285714286,0.0,0.0,1,0,0.053747565,3,3,20,b11_tiny_L3_k20,0.464237311
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B12,0.5625,0.541666667,0.658730159,0.5,0.625,0.5,1.0,0.476190476,0.5,0.909090909,0.380952381,0.142857143,0.0,0.166666667,2,0,0.034991011,3,3,20,b11_tiny_L3_k20,0.508364718
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B9,0.484848485,0.467475879,0.541666667,0.444444444,0.428571429,0.529411765,0.8,0.375,0.45,0.5,0.125,0.5,0.0,0.15,2,1,0.079726651,3,4,30,small_L4_k30,0.397136454
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B10,0.424242424,0.43339117,0.583333333,0.421052632,0.571428571,0.307692308,0.8,0.75,0.2,0.461538462,0.125,0.125,0.0,0.35,4,1,0.011637625,3,4,30,small_L4_k30,0.541329818
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B11,0.567567568,0.595216875,0.626851852,0.823529412,0.416666667,0.545454545,0.875,0.555555556,0.45,0.333333333,0.111111111,0.333333333,0.0,0.5,1,2,0.156128716,3,3,45,b11_sample_01,0.435640885
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B12,0.594594595,0.622009804,0.663888889,0.823529412,0.48,0.5625,0.875,0.666666667,0.45,0.375,0.111111111,0.222222222,0.0,0.5,1,1,0.13018916,3,3,45,b11_sample_01,-0.782743708
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B9,0.548387097,0.567285761,0.551470588,0.666666667,0.580645161,0.454545455,0.5,0.529411765,0.625,0.642857143,0.0,0.470588235,0.333333333,0.375,0,1,0.225430649,3,4,30,small_L4_k30,0.357081245
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B10,0.657142857,0.488095238,0.518518519,0.714285714,0.75,0.0,0.555555556,1.0,0.0,0.6,0.0,0.0,0.444444444,1.0,0,0,0.026610941,2,3,20,tiny_L3_k20,0.511329286
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B11,0.542857143,0.506242985,0.546296296,0.592592593,0.5625,0.363636364,0.888888889,0.5,0.25,0.642857143,0.444444444,0.055555556,0.111111111,0.5,1,0,0.314207476,3,3,45,b11_sample_01,0.510503584
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B12,0.571428571,0.53453997,0.564814815,0.615384615,0.588235294,0.4,0.888888889,0.555555556,0.25,0.625,0.444444444,0.0,0.111111111,0.625,2,0,0.175340217,3,3,45,b11_sample_01,0.459684133
