Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B11,0.705882353,0.701851852,0.74800638,0.8,0.75,0.555555556,1.0,0.789473684,0.454545455,0.714285714,0.105263158,0.105263158,0.0,0.545454545,2,0,0.331519917,3,3,20,b11_tiny_L3_k20,0.458936789
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B12,0.705882353,0.687301587,0.735247209,0.8,0.761904762,0.5,1.0,0.842105263,0.363636364,0.695652174,0.105263158,0.052631579,0.0,0.636363636,1,0,0.183372605,3,3,20,b11_tiny_L3_k20,0.385693207
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B11,0.703703704,0.645464305,0.696078431,0.695652174,0.5,0.740740741,1.0,0.5,0.588235294,0.5,0.5,0.0,0.0,0.058823529,1,2,0.17808688006230763,3,4,60,b11_wide_L4_k60,0.492187942
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B12,0.703703704,0.645464305,0.696078431,0.695652174,0.5,0.740740741,1.0,0.5,0.588235294,0.5,0.5,0.0,0.0,0.058823529,1,2,0.14511976317209008,3,4,60,b11_wide_L4_k60,0.490931967
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B12,0.594594595,0.622009804,0.663888889,0.823529412,0.48,0.5625,0.875,0.666666667,0.45,0.375,0.111111111,0.222222222,0.0,0.5,1,1,0.13018916,3,3,45,b11_sample_01,-0.782743708
bestcase_candidate,CAND124,2026,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",B9,0.592592593,0.597856534,0.677777778,0.714285714,0.608695652,0.470588235,1.0,0.7,0.333333333,0.538461538,0.2,0.1,0.0,0.5,3,3,0.063088942,3,5,30,small_L5_k30,0.450544889
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",B12,0.666666667,0.595555556,0.601641414,0.4,0.666666667,0.72,0.333333333,0.909090909,0.5625,0.526315789,0.090909091,0.0,0.666666667,0.4375,0,0,0.066956688,3,4,30,b11_small_L4_k30_qweak,-2.15527367
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B11,0.567567568,0.595216875,0.626851852,0.823529412,0.416666667,0.545454545,0.875,0.555555556,0.45,0.333333333,0.111111111,0.333333333,0.0,0.5,1,2,0.156128716,3,3,45,b11_sample_01,0.435640885
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",B11,0.666666667,0.580996169,0.601641414,0.333333333,0.689655172,0.72,0.333333333,0.909090909,0.5625,0.555555556,0.090909091,0.0,0.666666667,0.375,1,0,0.080541909,3,4,30,b11_small_L4_k30_qweak,0.601208336
bestcase_candidate,CAND110,2026,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",B10,0.653846154,0.576290286,0.573076923,0.705882353,0.333333333,0.689655172,0.75,0.2,0.769230769,1.0,0.0,0.8,0.0,0.0,1,3,0.209944879,3,5,30,small_L5_k30,0.527507756
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B9,0.538461538,0.571268238,0.694805195,0.666666667,0.454545455,0.592592593,1.0,0.357142857,0.727272727,0.625,0.071428571,0.571428571,0.0,0.272727273,0,0,0.146178217,3,5,30,small_L5_k30,0.414829587
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B9,0.548387097,0.567285761,0.551470588,0.666666667,0.580645161,0.454545455,0.5,0.529411765,0.625,0.642857143,0.0,0.470588235,0.333333333,0.375,0,1,0.225430649,3,4,30,small_L4_k30,0.357081245
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B12,0.5625,0.541666667,0.658730159,0.5,0.625,0.5,1.0,0.476190476,0.5,0.909090909,0.380952381,0.142857143,0.0,0.166666667,2,0,0.034991011,3,3,20,b11_tiny_L3_k20,0.508364718
bestcase_candidate,CAND094,2026,"1,2,5,6,8,9,12,13,16","7,11,15","3,4,10,14",B11,0.53125,0.539264829,0.606481481,0.736842105,0.380952381,0.5,1.0,0.444444444,0.375,0.333333333,0.333333333,0.222222222,0.0,0.5,5,4,0.204736914,3,3,45,b11_sample_01,0.548584084
