Task_ID,Split_ID,Method,Acc,Macro-F1,M-F1,M-Rec,M?E,M?L,Rev,Smooth
N1,CAND017,B9,0.538461538,0.571268238,0.454545455,0.357142857,0.071428571,0.571428571,0,0.146178217
N1,CAND017,B10,0.5,0.417924657,0.604651163,0.684210526,0.052631579,0.263157895,1,0.05626071
N1,CAND017,B11,0.705882353,0.701851852,0.75,0.789473684,0.105263158,0.105263158,2,0.331519917
N1,CAND017,B12,0.705882353,0.687301587,0.761904762,0.842105263,0.105263158,0.052631579,1,0.183372605
N2,CAND235,B9,0.407407407,0.363756614,0.222222222,0.5,0.5,0.0,1,0.073714863
N2,CAND235,B10,0.516129032,0.376068376,0.0,0.0,0.5,0.5,1,0.05624685
N2,CAND235,B11,0.703703704,0.645464305,0.5,0.5,0.5,0.0,1,0.1780868800623076
N2,CAND235,B12,0.703703704,0.645464305,0.5,0.5,0.5,0.0,1,0.14511976317209
N3,CAND087,B9,0.484848485,0.467475879,0.428571429,0.375,0.125,0.5,2,0.079726651
N3,CAND087,B10,0.424242424,0.43339117,0.571428571,0.75,0.125,0.125,4,0.011637625
N3,CAND087,B11,0.567567568,0.595216875,0.416666667,0.555555556,0.111111111,0.333333333,1,0.156128716
N3,CAND087,B12,0.594594595,0.622009804,0.48,0.666666667,0.111111111,0.222222222,1,0.13018916
N4,CAND111,B9,0.470588235,0.417989418,0.142857143,0.076923077,0.846153846,0.076923077,1,0.221051604
N4,CAND111,B10,0.470588235,0.465148378,0.380952381,0.307692308,0.692307692,0.0,0,0.058158162
N4,CAND111,B11,0.666666667,0.580996169,0.689655172,0.909090909,0.090909091,0.0,1,0.080541909
N4,CAND111,B12,0.666666667,0.595555556,0.666666667,0.909090909,0.090909091,0.0,0,0.066956688
N5,CAND010,B9,0.413793103,0.403703704,0.444444444,0.285714286,0.428571429,0.285714286,0,0.236995704
N5,CAND010,B10,0.653846154,0.438095238,0.742857143,0.684210526,0.105263158,0.210526316,0,0.160417332
N5,CAND010,B11,0.5,0.5,0.5,0.333333333,0.380952381,0.285714286,1,0.053747565
N5,CAND010,B12,0.5625,0.541666667,0.625,0.476190476,0.380952381,0.142857143,2,0.034991011
