Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
case_split,CSP1,2026,b11_tiny_L3_k20,0.45893678920379916,10,0.5844974948423224,0.5944444444444444,0.5333333333333333,0.5333333333333333,0.32653049972246995,0.7657657657657658,0.7484538995957305,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
case_split,CSP1,2026,b11_small_L4_k30_qweak,0.3971895253937085,14,0.49137336093857836,0.5222222222222223,0.5217391304347827,0.4,0.27117653999788066,0.6433823529411765,0.6257558307980461,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
case_split,CSP1,2026,b11_mid_L5_k45,0.41827196502599884,29,0.5430886707184043,0.5538461538461539,0.5217391304347826,0.46153846153846156,0.24403860006067488,0.5870967741935484,0.6154599229528998,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
case_split,CSP1,2026,b11_wide_L4_k60,0.1305029883980982,1,0.3516908212560386,0.3444444444444444,0.5333333333333333,0.5333333333333333,0.014868589242299397,0.4184491978609626,0.5749695813951206,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
case_split,CSP1,2026,b11_sample_01,0.45447962380867213,20,0.5570544151189313,0.5851851851851851,0.5333333333333333,0.5333333333333333,0.2647138165846241,0.802059202059202,0.8015611752734414,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
case_split,CSP1,2026,b11_sample_02,-0.2395693071895359,13,0.3984153933220147,0.4545454545454546,0.4210526315789474,0.36363636363636365,0.14709023161170384,0.8223443223443224,0.794058197701748,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
case_split,CSP1,2026,b11_sample_03,0.33777226064449195,13,0.510892616155774,0.5481481481481482,0.28571428571428575,0.2,0.269164303599885,0.501930501930502,0.46552302523627176,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
case_split,CSP1,2026,b11_sample_04,0.3383856466532177,19,0.4819504819504819,0.5259259259259259,0.18181818181818182,0.13333333333333333,0.19480911213340182,0.8249678249678251,0.7363665315760454,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
case_split,CSP1,2026,b11_sample_05,0.20922739503928042,29,0.3606837606837607,0.4256410256410256,0.13333333333333336,0.07692307692307693,0.12288344196147388,0.11857619577308119,0.14956293973818857,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
case_split,CSP2,2026,b11_tiny_L3_k20,0.6055764455167849,11,0.7348311490187919,0.7221479500891266,0.7894736842105262,0.8823529411764706,0.2739023972359119,0.8406692406692409,0.7692080222818377,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
case_split,CSP2,2026,b11_small_L4_k30_qweak,0.2945664374760856,8,0.3517126148705096,0.4392156862745098,0.19047619047619047,0.11764705882352941,0.14888326885799566,0.8382352941176471,0.6927249282534232,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
case_split,CSP2,2026,b11_mid_L5_k45,-0.18155045659824204,28,0.4761904761904763,0.5333333333333333,0.6428571428571429,0.6,0.2997410191843907,0.6413793103448275,0.6502888554677992,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
case_split,CSP2,2026,b11_wide_L4_k60,-0.02204585726076591,21,0.18803418803418803,0.3333333333333333,0.0,0.0,0.14865455962717533,0.7914438502673797,0.742938205005873,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
case_split,CSP2,2026,b11_sample_01,0.5218384240603985,2,0.7180555555555556,0.7270499108734403,0.6875,0.6470588235294118,0.04188388179649006,-0.37940797940797943,-0.4297457770852447,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
case_split,CSP2,2026,b11_sample_02,-0.15151523941616857,10,0.4723092998955068,0.4988344988344989,0.6896551724137931,0.7692307692307693,0.08999900349105398,0.6324786324786325,0.6197295583804106,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
case_split,CSP2,2026,b11_sample_03,0.4672446283952118,30,0.5861111111111111,0.6127450980392157,0.625,0.5882352941176471,0.3682630177865962,0.6808236808236808,0.6739735783366633,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
case_split,CSP2,2026,b11_sample_04,0.325909398170429,6,0.45377837514934294,0.5122549019607843,0.45161290322580644,0.4117647058823529,0.07919192720543254,0.007722007722007722,-0.022800546394246973,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
case_split,CSP2,2026,b11_sample_05,-0.4863051084067655,2,0.18333333333333332,0.3333333333333333,0.0,0.0,0.017194576837398386,0.029143492769744164,-0.051218885167848886,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
case_split,CSP3,2026,b11_tiny_L3_k20,0.6402067627101177,11,0.7728158780790361,0.8412698412698413,0.7777777777777778,0.6666666666666666,0.2946938659064472,0.8599598930481284,0.8342251643677426,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
case_split,CSP3,2026,b11_small_L4_k30_qweak,0.5623540760851825,21,0.681962481962482,0.7063492063492064,0.742857142857143,0.6190476190476191,0.2892463346382741,0.7499443826473859,0.7053624818862555,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
