Split_ID,Train_cases,Validation_cases,Test_cases,Train_n,Val_n,Test_n,Train_stage_dist,Val_stage_dist,Test_stage_dist,Test_middle_n,Val_test_similarity,test_n_score,test_stage_score,middle_score,train_stage_score,val_stage_score,case_diversity_score,extreme_penalty,Split_quality_score,Reject_reason
CAND1661,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",83,42,42,"E:27,M:21,L:35","E:13,M:14,L:15","E:13,M:14,L:15",14,0.043470624270635666,0.9940298685319746,0.9875,1.0,0.9536144578313253,0.9875,1.0,0.0,0.9831536064452274,
CAND1439,"1,2,5,6,7,8,13,14,15","9,10,11","3,4,12,16",83,42,42,"E:27,M:21,L:35","E:13,M:14,L:15","E:13,M:14,L:15",14,0.045207616295025045,0.9940298685319746,0.9875,1.0,0.9536144578313253,0.9875,1.0,0.0,0.9829209743247637,
CAND055,"2,4,5,7,8,9,13,14,15,16","3,10,12","1,6,11",87,39,41,"E:28,M:22,L:37","E:12,M:13,L:14","E:13,M:14,L:14",14,0.043547116114868084,0.98219632021493,0.9914634146341463,1.0,0.9517241379310345,0.9865384615384616,1.0,0.0,0.9815430430457447,
CAND1057,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",83,42,42,"E:27,M:21,L:35","E:13,M:14,L:15","E:13,M:14,L:15",14,0.056983963062188066,0.9940298685319746,0.9875,1.0,0.9536144578313253,0.9875,1.0,0.0,0.9813544017793218,
CAND2060,"1,2,4,5,8,13,14,15,16","3,10,12","6,7,9,11",87,39,41,"E:27,M:23,L:37","E:12,M:13,L:14","E:14,M:13,L:14",13,0.048199613948489255,0.98219632021493,0.9914634146341463,1.0,0.9517241379310345,0.9865384615384616,1.0,0.0,0.9809208974118798,
CAND1613,"1,4,6,7,8,12,13,15,16","2,5,11","3,9,10,14",82,43,42,"E:27,M:21,L:34","E:13,M:14,L:16","E:13,M:14,L:15",14,0.06060703849003818,0.9940298685319746,0.9875,1.0,0.9573170731707317,0.9796511627906976,1.0,0.0,0.9803785874156801,
CAND450,"1,2,4,5,6,8,13,14,15,16","3,10,12","7,9,11",88,39,40,"E:28,M:23,L:37","E:12,M:13,L:14","E:13,M:13,L:14",13,0.03182669602418014,0.9589501682349624,0.99125,1.0,0.9542613636363636,0.9865384615384616,1.0,0.0,0.9791964312764441,
CAND1575,"1,4,6,8,9,10,13,14,15","2,5,11","3,7,12,16",81,43,43,"E:26,M:21,L:34","E:13,M:14,L:16","E:14,M:14,L:15",14,0.04320246975876741,0.9705036457993695,0.9918604651162791,1.0,0.9546296296296296,0.9796511627906976,1.0,0.0,0.97909409828558,
CAND1526,"1,2,4,5,8,13,14,15,16","7,9,11","3,6,10,12",87,40,40,"E:27,M:23,L:37","E:13,M:13,L:14","E:13,M:13,L:14",13,0.03642422709053028,0.9589501682349624,0.99125,1.0,0.9517241379310345,0.99125,1.0,0.0,0.9788352883559696,
CAND1554,"1,4,6,8,12,13,14,15,16","2,5,11","3,7,9,10",83,43,41,"E:27,M:23,L:33","E:13,M:14,L:16","E:13,M:12,L:16",12,0.04072330822506882,0.98219632021493,0.9701219512195123,1.0,0.9662650602409639,0.9796511627906976,1.0,0.0,0.9781453777633338,
CAND2124,"1,2,4,5,7,8,13,14,16","3,10,12","6,9,11,15",88,39,40,"E:28,M:23,L:37","E:12,M:13,L:14","E:13,M:13,L:14",13,0.03971812158042272,0.9589501682349624,0.99125,1.0,0.9542613636363636,0.9865384615384616,1.0,0.0,0.9781304517421078,
CAND1739,"1,2,5,7,8,13,14,15,16","3,10,12","4,6,9,11",88,39,40,"E:28,M:23,L:37","E:12,M:13,L:14","E:13,M:13,L:14",13,0.03971812158042272,0.9589501682349624,0.99125,1.0,0.9542613636363636,0.9865384615384616,1.0,0.0,0.9781304517421078,
CAND1493,"1,2,4,6,8,9,13,14,16","7,10,11","3,5,12,15",84,41,42,"E:27,M:25,L:32","E:13,M:12,L:16","E:13,M:12,L:17",12,0.04482773222941401,0.9940298685319746,0.9625,1.0,0.9750000000000001,0.9701219512195123,1.0,0.0,0.9779527161824534,
CAND1386,"1,2,6,8,9,13,14,15,16","7,10,11","3,4,5,12",84,41,42,"E:27,M:25,L:32","E:13,M:12,L:16","E:13,M:12,L:17",12,0.04482773222941401,0.9940298685319746,0.9625,1.0,0.9750000000000001,0.9701219512195123,1.0,0.0,0.9779527161824534,
CAND1602,"1,2,4,5,6,9,13,14,16","7,10,11","3,8,12,15",84,41,42,"E:27,M:25,L:32","E:13,M:12,L:16","E:13,M:12,L:17",12,0.04531105550294311,0.9940298685319746,0.9625,1.0,0.9750000000000001,0.9701219512195123,1.0,0.0,0.977888032854069,
CAND1413,"1,2,5,6,9,13,14,15,16","7,10,11","3,4,8,12",84,41,42,"E:27,M:25,L:32","E:13,M:12,L:16","E:13,M:12,L:17",12,0.046887244281925144,0.9940298685319746,0.9625,1.0,0.9750000000000001,0.9701219512195123,1.0,0.0,0.9776773080272366,
CAND1029,"1,6,8,9,12,13,14,15,16","4,10,11","2,3,5,7",85,40,42,"E:28,M:25,L:32","E:12,M:12,L:16","E:13,M:12,L:17",12,0.045410947708199735,0.9940298685319746,0.9625,1.0,0.9773529411764705,0.9650000000000001,1.0,0.0,0.9775423869369168,
CAND1093,"1,4,5,6,7,8,12,13,14","9,10,11","2,3,15,16",84,42,41,"E:28,M:21,L:35","E:13,M:14,L:15","E:12,M:14,L:15",14,0.06077918494109054,0.98219632021493,0.9786585365853658,1.0,0.95625,0.9875,1.0,0.0,0.9770945571789927,
CAND1710,"1,2,6,7,8,9,13,14,15","3,10,12","4,5,11,16",86,39,42,"E:28,M:24,L:34","E:12,M:13,L:14","E:13,M:12,L:17",12,0.06326387982020538,0.9940298685319746,0.9625,1.0,0.9674418604651163,0.9865384615384616,1.0,0.0,0.9765704183160308,
CAND2300,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",86,39,42,"E:28,M:24,L:34","E:12,M:13,L:14","E:13,M:12,L:17",12,0.06326387982020538,0.9940298685319746,0.9625,1.0,0.9674418604651163,0.9865384615384616,1.0,0.0,0.9765704183160308,
CAND2040,"1,2,4,6,7,8,9,13,14","3,10,12","5,11,15,16",86,39,42,"E:28,M:24,L:34","E:12,M:13,L:14","E:13,M:12,L:17",12,0.06326387982020538,0.9940298685319746,0.9625,1.0,0.9674418604651163,0.9865384615384616,1.0,0.0,0.9765704183160308,
CAND1819,"1,2,5,6,7,9,13,14,15","3,10,12","4,8,11,16",86,39,42,"E:28,M:24,L:34","E:12,M:13,L:14","E:13,M:12,L:17",12,0.06326387982020538,0.9940298685319746,0.9625,1.0,0.9674418604651163,0.9865384615384616,1.0,0.0,0.9765704183160308,
CAND136,"1,4,6,7,8,9,13,14,15,16","3,10,12","2,5,11",85,39,43,"E:28,M:22,L:35","E:12,M:13,L:14","E:13,M:14,L:16",14,0.052414931391932484,0.9705036457993695,0.9796511627906976,1.0,0.9588235294117647,0.9865384615384616,1.0,0.0,0.9765082568806401,
CAND528,"1,2,4,5,6,8,9,13,15,16","3,7,12","10,11,14",88,37,42,"E:28,M:23,L:37","E:12,M:12,L:13","E:13,M:14,L:15",14,0.10121912443379695,0.9940298685319746,0.9875,1.0,0.9542613636363636,0.9905405405405405,1.0,0.0,0.9760745021450169,
CAND1603,"4,5,6,9,10,11,13,14,15","1,2,7","3,8,12,16",87,39,41,"E:28,M:25,L:34","E:12,M:11,L:16","E:13,M:13,L:15",13,0.06269773761310203,0.98219632021493,0.9829268292682927,1.0,0.9698275862068966,0.9596153846153846,1.0,0.0,0.976064221919741,
CAND682,"4,5,7,8,10,11,13,15,16","2,9,12","1,3,6,14",88,38,41,"E:28,M:22,L:38","E:12,M:13,L:13","E:13,M:14,L:14",14,0.08723350178947432,0.98219632021493,0.9914634146341463,1.0,0.9482954545454545,0.9907894736842104,1.0,0.0,0.9759123107288248,
CAND1153,"5,6,7,9,10,11,13,14,15","1,3,8","2,4,12,16",88,37,42,"E:29,M:25,L:34","E:11,M:11,L:15","E:13,M:13,L:16",13,0.07165493954906262,0.9940298685319746,0.9750000000000001,1.0,0.9721590909090909,0.9621621621621621,1.0,0.0,0.9758632123919074,
CAND1494,"4,6,8,9,10,11,13,14,15","1,2,7","3,5,12,16",87,39,41,"E:28,M:25,L:34","E:12,M:11,L:16","E:13,M:13,L:15",13,0.06436698281088304,0.98219632021493,0.9829268292682927,1.0,0.9698275862068966,0.9596153846153846,1.0,0.0,0.9758449129129154,
