Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
original,N1,2026,b11_tiny_L3_k20,0.5614751607439757,12,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5,0.2290063502887885,0.8913770053475937,0.6887651424304524,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
original,N1,2026,b11_small_L4_k30_qweak,0.5766441013463618,13,0.7655502392344498,0.7264239028944912,0.7272727272727272,0.6666666666666666,0.26275199348175965,0.5888765294771968,0.5690172608116405,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
original,N1,2026,b11_mid_L5_k45,0.43468190611742086,19,0.5572390572390572,0.5964052287581699,0.4444444444444444,0.3333333333333333,0.12492542527616024,0.6636141636141636,0.6160523517808651,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
original,N1,2026,b11_wide_L4_k60,0.5423112089808761,15,0.7905982905982906,0.7380952380952381,0.6666666666666666,0.5,0.10250700127195429,0.2395995550611791,0.20521515710474703,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
original,N1,2026,b11_sample_01,0.5321183091643766,6,0.738562091503268,0.738562091503268,0.5,0.3333333333333333,0.10673580318689346,0.7710561497326204,0.7357226893548551,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
original,N1,2026,b11_sample_02,0.6385340938989581,33,0.8215909090909091,0.8680555555555555,0.7272727272727272,0.6666666666666666,0.3363943486696198,0.8104347826086956,0.792467414437094,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
original,N1,2026,b11_sample_03,0.6133210159368316,9,0.8237259816207185,0.8163398692810458,0.6666666666666666,0.6666666666666666,0.14668560276428858,0.5879010695187166,0.5924665776648416,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
original,N1,2026,b11_sample_04,0.45991619545657586,20,0.7109440267335004,0.7222222222222223,0.2857142857142857,0.16666666666666666,0.1946281691392263,0.8338903743315509,0.8280914439557536,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
original,N1,2026,b11_sample_05,0.5568346006330228,25,0.7388167388167388,0.7271241830065359,0.5714285714285715,0.6666666666666666,0.09619206997255485,0.5537240537240538,0.6443270168431027,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
original,N1,2026,b11_sample_06,0.5473015042444275,11,0.7904761904761904,0.8055555555555555,0.5714285714285715,0.6666666666666666,0.05859296307677314,0.13478260869565215,0.12610904691104824,b11_sample_06,6,20,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.2,0.02
