Split_type,Task,Seed,Phase,Score,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
original,N1,2026,random200,-0.7490279398006876,0.75,0.2,2.0,0.0,0.4,0.7,0.03,0.35,B12,0.7083333333333334,0.48213125406107854,0.5625,0.0,0.631578947368421,0.8148148148148148,0.0,1.0,0.6875,0.46153846153846156,0.0,0.0,1.0,0.3125,1,0,0.10195032775550826,2,0.0,1.0,0.6875
original,N1,2026,random200,0.6973524989922678,0.8,0.05,1.0,0.0,0.4,0.75,0.08,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1823648544080655,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7287189572679079,0.85,0.05,1.0,0.01,0.28,0.55,0.1,0.22,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.19396442304003952,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,-0.6818496581048806,0.75,0.05,2.0,0.02,0.32,0.55,0.1,0.28,B12,0.8333333333333334,0.561111111111111,0.625,0.0,0.7499999999999999,0.9333333333333333,0.0,1.0,0.875,0.6,0.0,0.0,1.0,0.125,0,0,0.1026346151998957,2,0.0,1.0,0.875
original,N1,2026,random200,0.7672964330416451,0.85,0.05,1.5,0.0,0.4,0.75,0.0,0.22,B12,0.9166666666666666,0.9301587301587301,0.9583333333333334,1.0,0.8571428571428571,0.9333333333333333,1.0,1.0,0.875,0.75,0.0,0.0,0.0,0.125,0,0,0.14009419015403907,3,1.0,1.0,0.875
original,N1,2026,random200,0.7005844309317918,0.85,0.3,1.5,0.02,0.4,0.65,0.1,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.14196570516401566,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7028738830685501,0.9,0.2,2.0,0.02,0.4,0.6,0.0,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.11334755345453675,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7028612528295456,0.9,0.1,2.0,0.02,0.28,0.7,0.05,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.11350543144209305,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6940771759716768,0.85,0.3,0.8,0.01,0.32,0.65,0.03,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.22330639216545262,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6323842130787748,0.75,0.0,1.2,0.0,0.32,0.6,0.1,0.22,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.15769733651531512,3,0.5,1.0,0.875
original,N1,2026,random200,0.7001148250096182,0.9,0.05,1.5,0.0,0.32,0.7,0.1,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.14783577919118554,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6343373980956857,0.8,0.3,1.5,0.01,0.28,0.75,0.0,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.13328252380392952,3,0.5,1.0,0.875
original,N1,2026,random200,0.6966554229604945,0.85,0.3,1.0,0.02,0.36,0.6,0.03,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1910783048052315,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7006411297782082,0.85,0.0,1.5,0.02,0.4,0.65,0.1,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.14125696958381015,3,1.0,0.8333333333333334,0.875
