case,n,material,DOC,feed,VB_min,VB_max,early,middle,late
1,17,1,1.5,0.5,0.018333333333333333,0.47333333333333333,5,5,7
2,14,1,0.75,0.5,0.11000000000000001,0.5149999999999999,4,5,5
3,14,1,0.75,0.25,0.065,0.4950000000000001,4,6,4
4,7,1,1.5,0.25,0.10500000000000001,0.445,2,1,4
5,6,2,1.5,0.5,0.08,0.635,2,0,4
6,1,2,1.5,0.25,0.0,0.0,1,0,0
7,8,2,0.75,0.25,0.045,0.46,3,1,4
8,6,2,0.75,0.5,0.09,0.53,2,0,4
9,9,1,1.5,0.5,0.05,0.7250000000000001,3,3,3
10,10,1,1.5,0.25,0.02,0.6150000000000001,3,2,5
11,23,1,0.75,0.25,0.02,0.72,7,9,7
12,15,1,0.75,0.5,0.05,0.615,5,5,5
13,15,2,0.75,0.25,0.1,1.415,5,6,4
14,9,2,0.75,0.5,0.09,0.9749999999999999,3,3,3
15,7,2,1.5,0.25,0.15,0.63,2,1,4
16,6,2,1.5,0.5,0.24,0.51,2,2,2
