Task,Split_type,Method,Seed,Validation_cases,Best_validation_score,Validation_Acc,Validation_MacroF1,Validation_BalancedAcc,Validation_MF1,Validation_MRec,Validation_ERec,Validation_LRec,Validation_Smooth,Validation_q_Spearman,Validation_q_Pearson,Test_Acc,Test_MacroF1,Test_BalancedAcc,Test_MF1,Test_MRec,Test_ERec,Test_LRec,Test_Smooth,Predicted_class_count,Best_L,Best_top_k,Best_model_config,Best_fusion_params
N1,original,B9,2026,"3,10,12",0.681802351187946,0.8518518518518519,0.7346092503987242,0.6944444444444445,0.9090909090909091,0.8333333333333334,0.25,1.0,0.0980321723036468,,,0.5925925925925926,0.5607088989441932,0.5743145743145743,0.47058823529411764,0.5714285714285714,0.3333333333333333,0.8181818181818182,0.1510012929017345,3,5,30,small_L5_k30,{}
N1,original,B10,2026,"3,10,12",0.5646160458460315,0.7,0.7013027295285359,0.7315592903828199,0.625,0.8333333333333334,0.7142857142857143,0.6470588235294118,0.23337717437081867,,,0.3333333333333333,0.29333333333333333,0.2878787878787879,0.0,0.0,0.36363636363636365,0.5,0.28842302991284263,3,4,60,wide_L4_k60,{}
N1,original,B11,2026,"3,10,12",0.7052858854338496,0.9166666666666666,0.9236111111111112,0.9236111111111112,0.8333333333333334,0.8333333333333334,1.0,0.9375,0.2181737543571563,0.6147826086956522,0.691824044732579,0.5,0.4087719298245614,0.47142857142857136,0.5263157894736842,0.7142857142857143,0.0,0.7,0.2535589819862729,3,6,30,b11_sample_08,{}
N1,original,B12,2026,"3,10,12",0.7696358014739153,0.9166666666666666,0.9301587301587301,0.9583333333333334,0.8571428571428571,1.0,1.0,0.875,0.11085208475066043,0.6147826086956522,0.691824044732579,0.5,0.39234449760765555,0.4857142857142857,0.5454545454545455,0.8571428571428571,0.0,0.6,0.11865974855796481,2,6,30,b11_sample_08,"{""eta"": 0.85, ""fine_weight"": 0.2, ""temperature"": 2.0, ""mid_floor"": 0.02, ""early_tau"": 0.43, ""late_tau"": 0.67, ""order_blend"": 0.08, ""prior_sigma"": 0.28}"
N2,original,B9,2026,"2,7,12",0.1230597727904189,0.5806451612903226,0.3575581395348837,0.4102564102564103,0.0,0.0,1.0,0.23076923076923078,0.013903840311935969,,,0.7647058823529411,0.520976353928299,0.5277777777777778,0.0,0.0,0.5833333333333334,1.0,0.0364439070224762,2,3,20,tiny_L3_k20,{}
N2,original,B10,2026,"2,7,12",0.25111735860319956,0.5161290322580645,0.35989974937343355,0.4478632478632478,0.2,0.3333333333333333,0.9333333333333333,0.07692307692307693,0.010094802294458662,,,0.35294117647058826,0.3805346700083542,0.5628654970760234,0.21428571428571425,1.0,0.5833333333333334,0.10526315789473684,0.01729762554168701,3,3,20,tiny_L3_k20,{}
N2,original,B11,2026,"2,7,12",0.4738887176167285,0.7741935483870968,0.6911764705882354,0.652991452991453,0.5,0.3333333333333333,0.9333333333333333,0.6923076923076923,0.33482185252276914,0.7064516129032259,0.6636591564349674,0.7647058823529411,0.5523809523809523,0.5380116959064327,0.0,0.0,0.6666666666666666,0.9473684210526315,0.47968763960525396,3,3,30,b11_sample_07,{}
N2,original,B12,2026,"2,7,12",0.4549423279745382,0.7741935483870968,0.6911764705882354,0.652991452991453,0.5,0.3333333333333333,0.9333333333333333,0.6923076923076923,0.2246468478685079,0.7064516129032259,0.6636591564349674,0.7352941176470589,0.6155610155610156,0.6140350877192983,0.18181818181818182,0.3333333333333333,0.6666666666666666,0.8421052631578947,0.29816433104535167,3,3,30,b11_sample_07,"{""eta"": 0.75, ""fine_weight"": 0.2, ""temperature"": 2.0, ""mid_floor"": 0.01, ""early_tau"": 0.3, ""late_tau"": 0.75, ""order_blend"": 0.15, ""prior_sigma"": 0.35}"
N3,original,B9,2026,"4,10,11",0.5170229315638174,0.5161290322580645,0.5172839506172839,0.5827505827505828,0.5185185185185185,1.0,0.38461538461538464,0.36363636363636365,0.1305467113852501,,,0.5161290322580645,0.5144927536231884,0.5666666666666667,0.5,0.6666666666666666,0.7,0.3333333333333333,0.14423449089129767,3,4,60,wide_L4_k60,{}
N3,original,B10,2026,"4,10,11",0.58746525399082,0.5,0.4900895140664961,0.5484848484848485,0.8235294117647058,1.0,0.5454545454545454,0.1,0.2074993297457695,,,0.5185185185185185,0.5222222222222223,0.5555555555555556,0.5333333333333333,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.14143425971269608,3,5,30,small_L5_k30,{}
