Split_type,Task,Seed,Strategy,theta_E,theta_L,theta_v,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall,label_selection_score,train_present,val_present,vb_E,vb_L,vb_E_quantile,vb_L_quantile
original,N1,2026,A_q_global,0.25,0.6,0.75,centroid,0.5641025641025641,0.47503373819163297,0.4656084656084656,0.8461538461538461,0.0,0.5789473684210527,0.7857142857142857,0.0,0.6111111111111112,0.0,0.0,1.0,0.07142857142857142,0.3333333333333333,5,4,0.7222222222222222,3,0.7857142857142857,0.0,0.6111111111111112,0.35918784737634185,3,3,,,,
original,N1,2026,A_q_global,0.25,0.6,0.8,centroid,0.5128205128205128,0.49455128205128207,0.48677248677248675,0.8461538461538461,0.2,0.43750000000000006,0.7857142857142857,0.2857142857142857,0.3888888888888889,0.15384615384615385,0.0,0.7142857142857143,0.07142857142857142,0.5555555555555556,3,1,0.5555555555555556,3,0.7857142857142857,0.2857142857142857,0.3888888888888889,0.42727126701212065,3,3,,,,
original,N1,2026,A_q_global,0.25,0.6,0.85,centroid,0.5897435897435898,0.5680082559339525,0.5591736694677872,0.8,0.3157894736842105,0.5882352941176471,0.7142857142857143,0.375,0.5882352941176471,0.2727272727272727,0.0,0.625,0.14285714285714285,0.35294117647058826,2,0,0.5,3,0.7142857142857143,0.375,0.5882352941176471,0.5068886724730378,3,3,,,,
original,N1,2026,A_q_global,0.25,0.6,0.9,centroid,0.6666666666666666,0.6603968253968254,0.6554232804232805,0.88,0.4761904761904762,0.625,0.7857142857142857,0.5555555555555556,0.625,0.4166666666666667,0.0,0.4444444444444444,0.07142857142857142,0.375,1,1,0.3333333333333333,3,0.7857142857142857,0.5555555555555556,0.625,0.6104856284856286,3,3,,,,
original,N1,2026,A_q_global,0.25,0.65,0.75,centroid,0.5897435897435898,0.5246939246939247,0.5192577030812325,0.8461538461538461,0.13333333333333333,0.5945945945945946,0.7857142857142857,0.125,0.6470588235294118,0.14285714285714285,0.0,0.875,0.07142857142857142,0.29411764705882354,5,4,0.7222222222222222,3,0.7857142857142857,0.125,0.6470588235294118,0.42291565025662153,3,3,,,,
original,N1,2026,A_q_global,0.25,0.65,0.8,centroid,0.48717948717948717,0.47457560360786166,0.4628851540616246,0.8461538461538461,0.1904761904761905,0.3870967741935484,0.7857142857142857,0.25,0.35294117647058826,0.15384615384615385,0.0,0.75,0.07142857142857142,0.5882352941176471,3,1,0.5555555555555556,3,0.7857142857142857,0.25,0.35294117647058826,0.4123181594249998,3,3,,,,
original,N1,2026,A_q_global,0.25,0.65,0.85,centroid,0.5384615384615384,0.44939271255060725,0.48253968253968255,0.7692307692307692,0.0,0.5789473684210527,0.7142857142857143,0.0,0.7333333333333333,0.0,0.1,0.9,0.07142857142857142,0.2,2,4,0.3888888888888889,3,0.7142857142857143,0.0,0.7333333333333333,0.36671293618662043,3,3,,,,
original,N1,2026,A_q_global,0.25,0.65,0.9,centroid,0.6410256410256411,0.638396871945259,0.6277056277056277,0.88,0.45454545454545453,0.5806451612903226,0.7857142857142857,0.45454545454545453,0.6428571428571429,0.45454545454545453,0.0,0.5454545454545454,0.07142857142857142,0.35714285714285715,1,1,0.3333333333333333,3,0.7857142857142857,0.45454545454545453,0.6428571428571429,0.5950708001675744,3,3,,,,
original,N1,2026,A_q_global,0.25,0.7,0.75,centroid,0.5897435897435898,0.5820512820512821,0.5854341736694678,0.8461538461538461,0.4,0.5,0.7857142857142857,0.5,0.47058823529411764,0.3333333333333333,0.0,0.5,0.0,0.47058823529411764,4,5,0.5555555555555556,3,0.7857142857142857,0.5,0.47058823529411764,0.5283096315449257,3,3,,,,
original,N1,2026,A_q_global,0.25,0.7,0.8,centroid,0.6153846153846154,0.612824451534129,0.6271008403361344,0.8461538461538461,0.4761904761904762,0.5161290322580646,0.7857142857142857,0.625,0.47058823529411764,0.38461538461538464,0.0,0.375,0.0,0.47058823529411764,5,4,0.7222222222222222,3,0.7857142857142857,0.625,0.47058823529411764,0.5738837482883974,3,3,,,,
