split,method,true_stage,pred_stage,count,row_norm
final_internal_val,raw,early,early,24,0.9999999999999584
final_internal_val,raw,early,middle,0,0.0
final_internal_val,raw,early,late,0,0.0
final_internal_val,raw,middle,early,0,0.0
final_internal_val,raw,middle,middle,30,0.9999999999999667
final_internal_val,raw,middle,late,0,0.0
final_internal_val,raw,late,early,0,0.0
final_internal_val,raw,late,middle,0,0.0
final_internal_val,raw,late,late,18,0.9999999999999445
final_internal_val,mix,early,early,24,0.9999999999999584
final_internal_val,mix,early,middle,0,0.0
final_internal_val,mix,early,late,0,0.0
final_internal_val,mix,middle,early,0,0.0
final_internal_val,mix,middle,middle,30,0.9999999999999667
final_internal_val,mix,middle,late,0,0.0
final_internal_val,mix,late,early,0,0.0
final_internal_val,mix,late,middle,0,0.0
final_internal_val,mix,late,late,18,0.9999999999999445
final_internal_val,ordered,early,early,24,0.9999999999999584
final_internal_val,ordered,early,middle,0,0.0
final_internal_val,ordered,early,late,0,0.0
final_internal_val,ordered,middle,early,1,0.03333333333333222
final_internal_val,ordered,middle,middle,29,0.9666666666666345
final_internal_val,ordered,middle,late,0,0.0
final_internal_val,ordered,late,early,0,0.0
final_internal_val,ordered,late,middle,2,0.11111111111110494
final_internal_val,ordered,late,late,16,0.8888888888888395
final_internal_val,final,early,early,24,0.9999999999999584
final_internal_val,final,early,middle,0,0.0
final_internal_val,final,early,late,0,0.0
final_internal_val,final,middle,early,0,0.0
final_internal_val,final,middle,middle,30,0.9999999999999667
final_internal_val,final,middle,late,0,0.0
final_internal_val,final,late,early,0,0.0
final_internal_val,final,late,middle,0,0.0
final_internal_val,final,late,late,18,0.9999999999999445
test_C6,raw,early,early,86,0.9999999999999885
test_C6,raw,early,middle,0,0.0
test_C6,raw,early,late,0,0.0
test_C6,raw,middle,early,5,0.03875968992248032
test_C6,raw,middle,middle,56,0.4341085271317796
test_C6,raw,middle,late,68,0.5271317829457324
test_C6,raw,late,early,0,0.0
test_C6,raw,late,middle,0,0.0
test_C6,raw,late,late,91,0.9999999999999891
test_C6,mix,early,early,86,0.9999999999999885
test_C6,mix,early,middle,0,0.0
test_C6,mix,early,late,0,0.0
test_C6,mix,middle,early,3,0.02325581395348819
test_C6,mix,middle,middle,77,0.596899224806197
test_C6,mix,middle,late,49,0.37984496124030714
test_C6,mix,late,early,0,0.0
test_C6,mix,late,middle,0,0.0
test_C6,mix,late,late,91,0.9999999999999891
test_C6,ordered,early,early,86,0.9999999999999885
test_C6,ordered,early,middle,0,0.0
test_C6,ordered,early,late,0,0.0
test_C6,ordered,middle,early,6,0.04651162790697638
test_C6,ordered,middle,middle,82,0.6356589147286773
test_C6,ordered,middle,late,41,0.31782945736433865
test_C6,ordered,late,early,0,0.0
test_C6,ordered,late,middle,0,0.0
test_C6,ordered,late,late,91,0.9999999999999891
test_C6,final,early,early,86,0.9999999999999885
test_C6,final,early,middle,0,0.0
test_C6,final,early,late,0,0.0
test_C6,final,middle,early,3,0.02325581395348819
test_C6,final,middle,middle,77,0.596899224806197
test_C6,final,middle,late,49,0.37984496124030714
test_C6,final,late,early,0,0.0
test_C6,final,late,middle,0,0.0
test_C6,final,late,late,91,0.9999999999999891
