condition,feature,baseline_n,baseline_median,baseline_iqr_or_std
C1,ch1_mean,30,3.70361606006981,1.8754321332098738
C1,ch1_std,30,3.2486920327627127,0.3778037103014569
C1,ch1_var,30,10.554200245938627,2.395651479674859
C1,ch1_min,30,-5.2005,2.7102500000000003
C1,ch1_max,30,13.3595,3.7482500000000005
C1,ch1_ptp,30,18.773,2.4767499999999956
C1,ch1_median,30,3.5845000000000002,2.0675
C1,ch1_q25,30,1.2155,1.5054999999999998
C1,ch1_q75,30,6.144500000000001,2.2639999999999993
C1,ch1_iqr,30,4.1358749999999995,1.069374999999999
C1,ch1_rms,30,4.952759259012165,1.5947600465572895
C1,ch1_mean_abs,30,4.05545421288316,1.5522310827519217
C1,ch1_skew,30,0.36152719412137846,0.5530934163735175
C1,ch1_kurtosis,30,-0.14917731509469884,0.6311984610652861
C1,ch1_crest_factor,30,2.6712256551390796,0.4750210095800318
C1,ch1_shape_factor,30,1.2212894968643766,0.06160704041195508
C1,ch1_impulse_factor,30,3.250461473069636,0.7618372521623518
C1,ch1_margin_factor,30,3.798073150838603,0.9954539886334088
C1,ch1_dom_freq_norm,30,0.00341796875,1.0
C1,ch1_dom_power,30,7445.64387397557,2778.9257976625167
C1,ch1_spec_centroid,30,0.0115934152328001,0.0015311181661515991
C1,ch1_rms_freq,30,0.018316171526517253,0.001320251519484051
C1,ch1_spec_entropy,30,2.572270633330352,0.13341112127681942
C1,ch1_band_power_q1,30,21582.921510918248,4785.147360061579
C1,ch1_band_power_q2,30,3.4251956213439905,1.4363200324827647
C1,ch1_band_power_q3,30,0.7701710973581348,0.42598243051437035
C1,ch1_band_power_q4,30,0.10646007821771655,0.022919443252518046
C1,ch1_band_ratio_q4_q1,30,5.068768320402664e-06,2.3258190526118177e-07
C1,ch1_total_power,30,21588.011057427837,4787.110117067248
C1,ch1_wp_energy_1,30,5318222.625367766,3447569.6551051224
C1,ch1_wp_energy_2,30,45478.299108534746,10069.242648991014
C1,ch1_wp_energy_3,30,1523.2752551337367,470.733732864167
C1,ch1_wp_energy_4,30,515.0209970751378,145.88738752946585
C1,ch1_wp_energy_5,30,84.08166223337457,42.48498673326323
C1,ch1_wp_energy_6,30,29.53277116483521,11.290545120092563
C1,ch1_wp_energy_7,30,18.36617833232189,6.540327885737618
C1,ch1_wp_energy_8,30,7.834205873405196,0.575016404224785
C1,ch1_wp_energy_ratio_1,30,0.9899389059915957,0.005814193458860029
C1,ch1_wp_energy_ratio_2,30,0.0096093756890601,0.0055804063720498
C1,ch1_wp_energy_ratio_3,30,0.0003358747994573,0.00019916754798317496
C1,ch1_wp_energy_ratio_4,30,0.0001109852114342,6.969972381168047e-05
C1,ch1_wp_energy_ratio_5,30,1.8466128920087065e-05,1.3973247330361519e-05
C1,ch1_wp_energy_ratio_6,30,6.848019411286509e-06,3.903576516991647e-06
C1,ch1_wp_energy_ratio_7,30,4.241909947152835e-06,1.8872429399883734e-06
C1,ch1_wp_energy_ratio_8,30,1.5123545837214584e-06,9.015391781973424e-07
C1,ch1_wp_entropy,30,0.05849304122152239,0.02802889994430889
C1,ch1_wp_energy_max_ratio,30,0.9899389059915957,0.005814193458860029
C1,ch2_mean,30,2.667786817015251,0.26881151985816487
C1,ch2_std,30,6.3577778750681855,0.7168103285282825
C1,ch2_var,30,40.421385913746334,8.968526826599579
C1,ch2_min,30,-17.802500000000002,2.647250000000003
C1,ch2_max,30,28.6435,4.587
C1,ch2_ptp,30,47.1875,6.245750000000001
C1,ch2_median,30,2.1719999999999997,0.2254999999999998
C1,ch2_q25,30,-1.1440000000000001,0.40775000000000006
C1,ch2_q75,30,6.01,0.661249999999999
C1,ch2_iqr,30,7.2535,0.6425000000000001
C1,ch2_rms,30,6.874570584178381,0.808965633614295
C1,ch2_mean_abs,30,5.187033387425903,0.5965943492508732
C1,ch2_skew,30,0.46260455442787995,0.06439176900419707
C1,ch2_kurtosis,30,0.667025802400177,0.17384260720317857
C1,ch2_crest_factor,30,4.197039466875874,0.21828674352555577
C1,ch2_shape_factor,30,1.325985348393149,0.014680972867912034
C1,ch2_impulse_factor,30,5.572315654157954,0.2818911875121035
C1,ch2_margin_factor,30,6.79944745013468,0.3397935343942571
C1,ch2_dom_freq_norm,30,0.02099609375,0.004329549457856961
C1,ch2_dom_power,30,27092.5034333032,7255.1394043311775
C1,ch2_spec_centroid,30,0.018781714341823498,0.0008332799913740724
C1,ch2_rms_freq,30,0.02254625721103205,0.0011331793140349003
