top_rank,arch_name,window_length,dropout,learning_rate,channels,eta,temperature,mid_floor,late_tau,order_blend,proxy_mean_score,proxy_worst_score,C1_to_C4_score,C1_to_C4_acc,C1_to_C4_f1,C1_to_C4_middle_recall,C1_to_C4_ratio_penalty,C1_to_C4_q_RMSE,C1_to_C4_q_R2,C4_to_C1_score,C4_to_C1_acc,C4_to_C1_f1,C4_to_C1_middle_recall,C4_to_C1_ratio_penalty,C4_to_C1_q_RMSE,C4_to_C1_q_R2
1,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.03,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
2,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.06,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
3,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.1,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
4,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.03,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
5,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.06,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
6,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.1,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
7,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
8,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
9,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
10,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.03,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
11,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.06,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
12,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.1,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
13,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
14,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
15,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
16,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.56,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
17,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.6,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
18,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.64,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
19,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.56,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
20,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.6,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
21,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.64,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
