split,method,stage,ratio
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,raw,early,0.3333333333333333
final_internal_val,TRUE,middle,0.4166666666666667
final_internal_val,raw,middle,0.4166666666666667
final_internal_val,TRUE,late,0.25
final_internal_val,raw,late,0.25
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,mix,early,0.3333333333333333
final_internal_val,TRUE,middle,0.4166666666666667
final_internal_val,mix,middle,0.4166666666666667
final_internal_val,TRUE,late,0.25
final_internal_val,mix,late,0.25
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,ordered,early,0.3472222222222222
final_internal_val,TRUE,middle,0.4166666666666667
final_internal_val,ordered,middle,0.4305555555555556
final_internal_val,TRUE,late,0.25
final_internal_val,ordered,late,0.2222222222222222
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,final,early,0.3333333333333333
final_internal_val,TRUE,middle,0.4166666666666667
final_internal_val,final,middle,0.4166666666666667
final_internal_val,TRUE,late,0.25
final_internal_val,final,late,0.25
test_C6,TRUE,early,0.28104575163398693
test_C6,raw,early,0.2973856209150327
test_C6,TRUE,middle,0.4215686274509804
test_C6,raw,middle,0.1830065359477124
test_C6,TRUE,late,0.2973856209150327
test_C6,raw,late,0.5196078431372549
test_C6,TRUE,early,0.28104575163398693
test_C6,mix,early,0.2908496732026144
test_C6,TRUE,middle,0.4215686274509804
test_C6,mix,middle,0.25163398692810457
test_C6,TRUE,late,0.2973856209150327
test_C6,mix,late,0.45751633986928103
test_C6,TRUE,early,0.28104575163398693
test_C6,ordered,early,0.3006535947712418
test_C6,TRUE,middle,0.4215686274509804
test_C6,ordered,middle,0.2679738562091503
test_C6,TRUE,late,0.2973856209150327
test_C6,ordered,late,0.43137254901960786
test_C6,TRUE,early,0.28104575163398693
test_C6,final,early,0.2908496732026144
test_C6,TRUE,middle,0.4215686274509804
test_C6,final,middle,0.25163398692810457
test_C6,TRUE,late,0.2973856209150327
test_C6,final,late,0.45751633986928103
