feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
ch1_rms__rel,1.0420629159701502,2.4323378620868166,0.8696247934982632,0.12346443841854327,0.8465986176407109
ch3_wp_energy_3__rel,0.9492973945668568,2.270425694409691,0.9280252732128285,0.20307045215850825,0.789922495645959
ch3_wp_energy_2__rel,0.9465678296953253,2.217296558407679,0.9331508557835193,0.2169927362036701,0.7810759521706889
ch3_band_power_q2__rel,0.9552845520010407,2.102289106454268,0.9177898520670564,0.1552867257557864,0.7727559274840814
ch1_wp_energy_1__rel,1.031952149198042,2.11796760905368,0.8772919513602158,0.4556416254042531,0.7681923876571574
ch1_q75__rel,0.9063533357694042,2.419177350030881,0.8095640713855807,0.3826036507588039,0.7578055217868735
ch1_band_power_q2__rel,0.9352616386025747,2.054809554944199,0.9073314709834586,0.15694521416458682,0.7569230574952548
ch1_wp_energy_6__rel,0.9162797658305102,2.3313019140614397,0.9473703718182952,0.5299901291784427,0.7556800311733112
ch1_max__rel,0.9504404783801153,2.2644584463488484,0.9143558589651306,0.5600814425981929,0.7518038502616395
ch1_wp_energy_3__rel,0.960268842332467,2.174394991099235,0.8963575460436242,0.5271385502541798,0.7440074569546873
ch3_wp_energy_4__rel,0.9705119642460394,2.0291253256969277,0.8936973147854507,0.3728545410027416,0.7433491750555631
ch1_wp_energy_7__rel,0.8815454020903153,2.251296935543108,0.9543513458715954,0.4258703954149242,0.7430010902211028
ch2_wp_energy_3__rel,0.9413278367607343,1.9712113146472405,0.8766289275451051,0.2591498021283778,0.7331353240534013
ch1_mean_abs__rel,0.8637648626841383,2.4368559633099154,0.7899078317279671,0.4797881126553746,0.7311784839663483
ch3_ptp__rel,0.8813496576329025,2.101233404687592,0.932718027094761,0.337649690277559,0.7282360750096704
ch3_wp_energy_8__rel,0.886308981811208,1.9645365404158248,0.8834927816310651,0.12451573747929547,0.7256076350708427
ch1_wp_energy_8__rel,0.9459420731646064,2.019815438362006,0.8883659562721421,0.43665677312693896,0.7254806432250022
ch3_band_power_q4__rel,0.8479103891660129,1.9815681462030588,0.9506274349100373,0.11087794827458712,0.7246023764766295
ch3_band_power_q3__rel,0.9464474579057287,2.0016921930614937,0.9106447420595268,0.4786231929104179,0.7223721636181752
ch5_band_power_q1__rel,0.8339216879591169,2.214558752476874,0.8339706674406977,0.2358903586036396,0.720699735016509
ch3_wp_energy_5__rel,0.9468488885160633,1.9965426118263334,0.8972748977878134,0.48908967003792037,0.7187786491756194
ch2_dom_power__rel,0.8474983365842073,2.2711002569664327,0.9343301434546657,0.5411101436634668,0.7180793868283283
ch1_wp_energy_5__rel,0.8802381286983916,1.9142557541710046,0.9156785726558034,0.17272166325244642,0.7164938780566749
ch3_wp_energy_6__rel,0.8619056710944442,2.0927787296772493,0.9631887674072106,0.48921952183490147,0.7090441983178588
ch3_min__rel,0.935874537671445,1.8822155586608447,0.8665086071595929,0.35074334689291353,0.7083452576838594
ch5_wp_energy_1__rel,0.8291915772905689,2.1306380651041974,0.7427951008657239,0.12794515549542937,0.7046682727265072
ch2_band_power_q2__rel,0.9001689069977978,1.9784980837002277,0.843708328725274,0.35860078909732657,0.7034372368845879
ch2_wp_energy_4__rel,0.9180175250546811,1.968791614017884,0.8389999620382391,0.47743114251207286,0.6963882946034283
ch1_iqr__rel,0.7850476829156061,2.591521378145839,0.961263439010155,0.9926994138633907,0.6962632537702401
ch2_iqr__rel,0.8924898612834544,2.382955567101168,0.9184310510604474,1.0862443937314807,0.693557982582617
ch1_band_power_q4__rel,0.7959695554804727,1.854535964398722,0.9391584381082576,0.04564087524222303,0.6923116051252738
ch3_var__rel,0.7986828406064683,2.3418688995834436,0.9493659712618064,0.7705934041933766,0.6882061282584865
ch1_ptp__rel,0.8338280839401124,2.3974543036313185,0.9508043970833117,0.9877309351584467,0.6877059120076443
ch3_total_power__rel,0.7932746742090884,2.3416925316731283,0.9494906512270384,0.7727282718479067,0.6859115777700735
ch3_band_power_q1__rel,0.7932746742090884,2.341481530152602,0.9494742832316028,0.7726390581148561,0.6858895469643327
ch3_wp_energy_7__rel,0.7936724117428142,2.103542272694685,0.9719596609613778,0.5009754102519474,0.6844463141309363
ch2_wp_energy_6__rel,0.8844867831170071,1.950459424271401,0.8875090365111009,0.5326242877056158,0.6827985638341717
ch4_wp_energy_3__rel,0.8445011780036702,1.829736644754913,0.9273949373886027,0.27664972701009627,0.6827259593872819
ch1_min__rel,0.9398677207739696,2.2183400882628423,0.7048349128205814,0.8415734028067765,0.6819395653375465
ch6_dom_power__rel,0.8301167591289929,1.9806374263039705,0.8778467352055098,0.3927338072411238,0.6785438307536851
ch2_wp_energy_5__rel,0.9349831167717297,1.9489387421656068,0.8600726521619533,0.7285653592813204,0.6782668408416835
ch6_wp_energy_3__rel,0.8079588392877302,1.8571662917287033,0.9382032623746159,0.29551429893736425,0.6721383616978482
ch2_std__rel,0.8132714417751365,2.3672164090811645,0.9498038751396936,1.024344885172324,0.6719198866378662
ch3_dom_power__rel,0.7703487666857056,2.3227709543178836,0.9508080828596622,0.8237244135568819,0.6696539086271345
ch3_std__rel,0.7545079524662268,2.410377877210936,0.9559075534376348,0.8908943045029395,0.6694531037951962
ch2_var__rel,0.7908735458250673,2.3607313976130797,0.9532656821743413,1.0316803601886542,0.6622322502085707
ch5_wp_energy_2__rel,0.8225369719782918,1.6724674624792684,0.8800206545992952,0.13633949447135518,0.6599796766181637
ch2_band_power_q1__rel,0.785630289127623,2.342306610193535,0.953245666179923,1.0217387426731341,0.65872239014299
ch2_wp_energy_8__rel,0.8286997906185194,2.0150332788245486,0.9318913601347397,0.7138408343143796,0.6586412722528608
ch4_total_power__rel,0.7854239317888343,1.8172521668358166,0.9166283963909376,0.2636790177667634,0.6580449117579602
ch4_var__rel,0.7835503589284643,1.8138261963817555,0.9148831408776159,0.26014321046652333,0.656954828567809
ch2_total_power__rel,0.7808606609102824,2.336369952317965,0.9536139460772252,1.0272136565722458,0.6555975198579493
ch1_q25__rel,0.81600130469288,2.3929577158398536,0.6249543612091226,0.7568585456013739,0.6544654751046548
ch2_wp_energy_7__rel,0.7932822901867702,2.223170970261159,0.9615517278637121,0.9470751890893292,0.6542819463482913
ch4_std__rel,0.7870948172865262,1.8014998483218436,0.9155724686853914,0.2941331662051726,0.6533550417887225
ch1_wp_energy_4__rel,0.8704208767636368,2.088454946427914,0.8219743187859742,0.8746216946481717,0.6520064573311902
ch1_wp_energy_2__rel,0.8655946906531513,2.2286396804467454,0.8270093493819162,1.0574116924553953,0.6515629231649579
ch4_rms__rel,0.7847718544268558,1.803016507980312,0.9115704458013869,0.3055181749476184,0.650929392625319
ch1_mean__rel,0.7591711112322559,2.3135430838530304,0.6694837373091762,0.5402891336862738,0.6502619197710832
ch4_iqr__rel,0.8318847691631137,1.7250969518197103,0.9188779599762933,0.3994674376581666,0.6501915852100242
ch3_iqr__rel,0.7317834053537777,2.4180150279061405,0.9563975373009987,1.0145349706454296,0.6494710683752724
ch1_band_power_q3__rel,0.7939356309678167,1.7796378103188033,0.8772389833749863,0.2794146622006115,0.6487501478740135
ch6_wp_energy_1__rel,0.7712439639469051,2.0610339136849136,0.8744324961575973,0.5694340983270493,0.6486211210532901
ch5_rms__rel,0.7795183273288062,1.8645375922680425,0.889412571980285,0.3605884064111448,0.6483908805314936
ch5_var__rel,0.7717538602143492,1.8934254265465889,0.8952453143537787,0.388041943147032,0.6474414862397967
ch1_std__rel,0.7854189275188097,2.4903278697632807,0.9606786561071751,1.3464497928589787,0.6472762316495597
ch3_max__rel,0.7665479597210312,2.1364087056614247,0.9511304975926601,0.785623502949854,0.6468841039192158
ch5_total_power__rel,0.7718726219861836,1.9025969672532224,0.9013342086558426,0.4237701710193664,0.6460662545692678
ch6_band_power_q1__rel,0.7759451848774228,2.2070153771381054,0.9219008589206698,0.8964871487670394,0.644556296528521
ch5_std__rel,0.7651787260686858,1.8438570710311573,0.8939282907210412,0.33585771562374295,0.6432439699780869
ch5_band_power_q2__rel,0.7207913418596872,2.1061925486023627,0.958234712788688,0.6701558509612339,0.6378517740725118
ch1_dom_power__rel,0.7767466649954176,2.2996545340519394,0.9591282805395095,1.1668617897885027,0.6359220527047482
ch3_mean_abs__rel,0.7113515366107677,2.4207888808602895,0.9614357358960575,1.0958968398255826,0.6346223820030525
ch1_var__rel,0.7850097939804099,2.263892210466178,0.9631075994298449,1.17427446511675,0.634119608652685
ch1_band_power_q1__rel,0.7852756094166848,2.2623184267345335,0.9636076152904117,1.18817227195437,0.6326943160365628
ch1_total_power__rel,0.7851962443373197,2.262284127411802,0.9636206712867709,1.188074722947312,0.632670932412396
ch4_q25__rel,0.8318682791694041,1.6132954444755394,0.890379050288729,0.39353306454769804,0.6314044139981518
ch4_mean_abs__rel,0.7659139887186668,1.7844848269933524,0.9179407160249871,0.4596767470756293,0.6267275980466447
ch5_mean_abs__rel,0.7684012999415815,1.840552217082629,0.8979320896045503,0.5188446712129804,0.6263365023628373
ch4_band_power_q1__rel,0.8033181374467098,2.0225778268584707,0.7414499492408302,0.6695082452595664,0.6257844058703053
ch4_band_power_q2__rel,0.7389767749917706,1.9948472791837424,0.9678292861131654,0.7419344395750695,0.624055827394844
ch3_q25__rel,0.8455152149066552,2.4197598508836395,0.6450961669042768,1.2727582613530897,0.6208455902126852
ch2_wp_energy_ratio_4__rel,0.7916632012182221,1.6375118443762222,0.8917298913340822,0.3797663503566569,0.6208213976254303
ch3_wp_energy_1__rel,0.7142048781919113,2.278398669263466,0.961554151863036,1.0672325980196258,0.6193712107800602
ch6_var__rel,0.7073874363784767,2.0573960808912086,0.9567747211958182,0.7410168802902211,0.6188112837878803
ch6_total_power__rel,0.7026080997717172,2.0558029622812066,0.957393657023223,0.742391712291265,0.6167169136603937
ch5_iqr__rel,0.748632375792798,1.8602128324749634,0.9134215018691552,0.595640135359024,0.6160472677234186
ch4_wp_energy_5__rel,0.7652007729977446,1.4983732477840848,0.9035466000388996,0.17364483511885614,0.6142568721512492
ch3_rms__rel,0.6792367509283526,2.4391306398094224,0.9629893994628062,1.2091138556878385,0.6136835025583284
ch4_ptp__rel,0.8120617885809438,1.240821085006401,0.9059476260491033,0.05490733278844495,0.6096946496403961
