feature,selected,reason,feature_score,max_abs_spearman_with_selected
ch1_rms__rel,True,first_feature,0.8465986176407109,
ch3_wp_energy_3__rel,False,redundant,0.789922495645959,0.9666983519904334
ch3_wp_energy_2__rel,False,redundant,0.7810759521706889,0.9655636504276465
ch3_band_power_q2__rel,False,redundant,0.7727559274840814,0.9688348197696649
ch1_wp_energy_1__rel,False,redundant,0.7681923876571574,0.9996961683474033
ch1_q75__rel,False,redundant,0.7578055217868735,0.9887598721445077
ch1_band_power_q2__rel,False,redundant,0.7569230574952548,0.9620246907489527
ch1_wp_energy_6__rel,False,redundant,0.7556800311733112,0.9581263737152366
ch1_max__rel,False,redundant,0.7518038502616395,0.9794819806973557
ch1_wp_energy_3__rel,False,redundant,0.7440074569546873,0.9649827181650202
ch3_wp_energy_4__rel,False,redundant,0.7433491750555631,0.9706139458200641
ch1_wp_energy_7__rel,False,redundant,0.7430010902211028,0.9467197531414615
ch2_wp_energy_3__rel,False,redundant,0.7331353240534013,0.9690020207612379
ch1_mean_abs__rel,False,redundant,0.7311784839663483,0.9843747218015938
ch3_ptp__rel,False,redundant,0.7282360750096704,0.9615956138629829
ch3_wp_energy_8__rel,False,redundant,0.7256076350708427,0.9492901564447466
ch1_wp_energy_8__rel,False,redundant,0.7254806432250022,0.972335722506247
ch3_band_power_q4__rel,False,redundant,0.7246023764766295,0.942414567563958
ch3_band_power_q3__rel,False,redundant,0.7223721636181752,0.9746003265218447
ch5_band_power_q1__rel,False,redundant,0.720699735016509,0.9389827720110341
ch3_wp_energy_5__rel,False,redundant,0.7187786491756194,0.9705208430865246
ch2_dom_power__rel,False,redundant,0.7180793868283283,0.9558683444803062
ch1_wp_energy_5__rel,False,redundant,0.7164938780566749,0.9632915598004858
ch3_wp_energy_6__rel,False,redundant,0.7090441983178588,0.9489397734253797
ch3_min__rel,False,redundant,0.7083452576838594,0.9698492549129633
ch5_wp_energy_1__rel,True,kept,0.7046682727265072,0.9167404329862603
ch2_band_power_q2__rel,False,redundant,0.7034372368845879,0.9656046348268437
ch2_wp_energy_4__rel,False,redundant,0.6963882946034283,0.9683474701515757
ch1_iqr__rel,True,kept,0.6962632537702401,0.9195942937909141
ch2_iqr__rel,False,redundant,0.693557982582617,0.9795990407873687
ch1_band_power_q4__rel,False,redundant,0.6923116051252738,0.9269132966135828
ch3_var__rel,False,redundant,0.6882061282584865,0.9893785135634734
ch1_ptp__rel,False,redundant,0.6877059120076443,0.995628766409223
ch3_total_power__rel,False,redundant,0.6859115777700735,0.989445173202643
ch3_band_power_q1__rel,False,redundant,0.6858895469643327,0.9894411419501662
ch3_wp_energy_7__rel,False,redundant,0.6844463141309363,0.9799267382250778
ch2_wp_energy_6__rel,False,redundant,0.6827985638341717,0.9680738728918291
ch4_wp_energy_3__rel,False,redundant,0.6827259593872819,0.928451891308891
ch1_min__rel,True,kept,0.6819395653375465,0.7496577904524949
ch6_dom_power__rel,False,redundant,0.6785438307536851,0.95819034585122
ch2_wp_energy_5__rel,False,redundant,0.6782668408416835,0.9714739463278099
ch6_wp_energy_3__rel,False,redundant,0.6721383616978482,0.9379285260375603
ch2_std__rel,False,redundant,0.6719198866378662,0.9926594971641224
ch3_dom_power__rel,False,redundant,0.6696539086271345,0.9901284944930097
ch3_std__rel,False,redundant,0.6694531037951962,0.9921340426002129
ch2_var__rel,False,redundant,0.6622322502085707,0.9920000034553597
ch5_wp_energy_2__rel,False,redundant,0.6599796766181637,0.9287908541633505
ch2_band_power_q1__rel,False,redundant,0.65872239014299,0.992013464959166
ch2_wp_energy_8__rel,False,redundant,0.6586412722528608,0.9647730921959684
ch4_total_power__rel,False,redundant,0.6580449117579602,0.9351167274349986
ch4_var__rel,False,redundant,0.656954828567809,0.934032536478696
ch2_total_power__rel,False,redundant,0.6555975198579493,0.9921867608245671
