split,method,true_stage,pred_stage,count,row_norm
final_internal_val,raw,early,early,42,0.9999999999999761
final_internal_val,raw,early,middle,0,0.0
final_internal_val,raw,early,late,0,0.0
final_internal_val,raw,middle,early,0,0.0
final_internal_val,raw,middle,middle,50,0.99999999999998
final_internal_val,raw,middle,late,0,0.0
final_internal_val,raw,late,early,0,0.0
final_internal_val,raw,late,middle,0,0.0
final_internal_val,raw,late,late,34,0.9999999999999706
final_internal_val,prior,early,early,0,0.0
final_internal_val,prior,early,middle,42,0.9999999999999761
final_internal_val,prior,early,late,0,0.0
final_internal_val,prior,middle,early,0,0.0
final_internal_val,prior,middle,middle,50,0.99999999999998
final_internal_val,prior,middle,late,0,0.0
final_internal_val,prior,late,early,0,0.0
final_internal_val,prior,late,middle,34,0.9999999999999706
final_internal_val,prior,late,late,0,0.0
final_internal_val,mix,early,early,42,0.9999999999999761
final_internal_val,mix,early,middle,0,0.0
final_internal_val,mix,early,late,0,0.0
final_internal_val,mix,middle,early,0,0.0
final_internal_val,mix,middle,middle,50,0.99999999999998
final_internal_val,mix,middle,late,0,0.0
final_internal_val,mix,late,early,0,0.0
final_internal_val,mix,late,middle,0,0.0
final_internal_val,mix,late,late,34,0.9999999999999706
final_internal_val,ordered,early,early,42,0.9999999999999761
final_internal_val,ordered,early,middle,0,0.0
final_internal_val,ordered,early,late,0,0.0
final_internal_val,ordered,middle,early,0,0.0
final_internal_val,ordered,middle,middle,50,0.99999999999998
final_internal_val,ordered,middle,late,0,0.0
final_internal_val,ordered,late,early,0,0.0
final_internal_val,ordered,late,middle,6,0.1764705882352889
final_internal_val,ordered,late,late,28,0.8235294117646816
final_internal_val,final,early,early,42,0.9999999999999761
final_internal_val,final,early,middle,0,0.0
final_internal_val,final,early,late,0,0.0
final_internal_val,final,middle,early,0,0.0
final_internal_val,final,middle,middle,50,0.99999999999998
final_internal_val,final,middle,late,0,0.0
final_internal_val,final,late,early,0,0.0
final_internal_val,final,late,middle,0,0.0
final_internal_val,final,late,late,34,0.9999999999999706
test_C6,raw,early,early,81,0.9999999999999877
test_C6,raw,early,middle,0,0.0
test_C6,raw,early,late,0,0.0
test_C6,raw,middle,early,28,0.20895522388059545
test_C6,raw,middle,middle,105,0.783582089552233
test_C6,raw,middle,late,1,0.0074626865671641235
test_C6,raw,late,early,0,0.0
test_C6,raw,late,middle,0,0.0
test_C6,raw,late,late,86,0.9999999999999885
test_C6,prior,early,early,0,0.0
test_C6,prior,early,middle,81,0.9999999999999877
test_C6,prior,early,late,0,0.0
test_C6,prior,middle,early,0,0.0
test_C6,prior,middle,middle,134,0.9999999999999926
test_C6,prior,middle,late,0,0.0
test_C6,prior,late,early,0,0.0
test_C6,prior,late,middle,86,0.9999999999999885
test_C6,prior,late,late,0,0.0
test_C6,mix,early,early,81,0.9999999999999877
test_C6,mix,early,middle,0,0.0
test_C6,mix,early,late,0,0.0
test_C6,mix,middle,early,23,0.17164179104477484
test_C6,mix,middle,middle,111,0.8283582089552177
test_C6,mix,middle,late,0,0.0
test_C6,mix,late,early,0,0.0
test_C6,mix,late,middle,2,0.023255813953488105
test_C6,mix,late,late,84,0.9767441860465004
test_C6,ordered,early,early,81,0.9999999999999877
test_C6,ordered,early,middle,0,0.0
test_C6,ordered,early,late,0,0.0
test_C6,ordered,middle,early,18,0.13432835820895422
test_C6,ordered,middle,middle,116,0.8656716417910384
test_C6,ordered,middle,late,0,0.0
test_C6,ordered,late,early,0,0.0
test_C6,ordered,late,middle,6,0.06976744186046431
test_C6,ordered,late,late,80,0.9302325581395241
test_C6,final,early,early,81,0.9999999999999877
test_C6,final,early,middle,0,0.0
test_C6,final,early,late,0,0.0
test_C6,final,middle,early,23,0.17164179104477484
test_C6,final,middle,middle,111,0.8283582089552177
test_C6,final,middle,late,0,0.0
test_C6,final,late,early,0,0.0
test_C6,final,late,middle,2,0.023255813953488105
test_C6,final,late,late,84,0.9767441860465004
