selected_rank,feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score,max_abs_corr_with_selected
1,ch3_wp_energy_ratio_8__rel,0.796858931694284,2.0646431927094024,0.7054615424120106,0.20214262265973834,2.025556412228254,
2,ch1_q25__rel,0.7040810840354992,2.277147968408201,0.3961866450827416,0.33238904530527824,1.8982231326922396,0.503988095935512
3,ch2_iqr__rel,0.6351857184745446,1.5663996910330082,0.6288707399108474,0.020484358092612384,1.6333692334366923,0.6131941088940703
4,ch3_skew__rel,0.5647297233958788,1.774849593091003,0.8780609591673397,0.5947504929671208,1.610788232408169,0.6383794537721591
5,ch2_kurtosis__rel,0.502321969332715,1.7575237609607592,0.648586180186905,0.07337723278767538,1.5897447046815925,0.8002751994750963
6,ch1_spec_centroid__online_rank,0.636633279619536,1.6544866353261454,0.3321438820947933,0.029963670683769546,1.572636038344844,0.51662313109425
7,ch1_band_ratio_q4_q1__rel,0.6723730703207618,1.9847305831000903,0.0033205573794413347,0.4173521438968895,1.561562520979389,0.5591500310489872
8,ch1_rms__rel,0.5595274561391297,1.7199195083244745,0.39774144823664975,0.1207809922240578,1.52850146912818,0.8531153733494243
9,ch1_var__slope,0.7027077024595851,1.2729403099788401,0.5461882968377676,0.018044106158616617,1.5258327348025695,0.7323943246115212
10,ch1_q25__online_rank,0.7391034039558924,1.2895501424543676,0.5375738055421104,0.20820396054860865,1.5199783169856627,0.8946522846888124
11,ch2_q25__rel,0.5557251390914635,1.414286998068789,0.6306010543563476,0.012813865246500787,1.4803755408389545,0.7797425628888447
12,ch4_wp_energy_1__rel,0.5252746616629917,1.4927672062617248,0.6159309542993533,0.02876137384994009,1.480043755336143,0.8777847192117073
13,ch2_skew__rel,0.5281164505660589,1.4743214737651438,0.6288562546039291,0.06038907799126798,1.4702796070621889,0.88391531242311
14,ch1_spec_centroid__rel,0.555287671617479,1.8471748430114792,0.058739747796127485,0.1304423723274235,1.4668234117700074,0.8881389577406842
15,ch2_kurtosis__online_rank,0.6307037758714191,1.1444219767351207,0.7370542959487406,0.0014471921035152482,1.46052196979516,0.9175958290928211
16,ch3_wp_energy_8__rel,0.646662193413067,1.1083792010443845,0.7541797079654726,0.05792546206832765,1.4503333262060927,0.8394088272856157
17,ch2_band_power_q4__rel,0.6353550526268952,1.2121367356418289,0.5735483525970292,0.045920597329786116,1.4306851945243233,0.6683103961382091
18,ch1_iqr__rel,0.5883759445537087,1.408945828069578,0.394881889265733,0.04461342450678343,1.4199041637048082,0.7290030345991166
19,ch1_max__rel,0.615658615661266,1.331337798634323,0.43210509653626855,0.07055129858124144,1.4149264741208112,0.9124643522478295
20,ch3_wp_energy_ratio_6__rel,0.5187436697633154,1.2451891636599965,0.8185782416969489,0.08215242611448936,1.4073025296586235,0.8292534417509286
21,ch1_shape_factor__rel,0.537111082014976,1.7531627558148686,0.12713453862846805,0.23855168261186413,1.3985516277894081,0.6385934457345722
22,ch1_spec_entropy__rel,0.5042970799090976,1.7448601881907595,0.17024735918472614,0.17979689798417217,1.3913645252230884,0.4811769089268768
23,ch3_band_ratio_q4_q1__rel,0.524449229579014,1.425402737281742,0.4895097584390892,0.1498311485493976,1.3710212265362167,0.723502419477674
