split,method,stage,ratio
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,raw,early,0.3333333333333333
final_internal_val,TRUE,middle,0.3968253968253968
final_internal_val,raw,middle,0.3968253968253968
final_internal_val,TRUE,late,0.2698412698412698
final_internal_val,raw,late,0.2698412698412698
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,prior,early,0.0
final_internal_val,TRUE,middle,0.3968253968253968
final_internal_val,prior,middle,1.0
final_internal_val,TRUE,late,0.2698412698412698
final_internal_val,prior,late,0.0
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,mix,early,0.3333333333333333
final_internal_val,TRUE,middle,0.3968253968253968
final_internal_val,mix,middle,0.3968253968253968
final_internal_val,TRUE,late,0.2698412698412698
final_internal_val,mix,late,0.2698412698412698
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,ordered,early,0.3333333333333333
final_internal_val,TRUE,middle,0.3968253968253968
final_internal_val,ordered,middle,0.4444444444444444
final_internal_val,TRUE,late,0.2698412698412698
final_internal_val,ordered,late,0.2222222222222222
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,final,early,0.3333333333333333
final_internal_val,TRUE,middle,0.3968253968253968
final_internal_val,final,middle,0.3968253968253968
final_internal_val,TRUE,late,0.2698412698412698
final_internal_val,final,late,0.2698412698412698
test_C6,TRUE,early,0.2691029900332226
test_C6,raw,early,0.36212624584717606
test_C6,TRUE,middle,0.44518272425249167
test_C6,raw,middle,0.3488372093023256
test_C6,TRUE,late,0.2857142857142857
test_C6,raw,late,0.28903654485049834
test_C6,TRUE,early,0.2691029900332226
test_C6,prior,early,0.0
test_C6,TRUE,middle,0.44518272425249167
test_C6,prior,middle,1.0
test_C6,TRUE,late,0.2857142857142857
test_C6,prior,late,0.0
test_C6,TRUE,early,0.2691029900332226
test_C6,mix,early,0.34551495016611294
test_C6,TRUE,middle,0.44518272425249167
test_C6,mix,middle,0.3754152823920266
test_C6,TRUE,late,0.2857142857142857
test_C6,mix,late,0.27906976744186046
test_C6,TRUE,early,0.2691029900332226
test_C6,ordered,early,0.3289036544850498
test_C6,TRUE,middle,0.44518272425249167
test_C6,ordered,middle,0.4053156146179402
test_C6,TRUE,late,0.2857142857142857
test_C6,ordered,late,0.26578073089701
test_C6,TRUE,early,0.2691029900332226
test_C6,final,early,0.34551495016611294
test_C6,TRUE,middle,0.44518272425249167
test_C6,final,middle,0.3754152823920266
test_C6,TRUE,late,0.2857142857142857
test_C6,final,late,0.27906976744186046
