split,method,stage,ratio
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,raw,early,0.3333333333333333
final_internal_val,TRUE,middle,0.43333333333333335
final_internal_val,raw,middle,0.43333333333333335
final_internal_val,TRUE,late,0.23333333333333334
final_internal_val,raw,late,0.23333333333333334
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,prior,early,0.0
final_internal_val,TRUE,middle,0.43333333333333335
final_internal_val,prior,middle,0.8833333333333333
final_internal_val,TRUE,late,0.23333333333333334
final_internal_val,prior,late,0.11666666666666667
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,mix,early,0.3333333333333333
final_internal_val,TRUE,middle,0.43333333333333335
final_internal_val,mix,middle,0.43333333333333335
final_internal_val,TRUE,late,0.23333333333333334
final_internal_val,mix,late,0.23333333333333334
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,ordered,early,0.3333333333333333
final_internal_val,TRUE,middle,0.43333333333333335
final_internal_val,ordered,middle,0.4666666666666667
final_internal_val,TRUE,late,0.23333333333333334
final_internal_val,ordered,late,0.2
final_internal_val,TRUE,early,0.3333333333333333
final_internal_val,final,early,0.3333333333333333
final_internal_val,TRUE,middle,0.43333333333333335
final_internal_val,final,middle,0.43333333333333335
final_internal_val,TRUE,late,0.23333333333333334
final_internal_val,final,late,0.23333333333333334
test_C6,TRUE,early,0.27631578947368424
test_C6,raw,early,0.28618421052631576
test_C6,TRUE,middle,0.4243421052631579
test_C6,raw,middle,0.4144736842105263
test_C6,TRUE,late,0.2993421052631579
test_C6,raw,late,0.2993421052631579
test_C6,TRUE,early,0.27631578947368424
test_C6,prior,early,0.0
test_C6,TRUE,middle,0.4243421052631579
test_C6,prior,middle,0.9375
test_C6,TRUE,late,0.2993421052631579
test_C6,prior,late,0.0625
test_C6,TRUE,early,0.27631578947368424
test_C6,mix,early,0.28618421052631576
test_C6,TRUE,middle,0.4243421052631579
test_C6,mix,middle,0.4144736842105263
test_C6,TRUE,late,0.2993421052631579
test_C6,mix,late,0.2993421052631579
test_C6,TRUE,early,0.27631578947368424
test_C6,ordered,early,0.29276315789473684
test_C6,TRUE,middle,0.4243421052631579
test_C6,ordered,middle,0.4144736842105263
test_C6,TRUE,late,0.2993421052631579
test_C6,ordered,late,0.29276315789473684
test_C6,TRUE,early,0.27631578947368424
test_C6,final,early,0.2894736842105263
test_C6,TRUE,middle,0.4243421052631579
test_C6,final,middle,0.41776315789473684
test_C6,TRUE,late,0.2993421052631579
test_C6,final,late,0.29276315789473684
