feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch3_wp_energy_ratio_8__rel,0.8261100945223057,2.0718638475145013,0.6766860490000878,0.4202977675798392,1.8589465589017162
ch2_iqr__rel,0.663731529442428,1.5944609473188258,0.6320413372807556,0.030733085890177963,1.6250321693911132
ch1_q25__rel,0.7319337266109069,2.2125938768892883,0.3980714613236273,0.6015118774899033,1.5879451027897775
ch2_skew__rel,0.6446061793095543,1.5705581809030145,0.6153640338047974,0.1269025765684784,1.552796477350236
ch2_kurtosis__online_rank,0.6609931520079844,1.1528241174616207,0.752285020307117,0.02070738959728733,1.537090083130214
ch2_q25__rel,0.5816327994800989,1.4953243866305228,0.6349933997271139,0.004888260893077805,1.5106950932861272
ch2_kurtosis__rel,0.50660807170763,1.7496971768021057,0.6645786223843838,0.17254483280318267,1.4747904415894273
ch1_q25__online_rank,0.7569410446075773,1.2338809785093643,0.5468393595186383,0.366341334904849,1.4370356720651665
ch3_wp_energy_8__rel,0.5599072968925656,1.228177982323674,0.7566009056905365,0.10992843199766658,1.4234158673257198
ch2_band_power_q4__rel,0.6346541612297116,1.2504935723183355,0.6049074238732042,0.12898699171985684,1.4233459636924126
ch2_std__rel,0.4727341407183592,1.4715674382227881,0.7329519663881526,0.046407338855464324,1.4219371710822424
ch3_band_ratio_q4_q1__rel,0.5729211129213858,1.5927180388631559,0.5639722798337541,0.21856282523842807,1.4213523028907438
ch3_wp_energy_ratio_6__rel,0.5225830879495259,1.2507350077643635,0.8038705636040128,0.11869455930709208,1.4131843636867303
ch3_band_power_q4__rel,0.5644358673940635,1.060551470264672,0.7440686686022664,0.0352287005783906,1.388980191254915
ch5_wp_energy_8__rel,0.501432202418469,1.5776850045519737,0.7354908910399043,0.3584129609620191,1.3828406279887473
ch2_q25__online_rank,0.542728956239364,1.1924320780628315,0.6597022846867555,0.007143671900588251,1.3746890505978013
ch5_q25__rel,0.5327771777898371,1.1788743291677561,0.7813932986507035,0.15576134462646718,1.3739107544161588
ch1_iqr__rel,0.5583329574287021,1.4709864173559302,0.535942007891008,0.147290978739062,1.3722277610275304
ch1_wp_energy_8__rel,0.4997024922220956,1.2218192130520698,0.7746530068633544,0.11690377313771973,1.3624522991891728
ch2_band_power_q1__rel,0.47053063957748553,1.3314921372850597,0.710585427801672,0.055105052539950405,1.3551411684869419
ch5_dom_power__rel,0.5317047210991652,1.2721397699482804,0.6221174983732974,0.05425716529760942,1.35329872894213
ch1_rms__rel,0.5532314415612194,1.7913820996371905,0.4011249213700915,0.30592841343635574,1.3490820826411836
ch2_var__rel,0.45538014715307096,1.3632189404257309,0.7191820035321536,0.07940531358568743,1.3458030332050777
ch5_q75__rel,0.5031111273111715,1.159436135533595,0.7712515629706945,0.11249514233440072,1.3440399472958886
ch5_wp_energy_1__rel,0.55524954922203,1.3736378541019634,0.5960244221895798,0.22005968205741683,1.3423402965640931
ch1_spec_centroid__online_rank,0.569494237835011,1.5194980133879996,0.32380370899882155,0.003976755162305051,1.334968141946857
ch1_band_power_q4__rel,0.5681496121611882,1.0474502429031771,0.6693989695994074,0.09996568796646121,1.3247536008848315
ch2_total_power__rel,0.44605964096664086,1.320705743939623,0.7129543251323028,0.05916966282462216,1.324328112276322
ch1_q75__rel,0.547031164560345,1.7090759545242031,0.3738990797638309,0.2437007343247816,1.3202601019562838
ch4_wp_energy_1__rel,0.4947792435493603,1.4012386641562458,0.6105912679878818,0.14580353345215796,1.319484661044062
ch3_skew__rel,0.5483275927947824,1.851924020837017,0.8935219338158709,1.2141009695588372,1.3178354836203525
ch1_mean_abs__rel,0.5448604734480942,1.8144171582108295,0.3600835981516124,0.3686702037939764,1.303403933822189
ch1_dom_power__slope,0.6554331228310823,0.9097728654125636,0.4834672051970011,0.007033337093525597,1.3028422328842044
ch2_dom_power__rel,0.4779031939359981,1.278127628570629,0.6801322079351731,0.14533417349336553,1.2962439369709853
ch4_q25__rel,0.5021912965950959,1.098851922454899,0.7368032442322058,0.15102142823329306,1.2893928835598805
ch3_wp_energy_ratio_5__rel,0.5112658212248613,1.0364094556676373,0.6693572479793914,0.01646622119953844,1.2875190217998473
ch2_skew__online_rank,0.555127715319256,1.0430719588609914,0.674424346482284,0.16956841109869505,1.2873001191332416
ch1_max__rel,0.5427575771642701,1.3854188762573285,0.4734525373868692,0.16899309779964627,1.283181252903664
ch6_wp_energy_ratio_1__rel,0.4976216893869836,1.1881677238304271,0.8168158916086645,0.38191641447091856,1.2788205569862754
ch1_var__rel,0.4529258151065114,1.3521747667791644,0.6353608781308266,0.12590751819130733,1.2768604165948674
ch1_total_power__rel,0.45202633312115936,1.3624238767845145,0.6295425872676034,0.13300841313637948,1.2737728017073044
ch3_wp_energy_ratio_8__online_rank,0.5585064892229956,1.238463452996292,0.5023268236746905,0.14541242261468526,1.2732047517999374
ch1_band_power_q1__rel,0.4512361744093736,1.3628261990125905,0.6295477438723246,0.13305931320935674,1.2730294610112212
ch1_wp_energy_1__rel,0.517088075197756,1.7662284541134592,0.3642893718403349,0.3472822193910946,1.2657872193825435
ch1_std__rel,0.45082979993961025,1.4235177485860828,0.556547050304774,0.11162876815394467,1.2611748007524455
ch4_band_power_q1__rel,0.5227587298498906,1.1921859764395277,0.5820393351602632,0.14854022757418422,1.2604322492758946
ch1_var__slope,0.6153678504228135,0.8521442842770313,0.5181867136588234,5.7795439379973456e-05,1.2601375990706258
ch2_rms__rel,0.4396625010463697,1.132757297610953,0.7487653979386588,0.09925493342223024,1.257175547483322
ch1_total_power__slope,0.6146273273925247,0.8668010669102206,0.5004484178163843,0.00246130006281411,1.2538556083273806
ch6_wp_energy_8__rel,0.4434126654111028,1.5621056324516713,0.7267358200315871,0.5157572829040717,1.2536805553112458
ch1_band_power_q1__slope,0.6131353654195864,0.8651992741202981,0.5004348700113401,0.002483575711696559,1.2516385749107928
ch4_wp_energy_7__rel,0.46531444614163164,1.253057199838449,0.6373984870472417,0.1465411473680292,1.249695676996425
ch6_wp_energy_7__rel,0.4415157661183322,1.333534150929884,0.6535242213309452,0.1789269679173439,1.2492181785165744
ch2_wp_energy_2__rel,0.5051708386739089,1.1811807863847434,0.6154581652800691,0.16872491643671952,1.2485494679271463
ch6_wp_energy_ratio_4__rel,0.46102794477161435,1.0462921299956767,0.8062158343093762,0.19794179852460694,1.247472064133807
ch1_wp_energy_4__rel,0.40804028983723195,1.1483340466667102,0.716726100216411,0.0006022240996063573,1.2447498118384677
ch2_mean_abs__rel,0.4437525218506049,1.083278120073179,0.74458123511154,0.09316003421240099,1.2441887833982848
ch1_wp_energy_2__rel,0.4241457588946429,1.2930551423990035,0.6684037448882425,0.12968070733482842,1.241363446745102
ch3_wp_energy_ratio_7__rel,0.553503327575054,1.141102261229281,0.5806443329485418,0.25945792544930296,1.2367835609772497
ch5_q25__online_rank,0.548595984004935,0.8678738305414533,0.7590245441625882,0.2584014755138632,1.2342344059545087
ch2_wp_energy_ratio_8__rel,0.4330280348464155,1.2397977160402234,0.8147164503138213,0.35908428016584104,1.2326745885596924
ch5_median__rel,0.5175451383785172,1.0134016471136857,0.5324134370368351,0.0241601217984921,1.2083615764469462
ch1_ptp__rel,0.4899459635951027,1.1357926207853581,0.49974147079353776,0.01188835590490458,1.2071648615992174
ch5_wp_energy_7__rel,0.4545933646422473,1.4476020426605922,0.46598830517490797,0.16828021776322674,1.2041089076667493
