Metric,Mean,Std,Min,Max,N
Acc,0.8625,0.12610745566365705,0.6875,0.986842105263158,5
Macro-F1,0.8592006579449837,0.1340510607850744,0.665944091947633,0.9871020928241414,5
E-F1,0.9228569742531565,0.06534678599519214,0.8316831683168316,0.9824561403508772,5
M-F1,0.7738097874493366,0.23485014850512692,0.4171779141104294,0.984375,5
L-F1,0.8809352121324583,0.10579282841294448,0.7489711934156379,0.994475138121547,5
M-Precision,0.9937376968503937,0.010188649647553932,0.9765625,1.0,5
M-Recall,0.6821705426356589,0.30445483545202295,0.2635658914728682,0.9767441860465116,5
M_to_E,0.1147286821705417,0.10362691420434661,0.0232558139534881,0.2635658914728662,5
M_to_L,0.20310077519379685,0.20402476369418512,0.0,0.4728682170542599,5
Rev,1.2,1.0954451150103324,0.0,2.0,5
Jump,0.2,0.44721359549995804,0.0,1.0,5
Smooth,0.028317895476479237,0.010168650890941551,0.016573908783375,0.0397094184651734,5
q-MAE,0.1414668799996757,0.021644996927271176,0.11311601588452662,0.16815049854167488,5
q-RMSE,0.16422912636280296,0.024741672799273348,0.13440095355290366,0.19105642395926262,5
q-R2,0.6169915153760007,0.11166064305122061,0.4908842852107127,0.7480595428403949,5
