Metric,Mean,Std,Min,Max,N
Acc,0.4258560526539759,0.018848953318805914,0.3856733524355301,0.4693409742120343,101
Macro-F1,0.3604068522130287,0.017774890891444642,0.3208264042447906,0.403305229606719,101
E-F1,0.6322627454484547,0.020508405113897683,0.5817438692098093,0.6820987654320988,101
M-F1,0.4117572865294843,0.0356342896435594,0.3187311178247734,0.5009511731135067,101
L-F1,0.03720052466114687,0.0058785388050398854,0.0273141122913505,0.0526315789473684,101
M-Precision,0.3758622164244648,0.02236495831946059,0.3163418290854572,0.4293478260869565,101
M-Recall,0.45637988456379885,0.0554563166412228,0.3211567732115677,0.6012176560121766,101
M_to_E,0.48757478487574707,0.05468587115405622,0.3470319634703191,0.634703196347031,101
M_to_L,0.056045330560453195,0.012459416433724353,0.035007610350076,0.0958904109589039,101
Rev,95.29702970297029,7.616488107330629,78.0,113.0,101
Jump,35.742574257425744,5.929002387158458,12.0,46.0,101
Smooth,0.08869055999636657,0.0017267377471539159,0.0848795871559633,0.0926605504587155,101
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
