Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B2_TCN_GRU,MTW_CM,D3M,3,0.3252879868348875,0.2250467780848506,0.5155945419103314,0.032994923857868,0.1265508684863523,0.6842105263157895,0.0169050715214564,0.6840052015604682,0.2990897269180754,36,61,0.0485155552994091,,,,
B2_TCN_GRU,MTW_CM,D3M,13,0.424026330224904,0.3872972759415046,0.6084262701363073,0.2444444444444444,0.3090211132437619,0.5475113122171946,0.1573472041612483,0.4057217165149545,0.4369310793237971,69,16,0.0717888475815346,,,,
B2_TCN_GRU,MTW_CM,D3M,23,0.5249588590235875,0.4132242672119973,0.5852760736196319,0.65439672801636,0.0,0.6876790830945558,0.6241872561768531,0.3394018205461638,0.036410923276983,47,0,0.0275486276740883,,,,
B2_TCN_GRU,MTW_CM,D3M,33,0.4311574328030718,0.4304216575276822,0.6251012145748988,0.3450834879406308,0.3210802700675169,0.6019417475728155,0.2418725617685305,0.1248374512353706,0.6332899869960988,58,47,0.0503474076411553,,,,
B2_TCN_GRU,MTW_CM,D3M,43,0.2940208447613823,0.1575772874483667,0.4640835872877666,0.0051880674448767,0.0034602076124567,1.0,0.0026007802340702,0.9245773732119636,0.0728218465539661,11,21,0.0306665438350167,,,,
B2_TCN_GRU,MTW_CM,D3M,53,0.3675260559517279,0.3002434072667701,0.5665653495440729,0.0051746442432082,0.3289902280130293,0.5,0.0026007802340702,0.4252275682704811,0.5721716514954487,41,81,0.0793404388241469,,,,
B2_TCN_GRU,MTW_CM,D3M,63,0.3236423477783873,0.2128074275088865,0.4702249669166299,0.0750938673341677,0.093103448275862,1.0,0.0390117035110533,0.9193758127438232,0.0416124837451235,12,19,0.0367923557215912,,,,
B2_TCN_GRU,MTW_CM,D3M,73,0.5128908392759188,0.5333857443100908,0.8595664467483506,0.3743700503959683,0.3662207357859531,0.4193548387096774,0.3381014304291287,0.0754226267880364,0.5864759427828349,58,0,0.0634293878000679,,,,
B2_TCN_GRU,MTW_CM,D3M,83,0.342292923752057,0.2770780955980333,0.5559360730593608,0.0887792848335388,0.1865189289012003,0.8571428571428571,0.0468140442132639,0.4057217165149545,0.5474642392717816,55,96,0.0596675730330849,,,,
B2_TCN_GRU,MTW_CM,D3M,93,0.405924300603401,0.3164668410807877,0.5089285714285714,0.4232602478551001,0.0172117039586919,0.7928571428571428,0.2886866059817945,0.6397919375812744,0.071521456436931,54,6,0.0523644752309217,,,,
