Metric,Mean,Std,Min,Max,N
Acc,0.4869349732070384,0.05183757605092611,0.42942844813301845,0.6018244214362919,10
Macro-F1,0.4180560399165077,0.06879050199515349,0.3241800616648322,0.543193427637733,10
E-F1,0.6804168988760992,0.0496876971679116,0.6062990420662314,0.7840253408582362,10
M-F1,0.3460566935602774,0.11817702074137604,0.23058254992813465,0.5921789033480138,10
L-F1,0.2276945273131464,0.13110039499084736,0.059883740892538506,0.40801091656795546,10
M-Precision,0.5185185648009583,0.07230338013690545,0.38947512450656685,0.605626302086632,10
M-Recall,0.34851730708664597,0.13205437155500455,0.14985303332401992,0.5800964887121539,10
M_to_E,0.48838387862548116,0.10712585396880017,0.3428353428983985,0.6298565876206291,10
M_to_L,0.16309881428787276,0.1176543519582599,0.0204664646476642,0.3530283466665441,10
Rev,29.76666666666667,8.313383527722774,11.0,39.666666666666664,10
Jump,12.966666666666665,11.296727374895617,0.0,32.666666666666664,10
Smooth,0.03751864974494582,0.006449963982328535,0.0275264506365317,0.04619496981381377,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
