Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B4_HTT_Net,MTW_CM,D1M,3,0.6383954154727793,0.6310210412235793,0.6830265848670757,0.5074925074925075,0.7025440313111546,0.7383720930232558,0.3866057838660578,0.4977168949771682,0.115677321156773,22,19,0.0521618239581584,,,,
B4_HTT_Net,MTW_CM,D1M,13,0.3965616045845272,0.3051048177278028,0.594306049822064,0.3210084033613445,0.0,0.3583489681050656,0.2907153729071537,0.6681887366818863,0.0410958904109588,16,4,0.0421726889908313,,,,
B4_HTT_Net,MTW_CM,D1M,23,0.425214899713467,0.3805915474220825,0.5469432314410481,0.1739130434782608,0.4209183673469387,0.3502304147465437,0.1156773211567732,0.8356164383561631,0.0487062404870623,27,24,0.0598130002617836,,,,
B4_HTT_Net,MTW_CM,D1M,33,0.484240687679083,0.4580699722338295,0.5641891891891891,0.369034994697773,0.4409857328145266,0.6083916083916084,0.2648401826484018,0.7138508371385073,0.0213089802130897,29,23,0.066210813820362,,,,
B4_HTT_Net,MTW_CM,D1M,43,0.6429799426934097,0.6348249992711282,0.7123695976154992,0.489402697495183,0.7027027027027027,0.6666666666666666,0.3866057838660578,0.4459665144596644,0.1674277016742767,29,39,0.0633332058787345,,,,
B4_HTT_Net,MTW_CM,D1M,53,0.402865329512894,0.3458448238546585,0.5197095435684648,0.2556213017751479,0.2622036262203626,0.574468085106383,0.1643835616438356,0.780821917808218,0.0547945205479451,14,12,0.0361638851463794,,,,
B4_HTT_Net,MTW_CM,D1M,63,0.597134670487106,0.5827605888114413,0.6418962203715567,0.3895538628944505,0.7168316831683168,0.683206106870229,0.2724505327245053,0.634703196347031,0.0928462709284625,40,39,0.0789206773042678,,,,
B4_HTT_Net,MTW_CM,D1M,73,0.4424068767908309,0.3919662533093938,0.549041095890411,0.381243628950051,0.2456140350877192,0.5771604938271605,0.2846270928462709,0.6955859969558589,0.019786910197869,31,28,0.0637324303388595,,,,
B4_HTT_Net,MTW_CM,D1M,83,0.428080229226361,0.3708620190020901,0.5696418419556566,0.3273753527751646,0.2155688622754491,0.4285714285714285,0.2648401826484018,0.7214611872146107,0.0136986301369862,26,11,0.0529967322945594,,,,
B4_HTT_Net,MTW_CM,D1M,93,0.5925501432664756,0.5688096341571803,0.6472868217054264,0.3253697383390216,0.7337723424270931,0.6441441441441441,0.2176560121765601,0.6514459665144586,0.13089802130898,27,26,0.0574498623609542,,,,
B4_HTT_Net,MTW_CM,D2M,3,0.5372591784805525,0.4982706955446337,0.3112033195020747,0.4694560669456067,0.7141527001862198,0.4459459459459459,0.495583038869258,0.0,0.5044169611307416,49,0,0.0685353130102157,,,,
B4_HTT_Net,MTW_CM,D2M,13,0.5427117411850236,0.4603400793526064,0.1179190751445086,0.6061365059486538,0.656964656964657,0.469447138700291,0.8551236749116607,0.0,0.1448763250883391,48,0,0.0544632673263549,,,,
B4_HTT_Net,MTW_CM,D2M,23,0.7629952744456562,0.7758450216250506,0.9095780308104487,0.6813294232649071,0.7366276107997962,0.762582056892779,0.6157243816254417,0.0,0.384275618374558,22,2,0.0430133678019046,,,,
B4_HTT_Net,MTW_CM,D2M,33,0.7219193020719739,0.7062765048121676,0.7629179331306991,0.7474413998019148,0.6084701815038893,0.5967316816025303,1.0,0.0,0.0,20,1,0.0319312699139118,,,,
B4_HTT_Net,MTW_CM,D2M,43,0.6314067611777535,0.6272338674766633,0.5953408110440035,0.5428313796212805,0.7435294117647059,0.5543278084714549,0.5318021201413428,0.0,0.4681978798586568,30,2,0.0330628268420696,,,,
B4_HTT_Net,MTW_CM,D2M,53,0.7048346055979644,0.6947356008396578,0.5989672977624785,0.7102069950035689,0.7750325097529259,0.5958083832335329,0.8789752650176679,0.0,0.121024734982332,38,1,0.0554728433489799,,,,
B4_HTT_Net,MTW_CM,D2M,63,0.7004725554343875,0.7092600871548239,0.7759398496240602,0.6023166023166023,0.7495238095238095,0.6638297872340425,0.5512367491166078,0.0,0.4487632508833918,24,2,0.0364226549863815,,,,
B4_HTT_Net,MTW_CM,D2M,73,0.8149763722282807,0.8175838887861898,0.808199121522694,0.8007827788649706,0.8437697659709045,0.71890372452565,0.9037102473498232,0.0,0.0962897526501766,44,2,0.052244383841753,,,,
B4_HTT_Net,MTW_CM,D2M,83,0.5358051617593602,0.5084285698974651,0.1762870514820592,0.5036378334680679,0.845360824742268,0.4642324888226528,0.5503533568904594,0.2703180212014132,0.179328621908127,44,45,0.069107785820961,,,,
B4_HTT_Net,MTW_CM,D2M,93,0.5368956743002544,0.4770829283038565,0.7333333333333333,0.4854537559704733,0.212461695607763,0.4773697694278394,0.4938162544169611,0.4443462897526498,0.0618374558303886,41,14,0.0621931999921798,,,,
B4_HTT_Net,MTW_CM,D3M,3,0.3801426220515633,0.3054367257829815,0.5888382687927107,0.0332480818414322,0.2942238267148014,1.0,0.0169050715214564,0.4525357607282179,0.5305591677503244,37,70,0.0864140912890434,,,,
B4_HTT_Net,MTW_CM,D3M,13,0.3916620954470652,0.3172969856662098,0.5711135611907387,0.0202788339670468,0.3604985618408437,0.4,0.0104031209362808,0.5591677503250968,0.430429128738621,47,87,0.0913158953189849,,,,
B4_HTT_Net,MTW_CM,D3M,23,0.4234777838727372,0.3466651121309743,0.6264196054991034,0.0025940337224383,0.410981697171381,0.5,0.0013003901170351,0.4447334200260072,0.5539661898569563,33,62,0.0743465647101402,,,,
B4_HTT_Net,MTW_CM,D3M,33,0.4936917169500823,0.4246670518867666,0.7608200455580866,0.0025974025974025,0.5105837075048107,1.0,0.0013003901170351,0.2080624187256174,0.7906371911573461,29,57,0.0627964437007904,,,,
B4_HTT_Net,MTW_CM,D3M,43,0.4152495885902358,0.3479728675676573,0.5836575875486382,0.0671641791044776,0.3930968360498562,0.7714285714285715,0.0351105331599479,0.5526657997399212,0.4122236671001295,50,83,0.0848272964358329,,,,
B4_HTT_Net,MTW_CM,D3M,53,0.476138233680746,0.3980049658621296,0.6773985833869929,0.0,0.5166163141993958,0.0,0.0,0.4096228868660593,0.5903771131339394,23,46,0.0583485588431358,,,,
B4_HTT_Net,MTW_CM,D3M,63,0.303894679100384,0.1772124024156724,0.4666372072470172,0.065,0.0,0.8387096774193549,0.0338101430429128,0.8855656697009091,0.0806241872561767,18,21,0.0365274064242839,,,,
B4_HTT_Net,MTW_CM,D3M,73,0.5408667032364235,0.4590723454290843,0.7383761276891048,0.0103492884864165,0.6284916201117319,1.0,0.0052015604681404,0.3966189856957082,0.59817945383615,39,78,0.0837077125906944,,,,
B4_HTT_Net,MTW_CM,D3M,83,0.3329676357652221,0.2331986402288505,0.5023562676720076,0.0675844806007509,0.1296551724137931,0.9,0.0351105331599479,0.7607282184655386,0.204161248374512,37,59,0.0830985978245735,,,,
B4_HTT_Net,MTW_CM,D3M,93,0.4125068568294021,0.3361180632402438,0.5694444444444444,0.0077720207253886,0.4311377245508982,1.0,0.0039011703511053,0.6514954486345895,0.3446033810143038,31,60,0.06972286850214,,,,
