Metric,Mean,Std,Min,Max,N
Acc,0.5417892841915771,0.0758330614260528,0.312488038277512,0.6429186602870813,101
Macro-F1,0.31334906308613936,0.04854258008479636,0.19278711484593836,0.41662284326246457,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.35075273731921897,0.18310326696979531,0.0,0.7004506269592476,101
L-F1,0.5892944519391988,0.13756774079838555,0.1388888888888889,0.7501717032967032,101
M-Precision,0.42902295232627746,0.17459548804379982,0.0,0.8125,101
M-Recall,0.40585808580858085,0.26444733096161444,0.0,0.9522727272727273,101
M_to_E,0.06123612361235462,0.12108739175865406,0.0,0.6575757575756839,101
M_to_L,0.5329057905790011,0.2541672970195041,0.0,0.9583333333332282,101
Rev,1.3044554455445545,0.6119680959780905,0.25,3.0,101
Jump,0.3886138613861386,0.7980250994836822,0.0,3.5,101
Smooth,0.09643909518840417,0.0687265113528852,0.008404381558417301,0.2868217287824437,101
q-MAE,0.24186214411734233,0.012821399515968201,0.21136395695399607,0.2754989564261632,101
q-RMSE,0.2854398147267668,0.01604194520969153,0.24847357259056052,0.32716986574896006,101
q-R2,-0.14600224050382268,0.12511859746930104,-0.48570307315199135,0.13149693113661381,101
Spearman,0.20651663484049007,0.20082267589018082,-0.3458418069344843,0.6421041277563018,101
